Ciclones que han impactado a México (1970 - 2020),,,,,,,
,,,,,,,
"
N°","
Nombre","
Impacto en tierra","
Fecha de impacto","Categoría
máxima","Categoría 
en impacto","Velocidad 
en impacto (km/h)","
Costa"
1,ADOLPH,"Chamela - Pto Vallarta, Jal.",1983/05/27,TT,TT,65,Pacífico
,,"Sta. Cruz, Nay.",1983/05/28,TT,TT,65,Pacífico
2,ADRIAN,"Villa de Tututepec de Melchor Ocampo, Oax.",1981/06/04,DT,DT,30,Pacífico
3,AGATHA,"Lázaro Cardenas, Mich.",1971/05/24,H1,H1,140,Pacífico
,,"30 Km Al Este De Tapachula, Chis.",2010/05/29,TT,TT,75,Pacífico
4,AGNES,"Tekax, Yuc. (Formación En Tierra)",1972/06/14,DT,DT,45,Atlántico
5,ALBERTO,"A 20 Km Al Norte De Holbox, QRoo.",1982/06/02,DT,DT,37,Atlántico
6,ALETTA,"Cuyutlán, Col.",1974/05/28,TT,TT,93,Pacífico
,,"B. Petacalco, Gro.",1978/05/30,TT,TT,85,Pacífico
7,ALEX,"90 Km Al Suroeste De Chetumal, QRoo.",2010/06/27,H2,TT,65,Atlántico
,,"Laguna Madre, Tamps.",2010/06/30,H2,H2,165,Atlántico
8,ALLEN,"Río Bravo, Tamps.",1980/08/10,H3,H3,185,Atlántico
9,ALMA,"La Mira, Mich.",1996/06/23,H2,H2,160,Pacífico
10,AMANDA,50 km al este del límite oriental del estado de Chiapas,2020/05/31,TT,DT,45,Pacífico
11,AMELIA,"Playa Lauro Villar, Tamps.",1978/07/30,DT,DT,55,Atlántico
12,ANDRES,"Tizupán, Mich.",1979/06/04,H1,H1,120,Pacífico
,,"Puerto Madero, Chis.",1997/06/05,TT,TT,85,Pacífico
,,"90 Km Al Suroeste De Manzanillo, Col.",2009/06/23,TT,TT,110,Pacífico
13,ANITA,"La Pesca, Tamps.",1977/09/02,H5,H5,280,Atlántico
14,ANNETTE,"Manzanillo, Col.",1972/06/08,TT,TT,65,Pacífico
15,ARLENE,"Cabo Rojo, Ver.",2011/06/30,TT,TT,100,Atlántico
16,ARTHUR,"Suroeste De Chetumal, QRoo.",2008/05/31,TT,TT,65,Atlántico
17,BARBARA,"Puerto Madero, Chis.",2007/06/02,TT,TT,85,Pacífico
,,"Arriaga, Chis.",2013/05/29,H1,H1,120,Pacífico
18,BARRY,"Media Luna, Tamps.",1983/08/28,H1,H1,130,Atlántico
,,"San Andrés Tuxtla, Ver.",2013/06/20,TT,TT,75,Atlántico
19,BEATRIZ,"Pinotepa Nal., Oax.",1993/06/19,TT,TT,100,Pacífico
,,"20 Km Al Sureste De La Fortuna, Jal.",2011/06/21,H1,H1,150,Pacífico
,,Entre Puerto Ángel y Playas de Zipolite,2017/06/01,TT,TT,65,Pacífico
20,BERNICE,"Lázaro Cardenas, Mich.",1973/06/23,TT,TT,85,Pacífico
21,BERYL,"Sto. Domingo Del Charco, Tamps.",2000/08/15,TT,TT,75,Atlántico
22,BESS,"Tecolutla, Ver.",1978/08/08,TT,TT,75,Atlántico
23,BLANCA,5 Km Al Noreste De Puerto Cortés,2015/06/08,H4,TT,75,Pacífico
,,55 Km Al Sureste De Punta Abreojos,2015/06/08,H4,TT,65,Pacífico
