ANIO,MES,ENTIDAD,T_Max,T_Min,T_Med,Precipitacion,D0,D1,D2,D3,D4,Total_Sequías
2003,ANUAL,NAC,28.643542766116013,13.266576446442828,20.95505960627942,796.1,6131,2625,1026,448,30,10260
2004,ANUAL,NAC,28.345457715321945,13.388789808212822,20.86712376176737,872.2000000000003,4358,1243,48,19,5,5673
2005,ANUAL,NAC,28.96750720756877,13.815766622284036,21.39163691492641,788.1,6096,1954,89,1,0,8140
2006,ANUAL,NAC,29.215505131214684,14.60705627498676,21.911280703100715,808.0000000000001,6218,2941,1401,486,214,11260
2007,ANUAL,NAC,29.348219874098767,14.673084931952289,21.776355139220556,812.2,4427,2725,910,201,4,8267
2008,ANUAL,NAC,28.98333333333333,13.858333333333333,21.366666666666664,900.7,6217,3209,971,199,9,10605
2009,ANUAL,NAC,29.266666666666666,14.291666666666664,21.779166666666665,723.4000000000002,6296,4697,953,132,8,12086
2010,ANUAL,NAC,28.48333333333333,13.516666666666666,21.0,962.1,2365,888,864,312,0,4429
2011,ANUAL,NAC,29.65833333333333,13.975,21.820833333333336,697.2,4195,3376,2805,1987,500,12863
2012,ANUAL,NAC,29.13833333333334,14.504166666666665,21.86666666666667,742.3399999999998,2032,1434,760,462,82,4770
2013,ANUAL,NAC,29.15,14.70833333333333,21.925,920.61,4150,765,157,61,19,5152
2014,ANUAL,NAC,29.32500000000001,14.825,22.07500000000001,830.75,7809,1297,275,54,0,9435
2015,ANUAL,NAC,29.0,15.1,22.1,871.97,9266,2646,392,64,0,12368
2016,ANUAL,NAC,29.816666666666674,15.04166666666667,22.43333333333333,744.08,12287,6239,1556,304,0,20386
2017,ANUAL,NAC,30.11666666666667,14.966666666666667,22.55,781.56,15198,4175,856,249,0,20478
2018,ANUAL,NAC,29.55833333333333,14.85,22.20833333333333,803.7,14694,5889,1767,695,3,23048
2019,ANUAL,NAC,29.9,14.9,22.4,718.3,15579,9319,3417,1061,57,29433
2020,ANUAL,NAC,30.1,14.9,22.4,722.5,14356,6226,2860,631,28,24101
