,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"324,012.193","163,464.872","45,831.028","1,561.974",408.771,31.642,4.771,0.000,"5,374.768","6,271.296",76.154,218.883,8.838,23.025,0.985,0.000,356.719,810.828,0.001,17.409,1.796,0.144,0.000,0.052,0.000001,1.513,177.917,"548,655.579","735,453.189",,70.937
[1] Energía,"459,744.013","24,766.873","3,108.570",,,,,,,,,,,,,,,,,,,,,,,,,"487,619.456",,,62.188
[1A] Actividades de quema del combustible,"447,044.683","2,961.540","3,096.571",,,,,,,,,,,,,,,,,,,,,,,,,"453,102.794",,,59.008
[1A1] Industrias de la energía,"192,106.174",160.462,324.890,,,,,,,,,,,,,,,,,,,,,,,,,"192,591.527",,,10.548
[1A1a] Actividad principal producción de electricidad y calor,"149,532.617",134.842,291.119,,,,,,,,,,,,,,,,,,,,,,,,,"149,958.578",,,9.030
[1A1b] Refinación del petróleo,"13,570.173",9.381,13.777,,,,,,,,,,,,,,,,,,,,,,,,,"13,593.332",,,1.193
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"29,003.384",16.239,19.994,,,,,,,,,,,,,,,,,,,,,,,,,"29,039.617",,,0.326
[1A2] Industrias manufactura y de la construcción,"60,770.209",116.059,156.676,,,,,,,,,,,,,,,,,,,,,,,,,"61,042.943",,,1.039
[1A2a] Hierro y acero,"2,552.082",1.414,1.641,,,,,,,,,,,,,,,,,,,,,,,,,"2,555.136",,,0.019
[1A2b] Metales no ferrosos,"1,637.290",1.075,1.541,,,,,,,,,,,,,,,,,,,,,,,,,"1,639.905",,,0.014
[1A2c] Sustancias químicas,"11,121.665",5.850,6.345,,,,,,,,,,,,,,,,,,,,,,,,,"11,133.859",,,0.049
"[1A2d] Pulpa, papel e imprenta","2,416.975",1.468,1.902,,,,,,,,,,,,,,,,,,,,,,,,,"2,420.345",,,0.028
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","1,853.873",51.358,65.171,,,,,,,,,,,,,,,,,,,,,,,,,"1,970.401",,,0.681
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,368.990,0.217,0.271,,,,,,,,,,,,,,,,,,,,,,,,,369.477,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"11,844.782",12.384,21.469,,,,,,,,,,,,,,,,,,,,,,,,,"11,878.635",,,0.074
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,797.537,0.920,1.741,,,,,,,,,,,,,,,,,,,,,,,,,800.197,,,0.004
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"28,177.017",41.374,56.595,,,,,,,,,,,,,,,,,,,,,,,,,"28,274.986",,,0.170
[1A3] Transporte,"161,390.754",453.297,"2,315.088",,,,,,,,,,,,,,,,,,,,,,,,,"164,159.138",,,14.863
[1A3a] Aviación civil,"5,278.697",1.018,38.529,,,,,,,,,,,,,,,,,,,,,,,,,"5,318.243",,,0.075
[1A3b] Autotransporte,"152,089.856",443.570,"2,060.865",,,,,,,,,,,,,,,,,,,,,,,,,"154,594.290",,,14.692
[1A3c] Ferrocarriles,"1,926.796",3.073,200.453,,,,,,,,,,,,,,,,,,,,,,,,,"2,130.323",,,0.045
[1A3d] Navegación marítima y fluvial,"2,095.405",5.636,15.240,,,,,,,,,,,,,,,,,,,,,,,,,"2,116.282",,,0.051
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A4] Otros sectores,"32,777.546","2,231.722",299.918,,,,,,,,,,,,,,,,,,,,,,,,,"35,309.186",,,32.558
[1A4a] Comercial/institucional,"5,193.617",11.889,2.716,,,,,,,,,,,,,,,,,,,,,,,,,"5,208.222",,,2.446
[1A4b] Residencial,"18,773.052","2,186.633",278.668,,,,,,,,,,,,,,,,,,,,,,,,,"21,238.352",,,29.827
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"8,810.878",33.200,18.534,,,,,,,,,,,,,,,,,,,,,,,,,"8,862.612",,,0.285
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"12,699.330","21,805.333",11.999,,,,,,,,,,,,,,,,,,,,,,,,,"34,516.661",,,3.180
[1B1] Combustibles sólidos,120.613,"4,242.304",,,,,,,,,,,,,,,,,,,,,,,,,,"4,362.917",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,120.613,"4,242.304",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"4,362.917",,,0.000
[1B1ai] Minas subterráneas,114.866,"4,069.195",,,,,,,,,,,,,,,,,,,,,,,,,,"4,184.061",,,
[1B1aii] Minas superficie,5.747,173.109,,,,,,,,,,,,,,,,,,,,,,,,,,178.856,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"12,578.717","17,563.029",11.999,,,,,,,,,,,,,,,,,,,,,,,,,"30,153.744",,,3.180
[1B2a] Petróleo,"10,231.578","10,656.375",11.915,,,,,,,,,,,,,,,,,,,,,,,,,"20,899.869",,,
1B2ai Venteo petróleo,"5,909.810","5,893.024",,,,,,,,,,,,,,,,,,,,,,,,,,"11,802.834",,,
1B2aii Quemado petróleo,"4,278.827","4,629.468",11.915,,,,,,,,,,,,,,,,,,,,,,,,,"8,920.211",,,3.180
1B2aiii Otras fugitivas petróleo,42.942,133.883,,,,,,,,,,,,,,,,,,,,,,,,,,176.824,,,
[1B2b] Gas natural,"2,347.139","6,906.653",0.084,,,,,,,,,,,,,,,,,,,,,,,,,"9,253.876",,,
1B2bi Venteo gas natural,"2,169.398","2,976.849",,,,,,,,,,,,,,,,,,,,,,,,,,"5,146.247",,,
1B2bii Quemado gas natural,172.255,92.443,0.084,,,,,,,,,,,,,,,,,,,,,,,,,264.782,,,
1B2biii Otras fugitivas gas natural,5.486,"3,837.361",,,,,,,,,,,,,,,,,,,,,,,,,,"3,842.847",,,
[2] Procesos industriales y uso de productos,"48,873.048",205.726,675.405,"1,561.974",408.771,31.642,4.771,0.000,"5,374.768","6,271.296",76.154,218.883,8.838,23.025,0.985,0.000,356.719,810.828,0.001,17.409,1.796,0.144,0.000,0.052,0.000,1.513,177.917,"65,101.665",,,0.000
[2A] Industria de los minerales,"26,381.439",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"26,381.439",,,
[2A1] Producción de cemento,"17,366.974",,,,,,,,,,,,,,,,,,,,,,,,,,,"17,366.974",,,
[2A2] Producción de cal,"3,197.289",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,197.289",,,
[2A3] Producción de vidrio,609.193,,,,,,,,,,,,,,,,,,,,,,,,,,,609.193,,,
[2A4] Otros usos de carbonatos,"5,207.984",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,207.984",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,884.649",202.456,675.215,"1,561.640",,,,,,,,,,,,,,,,,,,,,,,,"5,323.959",,,
[2B1] Producción de amoniaco,"1,104.543",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,104.543",,,
[2B2] Producción de ácido nítrico,,,508.005,,,,,,,,,,,,,,,,,,,,,,,,,508.005,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,167.210,,,,,,,,,,,,,,,,,,,,,,,,,167.210,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,186.941,,,,,,,,,,,,,,,,,,,,,,,,,,,186.941,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,553.146",202.456,,,,,,,,,,,,,,,,,,,,,,,,,,"1,755.601",,,
[2B9] Producción fluoroquímica, ,,,"1,561.640",,,,,,,,,,,,,,,,,,,,,,,,"1,561.640",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"19,394.297",3.271,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"19,397.567",,,
[2C1] Producción de hierro y acero,"18,976",3.271,,,,,,,,,,,,,,,,,,,,,,,,,,"18,979.479",,,
[2C2] Producción de ferroaleaciones,299.875,,,,,,,,,,,,,,,,,,,,,,,,,,,299.875,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,118.214,,,,,,,,,,,,,,,,,,,,,,,,,,,118.214,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,163.165,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,163.165,,,
[2D1] Uso de lubricantes,141.046,,,,,,,,,,,,,,,,,,,,,,,,,,,141.046,,,
[2D2] Uso de la cera de parafina,22.119,,,,,,,,,,,,,,,,,,,,,,,,,,,22.119,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.190,0.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,17.409,1.796,0.144,0.000,0.052,0.000001,1.513,1.611,23.050,,,
[2E1] Circuitos integrados o semiconductores,,,0.145,0.335,,,,,,,,,,,,,,,0.001,1.289,0.719,0.144,0.000,0.052,0.000001,1.304,0.635,4.623,,,
[2E2] Pantalla plana tipo TFT,,,0.045,,,,,,,,,,,,,,,,,0.043,,,,0.0001,,0.209,0.977,1.274,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,16.077,1.077,,,,,,,17.153,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,408.771,31.642,4.771,0.000,"5,374.768","6,271.296",76.154,218.883,8.838,23.025,0.985,0.000,356.719,810.828,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"13,586.680",,,
[2F1] Refrigeración y aire acondicionado,,,,,408.771,,,,"5,052.568","6,271.296",76.154,,,,,,,810.828,,,,,,,,,,"12,619.617",,,
[2F2] Agentes espumantes,,,,,,,,,3.094,,,,,,0.985,,356.719,,,,,,,,,,,360.798,,,
[2F3] Protección contra incendios,,,,,,,4.771,,,,,,8.838,23.025,,,,,,,,,,,,,,36.634,,,
[2F4] Aerosoles,,,,,,,,,319.106,,,218.8827832,,,,,,,,,,,,,,,,537.989,,,
[2F5] Solventes,,,,,,31.642,,,,,,,,,,,,,,,,,,,,,,31.642,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,176.306,176.306,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,176.306,176.306,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,49.498,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,49.498,,,
[2H1] Industria de la pulpa y el papel,49.498,,,,,,,,,,,,,,,,,,,,,,,,,,,49.498,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-185,545.320","94,866.903","38,867.791",,,,,,,,,,,,,,,,,,,,,,,,,"-51,810.626",,,7.242
 [3A] Ganado,,"93,429.486","7,394.543",,,,,,,,,,,,,,,,,,,,,,,,,"100,824.029",,,
     [3A1] Fermentación entérica,,"75,512.604",,,,,,,,,,,,,,,,,,,,,,,,,,"75,512.604",,,
          [3A1a] Bovino,,"71,981.675",,,,,,,,,,,,,,,,,,,,,,,,,,"71,981.675",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,462.460",,,,,,,,,,,,,,,,,,,,,,,,,,"1,462.460",,,
          [3A1d] Caprino,,"1,127.300",,,,,,,,,,,,,,,,,,,,,,,,,,"1,127.300",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,446.127,,,,,,,,,,,,,,,,,,,,,,,,,,446.127,,,
          [3A1g] Mulas y asnos,,113.227,,,,,,,,,,,,,,,,,,,,,,,,,,113.227,,,
          [3A1h] Porcinos,,381.816,,,,,,,,,,,,,,,,,,,,,,,,,,381.816,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"17,916.882","7,394.543",,,,,,,,,,,,,,,,,,,,,,,,,"25,311.424",,,
          [3A2a] Bovinos,,"10,909.134","6,502.658",,,,,,,,,,,,,,,,,,,,,,,,,"17,411.792",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,17.350,35.530,,,,,,,,,,,,,,,,,,,,,,,,,52.880,,,
          [3A2d] Caprino,,13.150,20.930,,,,,,,,,,,,,,,,,,,,,,,,,34.080,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,42.891,,,,,,,,,,,,,,,,,,,,,,,,,,42.891,,,
          [3A2g] Mulas y asnos,,11.364,,,,,,,,,,,,,,,,,,,,,,,,,,11.364,,,
          [3A2h] Porcinos,,"5,191.455",498.706,,,,,,,,,,,,,,,,,,,,,,,,,"5,690.162",,,
          [3A2i] Aves de corral,,"1,731.538",336.718,,,,,,,,,,,,,,,,,,,,,,,,,"2,068.257",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-185,400.83",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-185,400.832",,,
     [3B1] Tierra forestales,"-190,250.75",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-190,250.75",,,
          [3B1a] Tierras forestales que permanecen como tal,"-187,988.59",,,,,,,,,,,,,,,,,,,,,,,,,,,"-187,988.593",,,
          [3B1b] Tierras convertidas a tierras forestales,"-2,262.16",,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,262.160",,,
     [3B2] Tierra de cultivo,"-9,169.15",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-9,169.15",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-17,134.29",,,,,,,,,,,,,,,,,,,,,,,,,,,"-17,134.294",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"7,965.14",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,965.144",,,
     [3B3] Praderas,"13,313.16",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"13,313.16",,,
          [3B3a] Praderas que permanecen como tal,-547.58,,,,,,,,,,,,,,,,,,,,,,,,,,,-547.580,,,
          [3B3b] Tierras convertidas en praderas,"13,860.74",,,,,,,,,,,,,,,,,,,,,,,,,,,"13,860.739",,,
     [3B4] Humedales,127.10,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,127.10,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,127.10,,,,,,,,,,,,,,,,,,,,,,,,,,,127.095,,,
     [3B5] Asentamientos ,200.91,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,200.91,,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,200.91,,,,,,,,,,,,,,,,,,,,,,,,,,,200.907,,,
     [3B6] Otras tierras ,377.91,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,377.91,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,377.91,,,,,,,,,,,,,,,,,,,,,,,,,,,377.909,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,252.29","1,437.42","31,473.249",,,,,,,,,,,,,,,,,,,,,,,,,"34,162.956",,,7.242
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,339.707",515.955,,,,,,,,,,,,,,,,,,,,,,,,,"1,855.662",,,7.242
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,499.140,184.650,,,,,,,,,,,,,,,,,,,,,,,,,683.790,,,2.365
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,702.377,211.895,,,,,,,,,,,,,,,,,,,,,,,,,914.272,,,3.921
