,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)",,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,,,,,,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"326,893.537","168,613.856","40,075.084","2,787.253",513.503,27.214,8.670,4.386,"5,702.100","6,637.940",88.267,315.090,12.145,35.116,0.249,0.262,464.025,"1,143.939",0.001,19.252,1.990,0.160,0.000,0.057,0.000001,1.675,185.862,"553,531.634","734,998.195",,67.056,,,,,
[1] Energía,"456,030.645","27,600.044","2,931.862",,,,,,,,,,,,,,,,,,,,,,,,,"486,562.551",,,60.219,,,,,
[1A] Actividades de quema del combustible,"438,638.608","2,917.823","2,909.185",,,,,,,,,,,,,,,,,,,,,,,,,"444,465.615",,,55.622,,,,,
[1A1] Industrias de la energía,"186,737.691",159.419,323.699,,,,,,,,,,,,,,,,,,,,,,,,,"187,220.809",,,8.326,,,,,
[1A1a] Actividad principal producción de electricidad y calor,"143,414.329",132.553,287.216,,,,,,,,,,,,,,,,,,,,,,,,,"143,834.099",,,6.787,,,,,
[1A1b] Refinación del petróleo,"13,454.586",9.345,13.777,,,,,,,,,,,,,,,,,,,,,,,,,"13,477.708",,,1.199,,,,,
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"29,868.776",17.521,22.705,,,,,,,,,,,,,,,,,,,,,,,,,"29,909.002",,,0.340,,,,,
[1A2] Industrias manufactura y de la construcción,"58,516.800",88.790,120.647,,,,,,,,,,,,,,,,,,,,,,,,,"58,726.238",,,0.721,,,,,
[1A2a] Hierro y acero,"2,834.481",1.511,1.663,,,,,,,,,,,,,,,,,,,,,,,,,"2,837.654",,,0.016,,,,,
[1A2b] Metales no ferrosos,"1,425.448",0.987,1.475,,,,,,,,,,,,,,,,,,,,,,,,,"1,427.910",,,0.013,,,,,
[1A2c] Sustancias químicas,"10,853.511",5.601,5.882,,,,,,,,,,,,,,,,,,,,,,,,,"10,864.994",,,0.041,,,,,
"[1A2d] Pulpa, papel e imprenta","1,997.211",1.080,1.212,,,,,,,,,,,,,,,,,,,,,,,,,"1,999.504",,,0.010,,,,,
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","1,540.039",29.464,37.400,,,,,,,,,,,,,,,,,,,,,,,,,"1,606.902",,,0.386,,,,,
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[1A2g] Equipo de transporte,255.904,0.167,0.231,,,,,,,,,,,,,,,,,,,,,,,,,256.302,,,0.001,,,,,
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"12,752.852",13.234,22.974,,,,,,,,,,,,,,,,,,,,,,,,,"12,789.060",,,0.079,,,,,
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[1A2k] Construcción,731.877,0.844,1.597,,,,,,,,,,,,,,,,,,,,,,,,,734.318,,,0.003,,,,,
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[1A2m] Industria no especificada,"26,125.477",35.903,48.214,,,,,,,,,,,,,,,,,,,,,,,,,"26,209.594",,,0.171,,,,,
[1A3] Transporte,"160,066.690",447.278,"2,165.757",,,,,,,,,,,,,,,,,,,,,,,,,"162,679.725",,,14.175,,,,,
[1A3a] Aviación civil,"5,616.345",1.083,40.993,,,,,,,,,,,,,,,,,,,,,,,,,"5,658.422",,,0.079,,,,,
[1A3b] Autotransporte,"150,401.717",437.404,"1,910.602",,,,,,,,,,,,,,,,,,,,,,,,,"152,749.723",,,13.988,,,,,
[1A3c] Ferrocarriles,"1,909.202",3.045,198.623,,,,,,,,,,,,,,,,,,,,,,,,,"2,110.870",,,0.045,,,,,
[1A3d] Navegación marítima y fluvial,"2,139.426",5.746,15.539,,,,,,,,,,,,,,,,,,,,,,,,,"2,160.711",,,0.062,,,,,
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[1A4] Otros sectores,"33,317.427","2,222.335",299.082,,,,,,,,,,,,,,,,,,,,,,,,,"35,838.844",,,32.401,,,,,
[1A4a] Comercial/institucional,"5,204.550",11.953,2.736,,,,,,,,,,,,,,,,,,,,,,,,,"5,219.239",,,2.382,,,,,
[1A4b] Residencial,"19,172.968","2,176.692",277.538,,,,,,,,,,,,,,,,,,,,,,,,,"21,627.198",,,29.731,,,,,
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"8,939.908",33.690,18.809,,,,,,,,,,,,,,,,,,,,,,,,,"8,992.407",,,0.288,,,,,
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"17,392.038","24,682.221",22.677,,,,,,,,,,,,,,,,,,,,,,,,,"42,096.936",,,4.597,,,,,
[1B1] Combustibles sólidos,123.949,"4,359.646",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"4,483.595",,,0.000,,,,,
[1B1a] Minería carbonífera y manejo del carbón,123.949,"4,359.646",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"4,483.595",,,0.000,,,,,
[1B1ai] Minas subterráneas,118.043,"4,181.749",,,,,,,,,,,,,,,,,,,,,,,,,,"4,299.792",,,,,,,,
[1B1aii] Minas superficie,5.906,177.897,,,,,,,,,,,,,,,,,,,,,,,,,,183.803,,,,,,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000,,,,,
[1B2] Petróleo y gas natural,"17,268.089","20,322.574",22.677,,,,,,,,,,,,,,,,,,,,,,,,,"37,613.341",,,4.597,,,,,
[1B2a] Petróleo,"14,925.198","13,291.443",22.601,,,,,,,,,,,,,,,,,,,,,,,,,"28,239.242",,,,,,,,
1B2ai Venteo petróleo,"5,569.204","5,507.271",,,,,,,,,,,,,,,,,,,,,,,,,,"11,076.474",,,,,,,,
1B2aii Quemado petróleo,"9,313.052","7,653.114",22.601,,,,,,,,,,,,,,,,,,,,,,,,,"16,988.768",,,4.597,,,,,
1B2aiii Otras fugitivas petróleo,42.942,131.058,,,,,,,,,,,,,,,,,,,,,,,,,,174.000,,,,,,,,
[1B2b] Gas natural,"2,342.891","7,031.132",0.076,,,,,,,,,,,,,,,,,,,,,,,,,"9,374.099",,,,,,,,
1B2bi Venteo gas natural,"2,186.608","3,017.453",,,,,,,,,,,,,,,,,,,,,,,,,,"5,204.061",,,,,,,,
1B2bii Quemado gas natural,151.011,156.977,0.076,,,,,,,,,,,,,,,,,,,,,,,,,308.063,,,,,,,,
1B2biii Otras fugitivas gas natural,5.273,"3,856.702",,,,,,,,,,,,,,,,,,,,,,,,,,"3,861.974",,,,,,,,
[2] Procesos industriales y uso de productos,"49,959.919",198.353,666.784,"2,787.253",513.503,27.214,8.670,4.386,"5,702.100","6,637.940",88.267,315.090,12.145,35.116,0.249,0.262,464.025,"1,143.939",0.001,19.252,1.990,0.160,0.000,0.057,0.000,1.675,185.862,"68,774.213",,,0.000,,,,,
[2A] Industria de los minerales,"26,913.662",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"26,913.662",,,,,,,,
[2A1] Producción de cemento,"18,190.161",,,,,,,,,,,,,,,,,,,,,,,,,,,"18,190.161",,,,,,,,
[2A2] Producción de cal,"3,103.816",,,,,,,,,,,,,,,,,,,,,,,,,,,"3,103.816",,,,,,,,
[2A3] Producción de vidrio,577.276,,,,,,,,,,,,,,,,,,,,,,,,,,,577.276,,,,,,,,
[2A4] Otros usos de carbonatos,"5,042.409",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,042.409",,,,,,,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2B] Industria química,"2,880.117",194.831,666.574,"2,786.880",,,,,,,,,,,,,,,,,,,,,,,,"6,528.403",,,,,,,,
[2B1] Producción de amoniaco,"1,041.686",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,041.686",,,,,,,,
[2B2] Producción de ácido nítrico,,,508.005,,,,,,,,,,,,,,,,,,,,,,,,,508.005,,,,,,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,158.569,,,,,,,,,,,,,,,,,,,,,,,,,158.569,,,,,,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2B6] Producción de dióxido de titanio,201.000,,,,,,,,,,,,,,,,,,,,,,,,,,,201.000,,,,,,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,,,,,,
[2B8] Producción petroquímica y negro de humo,"1,597.412",194.831,,,,,,,,,,,,,,,,,,,,,,,,,,"1,792.243",,,,,,,,
[2B9] Producción fluoroquímica, ,,,"2,786.880",,,,,,,,,,,,,,,,,,,,,,,,"2,786.880",,,,,,,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2C] Industria de los metales,"19,970.169",3.522,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"19,973.691",,,,,,,,
[2C1] Producción de hierro y acero,"19,536",3.522,,,,,,,,,,,,,,,,,,,,,,,,,,"19,539.059",,,,,,,,
[2C2] Producción de ferroaleaciones,318.552,,,,,,,,,,,,,,,,,,,,,,,,,,,318.552,,,,,,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2C5] Producción de plomo,116.080,,,,,,,,,,,,,,,,,,,,,,,,,,,116.080,,,,,,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,144.258,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,144.258,,,,,,,,
[2D1] Uso de lubricantes,124.937,,,,,,,,,,,,,,,,,,,,,,,,,,,124.937,,,,,,,,
[2D2] Uso de la cera de parafina,19.321,,,,,,,,,,,,,,,,,,,,,,,,,,,19.321,,,,,,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2E] Industria electrónica,0.000,0.000,0.210,0.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,19.252,1.990,0.160,0.000,0.057,0.000001,1.675,1.756,25.474,,,,,,,,
[2E1] Circuitos integrados o semiconductores,,,0.161,0.372,,,,,,,,,,,,,,,0.001,1.434,0.800,0.160,0.000,0.057,0.000001,1.450,0.706,5.142,,,,,,,,
[2E2] Pantalla plana tipo TFT,,,0.049,,,,,,,,,,,,,,,,,0.047,,,,0.0001,,0.224,1.050,1.370,,,,,,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,17.772,1.190,,,,,,,18.963,,,,,,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,513.503,27.214,8.670,4.386,"5,702.100","6,637.940",88.267,315.090,12.145,35.116,0.249,0.262,464.025,"1,143.939",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"14,952.906",,,,,,,,
[2F1] Refrigeración y aire acondicionado,,,,,513.503,,,,"5,372.296","6,637.940",88.267,,,,,,,"1,143.939",,,,,,,,,,"13,755.945",,,,,,,,
[2F2] Agentes espumantes,,,,,,,,4.386,2.935,,,,,,0.249,,464.025,,,,,,,,,,,471.595,,,,,,,,
[2F3] Protección contra incendios,,,,,,,8.670,,,,,,12.145,35.116,,0.262,,,,,,,,,,,,56.193,,,,,,,,
[2F4] Aerosoles,,,,,,,,,326.870,,,315.0899464,,,,,,,,,,,,,,,,641.959,,,,,,,,
[2F5] Solventes,,,,,,27.214,,,,,,,,,,,,,,,,,,,,,,27.214,,,,,,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,184.107,184.107,,,,,,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,184.107,184.107,,,,,,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2H] Otros,51.712,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,51.712,,,,,,,,
[2H1] Industria de la pulpa y el papel,51.712,,,,,,,,,,,,,,,,,,,,,,,,,,,51.712,,,,,,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-180,133.395","95,665.315","33,255.297",,,,,,,,,,,,,,,,,,,,,,,,,"-51,212.784",,,5.298,,,,,
 [3A] Ganado,,"94,677.958","7,513.960",,,,,,,,,,,,,,,,,,,,,,,,,"102,191.918",,,,,,,,
     [3A1] Fermentación entérica,,"76,655.015",,,,,,,,,,,,,,,,,,,,,,,,,,"76,655.015",,,,,,,,
          [3A1a] Bovino,,"73,062.666",,,,,,,,,,,,,,,,,,,,,,,,,,"73,062.666",,,,,,,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
             [3A1c] Ovinos,,"1,537.830",,,,,,,,,,,,,,,,,,,,,,,,,,"1,537.830",,,,,,,,
          [3A1d] Caprino,,"1,130.320",,,,,,,,,,,,,,,,,,,,,,,,,,"1,130.320",,,,,,,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
          [3A1f] Caballos,,433.715,,,,,,,,,,,,,,,,,,,,,,,,,,433.715,,,,,,,,
          [3A1g] Mulas y asnos,,107.530,,,,,,,,,,,,,,,,,,,,,,,,,,107.530,,,,,,,,
          [3A1h] Porcinos,,382.953,,,,,,,,,,,,,,,,,,,,,,,,,,382.953,,,,,,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
     [3A2] Gestión del estiércol,,"18,022.944","7,513.960",,,,,,,,,,,,,,,,,,,,,,,,,"25,536.903",,,,,,,,
          [3A2a] Bovinos,,"11,037.264","6,608.427",,,,,,,,,,,,,,,,,,,,,,,,,"17,645.692",,,,,,,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
             [3A2c] Ovinos,,17.970,37.860,,,,,,,,,,,,,,,,,,,,,,,,,55.830,,,,,,,,
          [3A2d] Caprino,,13.180,20.980,,,,,,,,,,,,,,,,,,,,,,,,,34.160,,,,,,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
          [3A2f] Caballos,,40.308,,,,,,,,,,,,,,,,,,,,,,,,,,40.308,,,,,,,,
          [3A2g] Mulas y asnos,,10.316,,,,,,,,,,,,,,,,,,,,,,,,,,10.316,,,,,,,,
          [3A2h] Porcinos,,"5,168.280",506.660,,,,,,,,,,,,,,,,,,,,,,,,,"5,674.941",,,,,,,,
          [3A2i] Aves de corral,,"1,735.624",340.032,,,,,,,,,,,,,,,,,,,,,,,,,"2,075.656",,,,,,,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
  [3B] Tierra,"-180,788.99",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-180,788.988",,,,,,,,
     [3B1] Tierra forestales,"-189,339.14",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-189,339.14",,,,,,,,
          [3B1a] Tierras forestales que permanecen como tal,"-186,915.40",,,,,,,,,,,,,,,,,,,,,,,,,,,"-186,915.401",,,,,,,,
          [3B1b] Tierras convertidas a tierras forestales,"-2,423.74",,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,423.742",,,,,,,,
     [3B2] Tierra de cultivo,"-9,014.82",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-9,014.82",,,,,,,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-17,582.83",,,,,,,,,,,,,,,,,,,,,,,,,,,"-17,582.834",,,,,,,,
          [3B2b] Tierras convertidas a tierras de cultivo,"8,568.02",,,,,,,,,,,,,,,,,,,,,,,,,,,"8,568.016",,,,,,,,
     [3B3] Praderas,"16,942.23",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"16,942.23",,,,,,,,
          [3B3a] Praderas que permanecen como tal,-547.95,,,,,,,,,,,,,,,,,,,,,,,,,,,-547.950,,,,,,,,
          [3B3b] Tierras convertidas en praderas,"17,490.18",,,,,,,,,,,,,,,,,,,,,,,,,,,"17,490.182",,,,,,,,
     [3B4] Humedales,237.70,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,237.70,,,,,,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,,,,,,
