,INVENTARIO NACIONAL DE EMISIONES DE GASES Y COMPUESTOS DE EFECTO INVERNADERO (INEGYCEI),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CATEGORÍA / FUENTE / SUBFUENTE 
DE EMISIÓN",Emisiones de gases de efecto invernadero  (Gg de CO2e ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carbono negro
(Gg)"
,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CO2,CH4,N2O,HFCs,,,,,,,,,,,,,,,,PFCs,,,,,,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
,,,,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,,,,,,
  Potencial de calentamiento,1,28,265,"12,400","1,924","1,650","3,170","1,120","1,300","3,943","1,624","3,985",138,"2,640","8,060",982,804,858,677,"6,630","11,100","8,900",1,"9,540",2,"16,100","23,500",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (Gg de CO2e),"320,049.422","177,993.314","34,340.821","1,530.983",66.289,0.000,0.507,0.000,"3,966.544","3,867.351",30.975,22.586,0.000,0.000,0.000,0.000,220.935,0.000,0.001,1.131,0.631,0.127,0.000,0.045,0.000001,1.145,140.893,"542,233.701","718,446.882",,84.703
[1] Energía,"447,212.950","45,204.527","3,574.504",,,,,,,,,,,,,,,,,,,,,,,,,"495,991.980",,,77.550
[1A] Actividades de quema del combustible,"414,309.696","2,938.860","3,505.495",,,,,,,,,,,,,,,,,,,,,,,,,"420,754.051",,,61.559
[1A1] Industrias de la energía,"172,860.204",139.975,303.086,,,,,,,,,,,,,,,,,,,,,,,,,"173,303.265",,,10.467
[1A1a] Actividad principal producción de electricidad y calor,"134,140.616",115.319,269.042,,,,,,,,,,,,,,,,,,,,,,,,,"134,524.977",,,8.661
[1A1b] Refinación del petróleo,"12,496.346",9.743,15.661,,,,,,,,,,,,,,,,,,,,,,,,,"12,521.750",,,1.511
[1A1c] Manufactura de combustibles sólidos y otras industrias de la energía,"26,223.242",14.913,18.382,,,,,,,,,,,,,,,,,,,,,,,,,"26,256.538",,,0.296
[1A2] Industrias manufactura y de la construcción,"50,010.485",83.892,115.937,,,,,,,,,,,,,,,,,,,,,,,,,"50,210.314",,,0.949
[1A2a] Hierro y acero,"2,618.166",1.641,2.201,,,,,,,,,,,,,,,,,,,,,,,,,"2,622.008",,,0.038
[1A2b] Metales no ferrosos,"1,235.013",0.993,1.610,,,,,,,,,,,,,,,,,,,,,,,,,"1,237.617",,,0.009
[1A2c] Sustancias químicas,"9,776.037",5.396,6.248,,,,,,,,,,,,,,,,,,,,,,,,,"9,787.680",,,0.066
"[1A2d] Pulpa, papel e imprenta","2,388.416",1.715,2.591,,,,,,,,,,,,,,,,,,,,,,,,,"2,392.722",,,0.051
"[1A2e] Procesamiento de alimentos, bebidas y tabaco","1,976.792",34.800,44.809,,,,,,,,,,,,,,,,,,,,,,,,,"2,056.401",,,0.496
[1A2f] Minerales no metálicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2g] Equipo de transporte,181.860,0.109,0.138,,,,,,,,,,,,,,,,,,,,,,,,,182.107,,,0.001
[1A2h] Maquinaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2i] Minería (con excepción de combustibles) y cantería,"11,147.163",11.512,20.051,,,,,,,,,,,,,,,,,,,,,,,,,"11,178.726",,,0.080
[1A2j] Madera y productos de la madera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2k] Construcción,755.021,0.871,1.648,,,,,,,,,,,,,,,,,,,,,,,,,757.539,,,0.003
[1A2l] Textiles y cueros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[1A2m] Industria no especificada,"19,932.017",26.856,36.641,,,,,,,,,,,,,,,,,,,,,,,,,"19,995.514",,,0.204
[1A3] Transporte,"157,919.868",438.734,"2,781.895",,,,,,,,,,,,,,,,,,,,,,,,,"161,140.497",,,16.239
[1A3a] Aviación civil,"4,915.798",0.948,35.880,,,,,,,,,,,,,,,,,,,,,,,,,"4,952.626",,,0.070
[1A3b] Autotransporte,"149,244.524",429.556,"2,554.830",,,,,,,,,,,,,,,,,,,,,,,,,"152,228.910",,,16.045
[1A3c] Ferrocarriles,"1,694.024",2.702,176.237,,,,,,,,,,,,,,,,,,,,,,,,,"1,872.963",,,0.040
[1A3d] Navegación marítima y fluvial,"2,065.522",5.528,14.948,,,,,,,,,,,,,,,,,,,,,,,,,"2,085.998",,,0.084
[1A3e] Otro transporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1A4] Otros sectores,"33,519.139","2,276.259",304.577,,,,,,,,,,,,,,,,,,,,,,,,,"36,099.975",,,33.903
[1A4a] Comercial/institucional,"4,789.472",10.862,2.409,,,,,,,,,,,,,,,,,,,,,,,,,"4,802.744",,,2.311
[1A4b] Residencial,"20,425.437","2,234.237",284.839,,,,,,,,,,,,,,,,,,,,,,,,,"22,944.513",,,31.278
[1A4c] Agropecuario/silvicultura/pesca/piscifactorías,"8,304.230",31.159,17.329,,,,,,,,,,,,,,,,,,,,,,,,,"8,352.718",,,0.314
[1B] Emisiones fugitivas provenientes de la fabricación de combustibles,"32,903.254","42,265.666",69.009,,,,,,,,,,,,,,,,,,,,,,,,,"75,237.929",,,15.991
[1B1] Combustibles sólidos,180.868,"6,361.657",,,,,,,,,,,,,,,,,,,,,,,,,,"6,542.525",,,0.000
[1B1a] Minería carbonífera y manejo del carbón,180.868,"6,361.657",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"6,542.525",,,0.000
[1B1ai] Minas subterráneas,172.250,"6,102.067",,,,,,,,,,,,,,,,,,,,,,,,,,"6,274.317",,,
[1B1aii] Minas superficie,8.618,259.590,,,,,,,,,,,,,,,,,,,,,,,,,,268.207,,,
[1B1b] Combustión espontánea y vertederos para quema de carbón,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,0.000
[1B2] Petróleo y gas natural,"32,722.386","35,904.009",69.009,,,,,,,,,,,,,,,,,,,,,,,,,"68,695.404",,,15.991
[1B2a] Petróleo,"30,058.617","28,685.521",68.866,,,,,,,,,,,,,,,,,,,,,,,,,"58,813.004",,,
1B2ai Venteo petróleo,"6,273.187","6,406.647",,,,,,,,,,,,,,,,,,,,,,,,,,"12,679.834",,,
1B2aii Quemado petróleo,"23,737.664","22,170.272",68.866,,,,,,,,,,,,,,,,,,,,,,,,,"45,976.802",,,15.991
1B2aiii Otras fugitivas petróleo,47.766,108.602,,,,,,,,,,,,,,,,,,,,,,,,,,156.368,,,
[1B2b] Gas natural,"2,663.770","7,218.489",0.142,,,,,,,,,,,,,,,,,,,,,,,,,"9,882.400",,,
1B2bi Venteo gas natural,"2,202.452","2,866.257",,,,,,,,,,,,,,,,,,,,,,,,,,"5,068.708",,,
1B2bii Quemado gas natural,455.223,8.493,0.142,,,,,,,,,,,,,,,,,,,,,,,,,463.859,,,
1B2biii Otras fugitivas gas natural,6.095,"4,343.739",,,,,,,,,,,,,,,,,,,,,,,,,,"4,349.833",,,
[2] Procesos industriales y uso de productos,"46,602.763",211.986,294.588,"1,530.983",66.289,0.000,0.507,0.000,"3,966.544","3,867.351",30.975,22.586,0.000,0.000,0.000,0.000,220.935,0.000,0.001,1.131,0.631,0.127,0.000,0.045,0.000,1.145,140.893,"56,959.482",,,0.000
[2A] Industria de los minerales,"28,490.508",0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"28,490.508",,,
[2A1] Producción de cemento,"17,738.942",,,,,,,,,,,,,,,,,,,,,,,,,,,"17,738.942",,,
[2A2] Producción de cal,"2,630.273",,,,,,,,,,,,,,,,,,,,,,,,,,,"2,630.273",,,
[2A3] Producción de vidrio,570.707,,,,,,,,,,,,,,,,,,,,,,,,,,,570.707,,,
[2A4] Otros usos de carbonatos,"7,550.585",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,550.585",,,
[2A5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B] Industria química,"2,877.359",209.243,294.462,"1,530.689",,,,,,,,,,,,,,,,,,,,,,,,"4,911.752",,,
[2B1] Producción de amoniaco,946.898,,,,,,,,,,,,,,,,,,,,,,,,,,,946.898,,,
[2B2] Producción de ácido nítrico,,,130.977,,,,,,,,,,,,,,,,,,,,,,,,,130.977,,,
[2B3] Producción de ácido adípico,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[2B4] Producción de caprolactama, glioxil y ácido glioxílico",,,163.485,,,,,,,,,,,,,,,,,,,,,,,,,163.485,,,
[2B5] Producción de carburo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2B6] Producción de dióxido de titanio,183.871,,,,,,,,,,,,,,,,,,,,,,,,,,,183.871,,,
[2B7] Producción de ceniza de sosa,40.020,,,,,,,,,,,,,,,,,,,,,,,,,,,40.020,,,
[2B8] Producción petroquímica y negro de humo,"1,706.570",209.243,,,,,,,,,,,,,,,,,,,,,,,,,,"1,915.812",,,
[2B9] Producción fluoroquímica, ,,,"1,530.689",,,,,,,,,,,,,,,,,,,,,,,,"1,530.689",,,
[2B10] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C] Industria de los metales,"15,047.993",2.744,0.000,,,,,,,,,,,,,,,,,,,,,,,,,"15,050.737",,,
[2C1] Producción de hierro y acero,"14,814",2.744,,,,,,,,,,,,,,,,,,,,,,,,,,"14,817.154",,,
[2C2] Producción de ferroaleaciones,174.370,,,,,,,,,,,,,,,,,,,,,,,,,,,174.370,,,
[2C3] Producción de aluminio,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C4] Producción de magnesio,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C5] Producción de plomo,59.213,,,,,,,,,,,,,,,,,,,,,,,,,,,59.213,,,
[2C6] Producción de zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2C7] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D] Uso de productos no energéticos de combustibles y de solvente,157.973,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,157.973,,,
[2D1] Uso de lubricantes,134.265,,,,,,,,,,,,,,,,,,,,,,,,,,,134.265,,,
[2D2] Uso de la cera de parafina,23.708,,,,,,,,,,,,,,,,,,,,,,,,,,,23.708,,,
[2D3] Uso de solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2D4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E] Industria electrónica,0.000,0.000,0.127,0.294,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,1.131,0.631,0.127,0.000,0.045,0.000001,1.145,0.557,4.057,,,
[2E1] Circuitos integrados o semiconductores,,,0.127,0.294,,,,,,,,,,,,,,,0.001,1.131,0.631,0.127,0.000,0.045,0.000001,1.145,0.557,4.057,,,
[2E2] Pantalla plana tipo TFT,,,0.000,,,,,,,,,,,,,,,,,0.000,,,,0.000,,0.000,0.000,0.000,,,
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,0.000,,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,0.000,0.000,0.000,0.000,66.289,0.000,0.507,0.000,"3,966.544","3,867.351",30.975,22.586,0.000,0.000,0.000,0.000,220.935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"8,175.188",,,
[2F1] Refrigeración y aire acondicionado,,,,,66.289,,,,"3,689.530","3,867.351",30.975,,,,,,,,,,,,,,,,,"7,654.145",,,
[2F2] Agentes espumantes,,,,,,,,,1.770,,,,,,,,220.935,,,,,,,,,,,222.706,,,
[2F3] Protección contra incendios,,,,,,,0.507,,,,,,,,,,,,,,,,,,,,,0.507,,,
[2F4] Aerosoles,,,,,,,,,275.244,,,22.58644594,,,,,,,,,,,,,,,,297.830,,,
[2F5] Solventes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G] Manufactura y utilización de otros productos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,140.336,140.336,,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,140.336,140.336,,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H] Otros,28.931,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,28.931,,,
[2H1] Industria de la pulpa y el papel,28.931,,,,,,,,,,,,,,,,,,,,,,,,,,,28.931,,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
"[3] Agricultura, silvicultura y otros usos de la tierra","-174,718.901","94,154.509","27,229.508",,,,,,,,,,,,,,,,,,,,,,,,,"-53,334.883",,,5.660
 [3A] Ganado,,"92,744.264","7,233.513",,,,,,,,,,,,,,,,,,,,,,,,,"99,977.777",,,
     [3A1] Fermentación entérica,,"75,627.512",,,,,,,,,,,,,,,,,,,,,,,,,,"75,627.512",,,
          [3A1a] Bovino,,"71,901.782",,,,,,,,,,,,,,,,,,,,,,,,,,"71,901.782",,,
          [3A1b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A1c] Ovinos,,"1,409.740",,,,,,,,,,,,,,,,,,,,,,,,,,"1,409.740",,,
          [3A1d] Caprino,,"1,237.950",,,,,,,,,,,,,,,,,,,,,,,,,,"1,237.950",,,
          [3A1e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A1f] Caballos,,570.244,,,,,,,,,,,,,,,,,,,,,,,,,,570.244,,,
          [3A1g] Mulas y asnos,,175.278,,,,,,,,,,,,,,,,,,,,,,,,,,175.278,,,
          [3A1h] Porcinos,,332.518,,,,,,,,,,,,,,,,,,,,,,,,,,332.518,,,
          [3A1i] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
     [3A2] Gestión del estiércol,,"17,116.752","7,233.513",,,,,,,,,,,,,,,,,,,,,,,,,"24,350.265",,,
          [3A2a] Bovinos,,"10,693.860","6,432.166",,,,,,,,,,,,,,,,,,,,,,,,,"17,126.026",,,
          [3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
             [3A2c] Ovinos,,16.590,35.230,,,,,,,,,,,,,,,,,,,,,,,,,51.820,,,
          [3A2d] Caprino,,13.930,21.710,,,,,,,,,,,,,,,,,,,,,,,,,35.640,,,
          [3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3A2f] Caballos,,53.168,,,,,,,,,,,,,,,,,,,,,,,,,,53.168,,,
          [3A2g] Mulas y asnos,,16.483,,,,,,,,,,,,,,,,,,,,,,,,,,16.483,,,
          [3A2h] Porcinos,,"4,678.354",446.064,,,,,,,,,,,,,,,,,,,,,,,,,"5,124.419",,,
          [3A2i] Aves de corral,,"1,644.366",298.343,,,,,,,,,,,,,,,,,,,,,,,,,"1,942.709",,,
          [3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
  [3B] Tierra,"-179,471.31",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-179,471.313",,,
     [3B1] Tierra forestales,"-189,436.49",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-189,436.49",,,
          [3B1a] Tierras forestales que permanecen como tal,"-191,052.31",,,,,,,,,,,,,,,,,,,,,,,,,,,"-191,052.314",,,
          [3B1b] Tierras convertidas a tierras forestales,"1,615.83",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,615.828",,,
     [3B2] Tierra de cultivo,"-8,669.73",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"-8,669.73",,,
          [3B2a] Tierras de cultivo que permanecen como tal,"-16,002.69",,,,,,,,,,,,,,,,,,,,,,,,,,,"-16,002.691",,,
          [3B2b] Tierras convertidas a tierras de cultivo,"7,332.96",,,,,,,,,,,,,,,,,,,,,,,,,,,"7,332.962",,,
     [3B3] Praderas,"17,371.61",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"17,371.61",,,
          [3B3a] Praderas que permanecen como tal,-563.99,,,,,,,,,,,,,,,,,,,,,,,,,,,-563.990,,,
          [3B3b] Tierras convertidas en praderas,"17,935.60",,,,,,,,,,,,,,,,,,,,,,,,,,,"17,935.601",,,
     [3B4] Humedales,88.06,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,88.06,,,
          [3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B4b] Tierras convertidas en humedales,88.06,,,,,,,,,,,,,,,,,,,,,,,,,,,88.063,,,
     [3B5] Asentamientos ,"1,169.05",0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,"1,169.05",,,
          [3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B5b] Tierras convertidas en asentamientos,"1,169.05",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,169.051",,,
     [3B6] Otras tierras ,6.18,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,6.18,,,
          [3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
          [3B6b] Tierras convertidas en otras tierras,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,6.177,,,
  [3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,494.28","1,410.25","19,995.995",,,,,,,,,,,,,,,,,,,,,,,,,"22,900.520",,,5.660
     [3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,257.875",447.318,,,,,,,,,,,,,,,,,,,,,,,,,"1,705.193",,,5.660
          [3C1a] Emisiones de quemado de biomasa en tierras forestales,,606.260,212.400,,,,,,,,,,,,,,,,,,,,,,,,,818.660,,,2.012
          [3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,586.175,178.368,,,,,,,,,,,,,,,,,,,,,,,,,764.543,,,3.246
