ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,11.967093779413023,14.325850093302922,17.05189205955335,17.757924528301892,21.183228911367053,19.55581761006289,18.122210888690553,18.662659768715763,18.87605769230769,17.812996277915637,14.96477564102564,13.291935483870969,16.96437022787728
1986,12.386764042409204,14.044454099821746,14.679090909090903,19.586172839506172,20.83590186873409,19.664090909090902,18.669802867383506,19.53937918441875,19.181333333333335,16.81390644322874,15.70191358024691,13.027693244065734,17.0108752767775
1987,11.714552315963608,13.000357142857142,14.870146627565989,17.7069696969697,19.20948924731183,20.691787878787885,19.478445747800585,20.233988269794715,19.95196969696969,16.737903225806456,14.897878787878792,14.279618768328442,16.8977589505029
1988,12.10270737327189,15.191417359502069,15.848572281959383,18.56953703703704,21.08333317785779,20.57676768514423,19.277956989247315,18.975620347394543,18.348921789105447,17.234748927379627,15.890506450856208,13.72318380576119,17.235272768709727
1989,14.108180822856989,14.531284340659344,15.36041117197538,18.194496855345914,20.7547693509901,21.406497505963994,20.017431761786597,19.034819734345355,17.799197012138194,16.8719233723266,15.529113139508679,11.780906341310983,17.11575261743401
1990,13.08639683505782,13.1279651675485,16.42311384851707,18.77166484218209,21.512418729772374,21.023076923076925,18.78000000000001,18.36774193548387,17.929133333333333,16.887760273671088,14.829340277777778,13.11356155365372,16.98768114333955
1991,12.53329501138387,14.17755994005994,16.947706143389258,19.366666666666667,21.113588872926734,20.888141025641026,18.008058551250237,18.990884339674665,17.625961538461546,16.198325062034737,14.274679487179494,13.209644262856164,16.944542575127027
1992,11.440291563275434,12.364993302576194,15.710483870967742,16.71777740937224,18.882075009013594,20.648397435897436,19.60812335159261,18.722276323797928,18.553238993710693,16.39470480827754,13.96043699848189,14.146226415094342,16.429085456838134
1993,13.106968959220938,14.150687581112106,15.297596153846154,17.80635220125786,19.52130249543518,21.068081761006294,19.57897139379184,19.542148508825317,18.6516339869281,17.843769765970908,15.878525641025643,14.03383934218849,17.206656482550734
1994,13.13635005973716,15.291666666666671,17.123864994026285,18.561574074074073,21.580824372759853,20.327932098765427,20.067054958183995,19.160543608124257,18.38533950617284,18.119623655913983,16.362654320987655,14.842057212416309,17.74662379398571
