ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,11.052290308524007,12.020371311260236,13.327013481878716,17.784792542781553,19.01478004219281,22.82988576986942,26.029443732872174,25.755289610173882,21.77610185728507,19.454984422944992,14.226903519617425,12.896352765675392,18.01401744708964
1986,14.631220490120848,14.057542996326102,16.09015451865022,17.642246228253725,19.274686636515753,22.998834627643763,24.670567087762798,26.37377523426536,21.24962542019356,18.556917754865168,16.204865403296445,12.723308291005615,18.706145390741614
1987,11.707500762982399,13.186254653773283,14.63091052141672,18.36612050741485,19.541179733358113,22.739254842593244,23.747653685163858,25.123214778964456,24.090419956986416,22.080953263339687,15.753701204630183,11.419883294328148,18.532253933745945
1988,12.605442558730633,14.499416453606765,15.612199872511397,17.0088385344195,19.160965585128533,21.26425561762155,25.66755606017472,25.040850755374272,23.236065100538546,21.136394063279596,15.560503008071532,12.404034008618373,18.599710134839615
1989,11.513086506669179,13.335242520694463,16.40112671867333,19.20850930521186,19.50039455970974,22.697532585048602,25.264233029899067,24.297548309318714,23.69791821575022,19.24954261306882,16.518985683932478,13.996039782116563,18.806679985841086
1990,12.669264314462723,12.495618111530668,15.161534469714624,18.029053437564635,19.61425154184426,24.15018009647698,26.836384051582677,25.212468021443627,24.558702090473982,21.722093037526967,17.289565075698746,12.467100835257515,19.183851256964783
1991,13.051072482990095,15.750038258624516,13.330287026249678,16.35012293285927,18.14602750842848,20.429683077361947,23.174965753726443,24.485009226667994,23.699917806469536,21.880625561618814,16.949433861065224,12.900549639362794,18.345644427952063
1992,13.000247329998025,14.888549962043765,14.984065167674675,19.19868315231025,20.711078899377668,22.612153029876087,25.32986691874995,26.855832358157848,25.352423509101428,21.005575201858935,16.312647195433357,12.343782223047887,19.382908745635824
1993,13.300507752446059,13.614743166971698,16.15946408767833,17.97084219019147,19.821715069579774,21.898716561017576,23.07473307681633,24.515347583258283,23.347920473230285,20.688813977837,16.40332837901498,13.862258250179929,18.72153254735181
1994,13.834607124754154,13.616179979752015,15.739137480595108,17.310858592885083,18.77669594309301,23.010341214492698,24.832130701705317,26.50367664840011,24.87318585157508,19.892058726072484,14.217313893801773,12.484244764226803,18.757535910112804
1995,12.712010244114575,15.765487707425471,16.114090372759303,16.74195974571083,18.08071162687169,21.418710653295683,25.3927831792981,26.78604911058433,25.20964049664364,20.733430569739763,17.97590128829607,13.898563858038862,19.235778237731527
1996,13.771841877016925,15.15499045172838,16.119843085548162,18.63481115488524,21.10933214044494,23.57721120157208,26.18580753888306,26.66191613451791,23.665503171931668,19.39930311655972,16.083419419854692,13.873684248485006,19.519805295118985
1997,13.360105517571357,13.428577659699755,16.864547234736413,16.838481059425337,21.89063627931388,21.821794074160056,24.503366767723357,26.836769467666137,25.744995272376983,20.588433318573962,16.78851724430693,12.58756428630912,19.27114901515527
1998,13.119243138122028,12.486911512266584,14.571072411277932,15.456971589122581,17.749494125851545,20.96683316291366,25.336189221465872,26.950854552496743,23.50137682946198,19.049732733894345,15.283529958748698,11.90335563935747,18.03129707291495
1999,13.13264434197752,13.29680441560682,13.291608460291027,14.952772315531332,17.943916375760814,20.81257745208894,24.324056515969353,24.5984912559127,23.00682063805172,21.750689554132965,17.26118517285678,13.431737763037383,18.15027535510145
2000,14.015186062915983,14.103579495096083,14.52927909396423,18.360035153363484,20.57310173106012,23.327873712211908,24.381503968152664,25.870009360757003,24.045594955711685,18.582877020011004,13.564613600837461,14.36719295729473,18.810070592614696
2001,11.949523558515349,12.506199666596283,15.132476096848174,15.995377670131418,20.87189577611313,23.812981585092615,24.95903728963907,25.60303016349779,23.745876633406745,20.320190521085472,16.72257098900008,12.6134504028637,18.686050862732483
2002,12.42479451747229,14.232154910307088,14.852988309312954,17.2553238907222,19.11271424556721,22.820380694303584,24.949828329434126,25.17420222215464,25.232797284825736,19.158623752739075,17.544428852657926,13.175323794667854,18.827796733680387
2003,14.011498664157656,12.165395355673136,14.809582111436953,14.080459770114942,17.82078352020351,20.661724137931035,25.09156354282536,26.113979112594237,24.597361339171684,19.60826612903226,14.811749680715195,11.78986903437682,17.963519366519396
2004,12.542569659,12.638181819500002,18.790030215,18.505311355,21.993939395,23.349609375,27.312304689999998,26.680163935,25.72284345,19.515797550000002,14.084113712,12.936068702290079,19.505911154815838
2005,13.760475786009291,13.472898814751453,15.55430701634745,17.25591459760937,21.257205763545016,22.999782485921543,27.532054253717916,27.03353845478646,24.686649014958615,20.693772146235542,17.961890408897037,14.058382350492646,19.68890592443936
2006,13.84736840885,14.874926344934112,13.519168573415609,16.828129833473582,21.321892901231823,26.10412059827187,27.31233,27.0013658928263,25.43287981242895,20.39367140566728,17.729874475441296,14.276448591091448,19.886848069802692
2007,11.518051177252385,13.847235203740102,17.179465556379768,17.2289370608317,20.272438909816408,23.68112187909749,26.863412163287293,28.053261700109566,24.636784326516054,21.223065458814986,18.29884845018501,13.044627471480947,19.653937446459306
2008,11.635196937691328,13.263031299361614,15.562105845449867,18.178985751032243,19.446999266569,23.846280550789125,25.54306178194679,26.793806519948955,25.79422187190236,22.38805322941097,18.331661865443373,13.54741433351183,19.527568271088118
2009,14.774046142363549,13.455289859775668,15.05527239370966,16.95,22.695164840056492,22.725051234556165,26.12034147986882,27.240358950688353,27.09179762176889,19.41000022783061,16.873904741548458,13.178023597496288,19.630770924138577
2010,13.946651049391381,13.82517845687027,14.785381989003913,15.921939016784663,18.75125099547075,23.437718531944952,27.21698321822663,28.253271979975562,26.064220516876553,22.148011272997376,16.724673264341945,15.35864511173638,19.702827116968365
2011,14.122743222525468,11.103749074029981,16.345799392657344,18.090704373424156,19.58413916180607,23.68165126375945,25.456849076666582,26.29906067508749,25.341140021955844,20.965367871621673,14.781011373200016,10.455165014674389,18.85228171011737
2012,15.6,13.4,14.1,17.6,22.0,23.9,24.5,27.9,26.2,22.3,17.2,14.0,19.891666666666666
2013,12.944454230769228,13.748185259932153,18.6,19.2,23.5,25.5,26.5,26.9,26.7,22.2,18.1,14.2,20.67438662422511
2014,17.0,17.0,19.2,20.9,24.1,25.2,27.5,27.7,29.6,24.5,19.0,15.8,22.29166666666666
2015,16.0,17.7,19.8,20.2,19.8,25.1,25.8,27.7,27.0,23.8,16.1,11.8,20.9
2016,13.8,18.8,17.7,19.3,20.2,27.3,29.0,28.8,25.9,24.4,19.8,14.6,21.633333333333336
2017,13.7,15.5,19.2,20.4,22.7,26.4,29.3,29.0,25.5,28.0,19.2,15.8,22.058333333333334
2018,16.3,15.5,16.6,20.4,20.5,24.3,28.6,29.6,27.2,21.6,17.1,13.8,20.958333333333332
2019,14.3,12.2,15.6,20.4,20.4,24.1,25.6,28.1,25.3,21.0,17.9,13.6,19.9
2020,13.6,14.4,14.3,18.1,22.7,24.2,26.7,28.5,26.6,23.0,16.4,13.8,20.2
