ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,15.702535950621588,16.3417579652634,18.869056644302088,20.618485946420726,22.77174162150152,25.078030303030303,27.94279061002431,28.59966690440003,27.457055896009614,24.077373369435747,20.21841931216931,17.895559735142477,22.131039521526763
1986,18.45920223528376,18.193148189648163,19.766519419908168,23.42918331374853,22.808146220039983,25.039347673066274,27.576054747473044,28.438881830922092,26.79475412328313,23.54054288388264,21.302237303221617,17.739307493494326,22.757277119497644
1987,16.080021479892288,16.676016227082066,18.070632429675207,20.93708235411998,21.413335638535813,24.77259520261844,27.772142469204926,28.58393078360768,27.913868989772364,26.440584068162952,20.74659510974201,16.8923857576836,22.19159920917478
1988,16.810298960327827,18.63953903124558,18.802641779878762,20.57045956188546,22.338047599935642,24.866049683786116,27.32430156545012,27.95690728805519,27.34588380831415,24.28331651047864,19.806714285714275,17.01943468540403,22.14696623003965
1989,14.621437521520905,17.211425104022183,19.01937433793981,21.608894230769238,22.99244278337371,24.418403459276238,27.519655588774363,27.756199439932466,27.869717553303413,25.073085715080367,20.925299796593325,17.266583791916393,22.19020994354187
1990,16.233458351788563,15.719715021883772,18.398106131507106,20.74530424268303,22.535331128215372,26.359446486928103,27.91589996096384,27.881721371344245,27.767859537922327,25.142947501581276,21.087418300653596,17.72596652339596,22.292764546572272
1991,16.333642592063953,17.72797860694409,18.07629475487177,20.635885885885884,21.212564177080303,23.801187080497428,25.86689228110599,28.044653250468574,27.21777509569941,25.132909862220977,19.83836878289827,16.55838912558329,21.70387845794333
1992,15.944198151714401,17.070398633591367,18.274841459250062,21.193119994995,23.441099543566335,25.73264525993884,28.471346077260044,28.410638413942614,28.446965273976765,25.360315810629977,20.268189102564097,17.359733994404213,22.497790976319475
1993,17.580363757327294,16.942747493734338,19.42531126202603,21.071003086419754,22.144495412844044,24.91746472177506,26.954184829991284,28.02717233362395,26.52824242424243,25.195618041678564,20.709780140836166,18.116837503768465,22.301101750688947
1994,17.319096012402078,17.121309523809522,19.104634825887295,20.76862115671136,22.09410467920382,25.360586686704124,27.71520672338415,28.144177367157326,27.99974275724276,24.474594868916974,20.483489702056893,17.207836654399472,22.316116746489644
