ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,12.98954685099846,14.155765306122447,16.72167338709677,15.820857142857141,17.6215668202765,17.168761904761904,16.076457938013913,16.75236559139785,16.501190476190477,16.040205278592378,14.487303921568628,13.355597722960152,15.64094102840305
1986,11.940731637303097,14.515800865800868,15.070270497311828,17.809095394736843,18.051977107180022,17.560252334770112,16.658681115591396,17.0769003022645,17.321344086021504,16.33583246618106,15.482888888888887,13.808064516129033,15.969319934348261
1987,13.469744160177974,14.441300705467373,16.115140478668053,17.181344086021504,17.86540092081195,17.566333333333333,17.33111342351717,17.552809573361085,18.134333333333334,15.19053069719043,14.698870967741934,14.684677419354841,16.18596659158158
1988,12.784454949944383,14.815086206896556,15.838530465949816,18.27392857142857,18.913580645161293,17.954927536231885,17.317671809256662,17.3605222734255,16.63651515151515,15.666774193548388,14.828786717752235,13.347220671949994,16.144833266088366
1989,14.226958525345621,13.539682539682543,14.252688172043012,15.592500000000001,18.210877416815833,17.96333333333333,16.424999999999997,16.30798771121352,15.325,14.919916911045942,14.928787878787881,12.712232423490489,15.36708040931318
1990,13.175851254480287,13.75223214285714,15.120362903225807,16.28545321637427,17.572420634920633,17.433333333333334,16.552123655913977,16.63741935483871,16.092592592592595,15.766129032258064,14.786666666666665,12.798151530395447,15.497728026488078
1991,13.869927384443514,15.13149350649351,18.10557184750733,18.735714285714288,18.85967741935484,17.48326923076923,16.450806451612905,17.899354838709677,16.674242424242422,15.628225806451614,14.016342737722047,13.377701612903225,16.352693962160384
1992,13.528259130898427,14.315606806986118,17.827712609970675,17.238666666666667,17.07016129032258,18.734166666666663,17.403225806451612,17.098051075268817,16.724444444444444,15.39696394686907,14.433333333333332,13.807447894847087,16.13150330606046
1993,14.28651475647112,15.014136904761905,16.095161290322583,17.435694444444444,17.22766577060932,17.360833333333332,16.873900293255133,16.802284946236558,16.130411877394636,16.100935281992435,15.251515151515152,13.444241909759738,16.00194133000803
1994,13.338403304870337,15.387445887445885,17.34193548387097,17.464737274220035,18.409498207885306,17.48560606060606,16.957917888563053,16.91275659824047,16.42346743295019,16.8252688172043,15.059555137844612,14.234503236778583,16.32009127753998
1995,13.425970509171409,14.369505494505495,16.067277283121687,17.510531135531135,18.757825956064806,17.616365007541475,16.910312805474096,16.996927803379418,16.803882575757576,15.789882697947217,15.143026315789475,13.426545020093409,16.068171050364764
1996,11.998387096774195,13.57510650428754,15.791397849462365,16.3,17.71574096531652,15.88536752136752,16.036021505376343,15.78688172043011,16.048333333333336,14.495046082949308,12.98721088435374,12.75057603686636,14.947505791709778
1997,12.742025089605738,15.540826138147569,16.397625448028673,16.753790726817044,16.965581797235025,17.890112863327147,16.97332039776861,16.862425938117184,16.83479010025063,15.45962183685019,14.712499999999999,13.652603138029406,15.898768622848102
1998,12.771177825969096,14.011862244897959,16.585162129367877,19.259340659340662,20.578834759710336,19.486538461538462,17.71856530566208,16.990322580645163,16.489487179487178,15.60426267281106,15.499663382594417,13.464674414487202,16.538324301375955
1999,12.651147866984907,14.279671717171718,16.104716520039098,18.879318181818185,18.77252688172043,18.734604045379907,16.912023460410552,16.900554319614386,16.458652597402597,14.74366338148318,12.934436781609195,12.015860183844335,15.782264661456542
2000,12.801894966495247,14.282183908045978,16.383112969600425,17.878450459006014,17.73607038123167,16.901504629629628,17.18264252672855,16.36132740081572,16.684895833333332,16.678763440860216,16.19348924022837,12.541573614557485,15.96882578087772
2001,12.625915625398443,14.536495911495912,15.986693548387093,18.04499229960183,17.49068100358423,17.249999999999996,16.894903983736384,16.934429079781623,16.58008658008658,15.624709932423817,13.420254792507114,13.113397129186602,15.708546657182469
2002,13.277731860669043,13.897664835164838,16.91661225022855,18.018206223975454,18.45862282878412,17.270897435897435,16.53589300484462,16.662574999671776,16.22025641025641,16.011166253101734,14.109615384615385,13.622075479227433,15.916776413869732
2003,12.977234205000956,15.864095519864748,16.862567204301076,17.87477744783811,19.27262544802867,17.25498553170967,16.96274678129517,16.645537634408605,16.745833333333334,16.18709677419355,15.3275,12.415322580645162,16.19919353838492
2004,13.48181818181818,14.844357366771161,16.24677419354839,16.833666666666666,17.21240690227704,16.640833333333333,16.528405017921145,16.811827956989248,16.383518518518517,17.203670745272525,15.608333333333334,13.947961061410764,15.978631106488356
2005,12.874763910013394,14.803129621413783,16.696428571428573,18.755562397372742,18.174661154784495,18.593589743589746,17.065880893300246,16.527295285359802,16.31557692307692,15.532878411910671,14.134444444444446,14.079978064050646,16.12951578506212
2006,14.20873140092706,16.737467747153207,17.60378580712682,19.73615127510158,18.917054047576542,18.40727425530671,18.24034041669576,18.246264286325466,18.610889371847932,18.035923582064576,14.693613096553456,13.885284828006915,17.2768983428905
2007,15.283574570739322,16.00924013725738,17.55804026997012,18.87172680111854,19.421213645673323,19.601505785453714,18.648677763705816,18.486724991928345,17.104129140414486,16.183396371593993,15.277994654257464,15.342362997717832,17.315715594152525
2008,14.499238209710134,16.603874617536725,17.173554161024168,19.81893116908497,19.78859788369067,18.35743072554784,17.21594434851348,18.5128211583656,17.69308577359406,16.383465619304953,14.717501987499952,14.203907957862285,17.080696134311236
