ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,22.786002304147463,22.898278061224485,24.081737773152962,24.157336008898508,25.40889916140153,26.97917845296952,25.661447811447815,26.275145161290325,25.682657450076803,25.711225117492187,23.953174603174602,23.50555083946425,24.758386062061707
1986,22.462131837307155,22.1662733426704,22.294039270687236,24.790238095238095,25.85334677419355,26.524281274281275,25.88597262952102,26.753062178588124,26.369285552889004,25.005235521061305,25.787654712204088,24.130374390203308,24.835157964903715
1987,22.4052639521422,22.08888236009602,22.911528505345707,24.119957264957264,25.35995242895013,27.691657822652544,27.099761115796376,26.686039370005204,27.435489714820008,26.13333714075649,25.38513977472417,24.26133506079743,25.13152870925363
1988,23.382037216901292,24.387183321604503,23.975221666781827,24.703331614107476,24.699550079539456,25.743326612723155,26.190277641211424,25.937817328544323,25.742046760710554,25.827626358461274,24.541161616161617,23.45676603302611,24.882195520814417
1989,23.020306748052928,23.00147005772006,21.970026881720432,23.637403688265753,24.916862170087974,25.899439560439564,25.747708076757327,25.763136326363885,25.068541967291967,25.259870199692774,24.869406906906907,22.496351857429325,24.30421037006074
1990,23.166359447004613,23.400875200507556,24.53677275826187,25.40288757136583,26.91104774021045,26.368644636015325,25.72630049404243,26.26962365591398,25.67180424939046,26.396559139784944,25.541664812754917,24.34369146722164,25.311352597706165
1991,22.69796350602802,23.80744904957868,23.622482893450634,24.570832811920653,25.396110056926002,26.32174677812608,26.190397258953986,26.157046269143038,25.846485538405545,25.687351060738152,25.058516822821076,24.489559486645852,24.98716179439481
1992,22.310402411208866,21.652147928136774,24.189638318670575,24.448137254901958,26.991552916692175,27.372520027864855,26.05379602476377,26.141006842619745,26.00368686868687,25.257025089605733,24.53527777777778,24.015744234924547,24.914244641321137
1993,23.209636689475403,23.23510543106132,23.52238179817479,24.411336670374485,25.123874327956987,26.045209235209235,26.30453419018817,26.4339117703533,25.964540781590415,26.379105424037462,25.273505747126443,24.19030465949821,25.00778722708718
1994,23.038839882500266,23.050830393885953,23.811001729751734,24.171600967937085,25.819713261648744,26.078490915832404,25.810321344703993,25.59928286988215,26.44166031643212,25.292969886510807,25.64553699712644,23.924489247311826,24.890394817793624
1995,23.637615207373273,24.28936366213152,23.78456221198157,24.04574074074074,26.0990407591214,27.230481874447392,26.53084454316621,26.188095238095237,25.96898496240601,25.7125919825447,24.98055489496631,23.15228272960294,25.13501323388144
1996,22.10774239896181,23.200558433837266,23.172131998516868,23.76831417624521,26.07715053763441,27.276091147974398,26.303720083246624,25.944810960804716,26.126648620134375,25.61826222684704,24.975,23.624784946236556,24.84960129420327
1997,22.117091571279918,23.318490783410134,24.18742831541219,24.660444444444444,27.0746870692032,27.248914431673057,27.25080645161291,27.342734502750112,26.509635416666665,25.68573588709677,25.326822916666664,23.342741935483872,25.338794477141665
1998,22.306720430107525,22.126149446404074,23.6396500005371,24.46702898550724,25.863225806451613,27.921666666666667,27.20084852734923,27.375785970302104,25.907280701754384,26.361172686333973,26.208666666666666,24.823401245048103,25.35013309442739
1999,22.27494623655914,23.63305996472663,23.551559139784942,24.799351395730707,25.67323878383389,26.849745484400657,26.818858560794045,26.14904420549582,26.092678571428575,25.863709677419358,24.565232498982496,22.901545698924732,24.93108085150675
2000,23.266738001966758,23.757053291536057,23.325879765395896,24.48673913043478,25.706090486342845,27.31029425287356,27.2151364764268,27.320223325062038,26.381831322272504,26.844075682382137,25.584999999999997,24.15981680605337,25.446573211728893
2001,23.997643896268187,24.606306689342404,23.159662058371737,24.971185344827585,27.117165898617507,27.85417487684729,27.646630362120952,27.17953286153171,26.57973891625616,27.139387467556546,25.264454022988506,24.783064516129038,25.858245575904803
2002,22.502182163187857,23.283835200746964,24.055882352941175,25.23114583333333,26.532056451612902,26.7571875,26.499940262843488,26.385887096774194,26.576979166666664,25.728709677419353,24.136250000000004,22.886635944700462,25.048057637518863
