ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,13.61081242532856,15.235185185185188,18.151807003032815,18.99261904761905,21.33906330328373,20.022901234567897,18.833699721226605,19.16649284501577,18.914573934837094,18.18996697993395,16.01146153846154,14.351344086021497,17.734993942042806
1986,13.047695852534558,15.199795081967212,15.856580645161293,20.36151041666667,21.481285202252938,20.033597883597878,19.152776308831307,19.295057560102506,19.452658402203852,17.6244654453764,16.70058237547893,14.552799406748239,17.72990038174348
1987,13.924741392972964,14.78666026975453,16.673837310953758,18.619834285714287,20.64803100125681,20.762513888888883,20.023074687590817,19.92525978133189,19.908180868243566,16.72735378966693,15.678433945756787,15.407879428873608,17.7571500542504
1988,13.460102772495121,16.219170260901297,17.002516129032262,20.224406982305116,22.27645862180439,21.61556559022076,19.991574660550285,19.599026926153027,18.567641064723063,17.462607243062656,16.720177325866988,15.096728273712017,18.186331320902248
1989,15.710549973558964,15.637975295992721,16.60751986338997,19.392578897261384,21.845550649145277,21.76795977011495,20.0781423804227,19.349349311626973,18.244926900584794,17.233582949308754,16.96258771929825,13.780731566820284,18.05095460646042
1990,14.769855479925027,15.490484843989512,17.687418435805533,20.124848484848485,21.808505782105904,21.287987421383647,19.333896090845137,19.185674511740178,18.75758021873729,18.071602449223423,15.894528102921019,14.406828037293124,18.068267488234856
1991,14.677453373219434,15.905160637973134,18.946761379746558,21.042079365079367,22.42409398645958,21.29606918238993,18.92867731495981,19.562912546791345,18.42542235957493,16.949644958409415,15.444391025641028,14.762245537112436,18.197075972279748
1992,13.325677419354836,14.318534773235774,17.513194211702277,18.260583226905066,19.524758930026074,20.417354525862066,19.70319593787335,19.036690805354393,18.90789137931035,17.0228046594982,15.603491457727783,15.012336585286135,17.387209492678025
1993,14.825280025803426,15.665288427338977,16.978878811278662,19.383362028476505,20.502543859649123,21.09895535088885,19.60475251999705,19.853073476702512,18.900973888055972,18.06614285225472,16.864240697320515,14.820921658986176,18.047034466396045
1994,14.60843845521265,16.5839168909322,18.78295920629642,19.858104767769177,22.08174153244817,20.74737198801645,20.13621916508538,19.70947712418301,18.928099584661453,18.869532258064517,17.290487942303354,16.286768817204297,18.65692647768142
1995,15.238302184673145,16.903803237466597,18.32265241540839,20.334782183908047,22.336551246893315,21.494148742460446,20.033265476563308,19.894159565834855,19.474771756978654,17.75008872291965,17.11990654205607,15.214581186388148,18.676417771795887
1996,14.446802902181854,16.424993224608222,17.469158820312877,19.57866277719726,22.59423185044627,21.29043131899396,20.772005376344083,19.875492769744163,19.727710868069565,17.93392984220081,15.902406110127783,15.562577313795371,18.464866931168523
1997,14.181305130668001,16.28119841792668,18.03527168458781,18.437738330209594,20.187878325236337,21.679855886908634,20.738197573310668,20.42202628582023,19.979102257097953,17.618328213005636,17.133371913211214,14.43283129403041,18.260592109334436
1998,14.221957711238288,14.727213700651193,18.064243642627606,20.903538836642284,23.03082507680492,22.904156890626847,20.789048484473952,19.9840952429106,19.785351790415135,18.065974384891742,17.166361761683902,15.032790479515116,18.722963166873466
1999,13.694749769126057,15.927912753423154,18.17654002389486,20.63151975683889,21.87150826685166,21.390377172524847,19.524828147380987,19.719521184947155,18.808562552938916,17.046344681300397,14.843870097758424,13.2419257659806,17.906471681080493
2000,14.272494661593365,16.01980327927962,18.503331614769706,20.597203379790503,21.613971083421365,20.180060849411603,19.905702964989764,19.369451058660864,19.559256992907322,18.29350019227838,17.161772003974942,14.11286861386255,18.299118057911663
2001,14.777348849121186,16.41092367459433,17.47458818097877,20.761836777656626,20.815416716367313,20.350379545273242,19.958874245925898,19.914320533391308,19.07992156926726,17.40326216461514,15.32872513505044,14.758117062639842,18.086142871240114
2002,14.320100121797635,15.441079299416026,18.366066713305983,20.716263831244675,22.07555194058564,21.067645920869708,19.734872799900668,19.899429546242743,19.190063680134315,18.895362961755982,15.317702588150755,14.426189431582511,18.287527402915554
2003,14.075463447734545,16.365361324952367,18.08414590021669,20.849184954290497,22.807740732898882,21.1763788117324,19.530478676771843,19.219362946014396,19.37370188816267,18.17649167193759,16.823224841660807,13.334912634408603,18.318037319231774
2004,13.45228494623656,14.505720443349757,18.392521994134906,19.421174968071526,21.031025226851632,19.942909704941346,19.649579973118282,19.949500768049155,19.370005924872615,19.112836714333223,16.50826086956522,14.043262768817206,17.948257025195115
2005,14.587069488236724,16.01169825072886,17.53709677419355,20.98272108843537,21.561882263495175,22.458845296739383,20.544069729553605,19.804952753339855,19.419411799202432,18.33558501011392,16.15401666666667,15.027115474520802,18.5353720496022
2006,15.524229938026378,18.100902992868644,19.935863260765927,22.766980370425266,22.37558593621047,22.12303373647426,21.511690995622867,20.85425633383973,20.84497544650913,19.674840523389555,16.915659756167145,14.80588458119955,19.619491989291575
2007,15.444609991188768,16.31761467011084,19.007001905777216,21.231544512416985,22.735405293930825,22.035195554787556,20.87274821023712,20.464135898867642,20.069065132208166,18.560477615984315,16.862149550852827,16.406434242964206,19.167198548277202
2008,14.889576900139538,16.980271043432115,25.38606003299731,27.641792392476027,28.065287401732803,21.64052943672995,19.636112322687115,20.67120677355009,19.63637722314916,24.807237137534017,15.808511812942346,14.787805100836305,20.829230631517234
2009,15.594354930342533,16.945946795711393,18.91815807619322,20.95,22.51739343461903,22.698711398261697,22.503726950408094,21.584752407453056,20.721098847822166,19.40071747161841,16.00543044625521,15.136499029411064,19.414732482341325
2010,13.221114480180809,14.11643076589115,17.64738442705827,20.045621783932287,22.496131575745395,23.058165030074587,20.636055246381446,20.988275697520386,24.89830896702064,17.883409348910348,15.845070485929613,13.665955016854573,18.708493568791624
2011,14.675245430147397,16.755827621104636,18.73575285559255,21.820167224749845,23.777509718215644,21.75831387533429,21.13754184365121,20.338049186248774,19.576214134771643,17.402302959086946,16.106127504225338,15.427184911571064,18.959186438724945
2012,14.6,15.9,18.3,22.5,22.4,22.0,20.4,20.5,19.9,19.7,16.4,15.7,19.025
2013,15.694753909090911,17.900806762523008,17.5,21.2,22.6,22.5,20.7,20.7,20.4,19.6,17.5,15.2,19.29129672263449
2014,14.1,17.6,19.1,21.2,21.4,22.0,20.4,20.5,20.4,18.9,16.5,15.7,18.983333333333334
2015,15.4,16.1,17.6,21.8,21.5,21.1,20.2,20.7,20.6,19.8,18.8,16.0,19.1
2016,14.2,15.6,18.1,21.1,23.7,21.9,21.0,20.8,20.5,19.4,16.9,16.8,19.166666666666668
2017,15.5,17.0,19.0,20.7,23.5,22.9,20.5,21.1,20.1,18.8,17.1,15.1,19.275
2018,13.9,17.4,20.3,21.3,22.8,21.4,20.7,20.4,20.2,19.7,16.4,14.5,19.083333333333332
2019,15.5,18.0,20.2,20.9,23.4,22.6,20.9,21.3,20.5,20.1,18.6,15.6,19.8
2020,15.2,17.3,20.6,22.8,22.2,22.1,21.4,20.7,19.9,18.8,17.5,15.9,19.5
