ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,12.348002373546692,13.813115743982776,16.0602090508416,16.600681704260655,17.728079454156408,17.578293405928605,16.494176634046156,17.006693832036067,16.656293193195182,15.739261650352077,14.488463686970944,13.274898552783396,15.649014106841713
1986,10.877211980105947,13.972012101942234,13.962769002595481,17.861859732872883,18.527286411196876,17.82128148455481,16.642284946236558,17.04599268373794,17.06413851747596,15.872312214188604,14.622901284485534,13.505317301793387,15.647947305098851
1987,12.919536247645254,13.972134991517015,15.479648408846128,16.512289101714465,18.04236203105235,17.93664807882638,17.194832716716547,17.548105446242122,17.622815176059426,14.014823016555251,14.358870931609555,14.302327261341425,15.825366117343824
1988,12.058954273073478,14.35494133693522,15.499918601687057,18.155744069454638,19.191542374841028,18.380677655677655,17.71312403144995,17.35878989588667,16.04242495487793,15.030198174543639,14.630025102391333,13.149741986338302,15.963840204763075
1989,14.065339123242344,13.672221204721204,15.081801263252876,16.654871794871795,18.81044665012407,18.723333333333336,17.71643339019851,17.61099985403591,16.478835978835978,15.063952892985153,15.564887005649716,12.767818740399385,16.017578435970858
1990,13.788027974531115,13.923752834467123,15.736315041957173,17.927783630539423,19.17505014402268,18.325853299705763,17.640997588817434,17.52043504836698,17.344100075318465,16.13114485230503,14.724457854406133,13.426845455314226,16.30539698331263
1991,13.765241120886285,14.031256416331042,17.765398812389662,19.41353205971322,19.699408652897695,18.583773075583423,17.20909090909091,17.468921978404737,16.610735183498953,15.220020863424814,13.468715045462343,13.297845310195385,16.377828285656538
1992,12.266456695019528,13.230840280409243,16.459966297544533,16.550344330976692,17.099595821847863,18.21983791113102,17.359415480202674,17.209921298439973,16.618284008107555,15.452721961872903,14.666422526041668,13.971303349984012,15.758759163464807
1993,14.125974780688349,14.677675565175566,15.643553966941067,17.570322335112206,17.83963861429067,18.20372759065312,17.60729006656426,17.427367325702388,16.734255190952908,16.01696583420049,14.947979550691242,13.758147269009722,16.212741507498503
1994,13.099757802681188,14.806684820176887,16.835461800589727,17.889644225506288,18.623999810987904,17.966723520326003,17.17635736194119,17.318298633928016,16.620794871794878,16.63688497882046,15.516219873933998,14.575375224014337,16.422183577058405
