ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,15.79925355431123,17.629399204839984,20.052793233157765,20.937477695934074,23.505595104914114,22.592689523963415,21.252673595568552,21.76041218643334,21.855936913725905,21.280363466790426,18.470933148558643,17.22502522248742,20.19687940422374
1986,16.48823653372753,17.320513128604787,18.511423762662922,22.312780235708967,23.593884113669493,22.72137575328449,21.74972654761781,22.125547786110168,22.028906693952937,20.331012080529412,19.612392703056248,17.11101449278206,20.3255678193089
1987,16.25767821981585,16.86091736717122,18.336269611949994,20.683575723531224,22.432551743254233,23.923744727190204,22.684253136502743,22.342556567571428,22.81056046381179,20.431450023802785,18.74124130109302,17.764035495488372,20.272402865098574
1988,16.406924107638243,18.499129271285295,18.86212227629311,21.39825289850596,23.091808349008573,23.186298193679406,22.150312236683146,22.044213439915154,21.900181678814462,20.70506164614465,18.929687419389943,17.23359808144969,20.367299133233967
1989,17.381543038591467,18.08668738542945,18.44834335785221,21.212647157192805,23.226986490569075,24.12589762684332,22.271407544530607,21.724565621255177,20.88983771084155,20.2572935557347,18.74313175927083,15.80936498055282,20.181475519055336
1990,16.75946203602032,17.10923244025641,19.50787290873109,21.755053652305083,23.84478379389075,23.400243660594022,21.67774576524358,21.77431048472845,21.392003230115378,20.965126543552632,18.715720284756518,17.04372292727586,20.32877314395584
1991,16.634331305492907,18.26569128947794,20.00885387888236,22.00885318044118,23.515660313257353,23.919032407921986,21.508931723544777,21.912616324962688,21.033745590051588,20.093416683939516,18.31821652577016,17.466946765222644,20.390524665747094
1992,15.783320852076264,16.090066267193272,19.27857294541026,20.381053506103306,22.316630344979675,24.48815972497581,22.38412667393701,21.862656541435484,21.378588105393693,20.003154393786293,17.667703870127994,17.5220536092807,19.92967390289165
1993,16.67517657362879,17.288985395015743,18.492016862563492,20.661718462269533,22.000216308392854,23.89721434147728,21.76148375956538,21.889665707984502,21.54840198172852,21.115714315757934,19.258218691083332,17.508535510835998,20.17477899252528
1994,16.802393965835883,18.350533265753853,20.044868970227274,21.36795766176515,23.929190654514922,23.450514009522216,22.69490933031429,22.095891995639285,21.81968022622302,21.422691420884327,19.977548561224644,18.53008322618382,20.87385527400739
1995,17.138056009721016,19.220163781697075,20.001092830100742,21.29374433945256,23.986733256746035,24.09956024531022,22.65861461698175,22.281270523163045,22.15250768637037,20.808099974948142,19.59177418134848,16.842012690969923,20.839469178067446
1996,16.39046086628409,18.64284890820803,19.130765118916663,20.832192467244596,24.205060329098536,23.60480777307972,22.754036455397053,22.06446131390876,22.076530921640742,20.58413822659854,18.399904157471628,17.397040673789284,20.506853934303138
1997,15.614467230280578,17.771235186442453,19.52091510132481,19.667397151778978,22.518268813611115,23.97529930390671,22.78099986657353,22.669315938894158,22.472935300808818,20.354503696051474,19.032835731270072,15.91374472131752,20.190993170188353
1998,15.753450710301415,15.784562079248225,19.216747720361695,21.4781394339928,23.899562165202205,25.102102163221016,23.153245819917267,22.52442577796014,22.223006830094207,21.585728040105845,20.053054369070374,17.947155848586466,20.726765079838472
1999,16.198928996288895,18.944025591069448,19.919436093817172,22.242869784640153,23.48824276039314,23.96955929087122,22.093231717605175,22.31454307312699,21.818051122177174,20.673629254543652,17.87936780310504,15.947702809975208,20.457465691467767
