ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,17.29004386089385,18.320450844900584,20.574987817691863,21.58962652621436,22.90144601045,21.991261944638563,20.762306397251514,20.922115582298186,20.79371730944208,20.116844935519865,18.03233997517807,17.15526302605795,20.037533685878074
1986,16.0901591466049,17.24254514606883,18.174200371659413,22.02507477515827,22.7179411440803,21.398933889087587,20.31963582738637,20.505638125648854,20.66181818903053,19.547765966075758,19.151458445495958,17.228703009034874,19.58865616961097
1987,16.71698180002574,17.42015361305474,19.10162834223189,20.89750045496323,22.366948006953233,22.273961183595745,21.21528017554929,20.99803818050368,21.477442708649637,19.578883084617857,18.620433937399998,18.062109339292256,19.89411340223644
1988,16.5243349263926,18.868804760736644,19.230550928881897,21.268523345050376,22.895164573652668,22.492478052586616,21.094638209452388,20.973214858520485,20.210445020845132,19.210299782734687,17.766899371433333,16.602667811733696,19.761501803501712
1989,17.581071602814433,17.86596217734895,18.577177744658417,20.766365024592787,22.77274016706315,22.74078147655851,21.163665848652172,20.890378097059788,20.239573086412786,19.32601170610345,19.29225012155747,16.670779788333327,19.823896403429604
1990,17.72379629638333,18.2882622355125,20.019042133107142,21.994565469000005,22.901277973335286,21.783620639801207,20.754246984767867,21.365460267408537,20.53609808977585,20.134064856109198,18.703831417626432,17.39798907096512,20.13352128614937
1991,17.168000434747057,18.37374338592262,20.46124135961309,22.2198824793012,23.373421269620486,22.569643549162798,20.515226574470233,20.807031692184523,19.805694444630944,19.12353202914117,17.304716422153867,16.761589160888235,19.873643566819684
1992,15.037112567189656,15.449861863778404,19.1723997770647,19.94131550836781,21.223542008362067,22.445773809654767,20.695779261051726,20.268328445738636,19.848314176310346,18.604054138720937,17.40808395832738,17.174616530710846,18.939098503773103
1993,16.904160178005746,17.359197693103653,18.561631030680722,20.757208835253007,21.86503409396342,22.460026928415658,20.448095091785856,20.5114862775,20.144554931889537,19.83415141280488,18.891019764530487,17.110682722392408,19.570604080027113
1994,16.536771796043755,18.32963446878049,19.99380409106098,21.210238996128044,23.103233786737498,21.455887383374996,20.92546489561176,20.329065804982754,20.23468364963186,20.191314970689028,19.121714229103446,18.197815363034884,19.96913578626496
1995,17.201135250910106,18.582665300454543,20.00606499951686,21.466386973466662,23.215417593609192,22.266919475662917,20.631428371936774,20.70321725303409,20.59606375016795,19.103316454052322,18.560205826154764,16.827635072296292,19.930038026771875
1996,15.677304146821424,17.88875688824097,18.855456333945124,20.363581170493674,23.281944664518296,21.812348513518753,20.878622824156622,20.5416977886358,20.5914005806875,19.403149904999996,17.72797824289881,16.880420448111114,19.49188845891901
1997,15.64504012709884,18.08746471653371,19.220369462917585,19.722842088673914,21.637072281369562,22.317540412592386,21.233401674188887,20.89266918211666,20.89899490585228,19.456205161102147,18.914596896984044,16.720867995391306,19.562255408735112
1998,15.777089389922219,16.228649921538455,19.603273000574468,21.637036534859554,23.599509846272223,23.7965936094835,21.564418919562495,20.896910182125,20.89373225201765,20.072009484064708,19.165685442174418,17.09829073652907,20.027766609926978
1999,15.981587135284887,18.043644915022224,19.70558313986667,21.774041031872095,23.039140504696427,22.170896165358826,20.474611638141177,20.297071271524388,20.174831136282357,18.77426075235714,16.96615491533735,15.312831007535717,19.392887801106607
2000,15.864224910644923,17.31381890661429,18.87711100572794,20.981364632514918,21.73077334012318,20.51999861178986,20.0123814325,19.73480260812,19.898594700219174,19.28644815552703,17.980662913057138,15.707020438182429,18.992266804585075
2001,15.774641185676051,17.350868848369863,17.72706939732877,20.797181545856162,21.041193493457744,20.175896681652173,19.558508277437504,19.56820769902985,19.04634012533333,17.96391052753077,15.960170957008067,15.655235865362899,18.384935383670264
2002,14.91239582449231,16.476157916146157,19.047507408938458,21.331067257920637,22.329097294209678,21.105917405180325,19.978449997064516,19.714781393258335,19.302303260352453,19.09377007391818,16.37533401769091,15.21686760076852,18.740304120828373
2003,14.693025004576274,16.06744611244643,17.465193548389998,20.249184981704083,22.320899107861703,19.99836956498913,18.785380009375004,18.472937076766666,18.843981844431816,17.730103391177778,16.63958333367045,13.336825277895343,17.883577437773727
2004,13.640975421904763,14.450123152452381,17.968932412119045,19.03725947911842,20.385562549219507,19.01518539784146,18.022132616694446,18.4161916011875,18.569999999550003,18.24855990875,16.10833333339583,14.660190615886364,17.376953874009974
2005,16.27887148290861,17.943731452120854,19.502643853442976,23.33892652766694,23.39013929980471,24.677085048324894,22.39174339126432,21.608466724130263,21.6938738302894,21.17446076080043,18.000422635697635,17.96727085050171,20.66396965474606
2006,17.32289829923768,19.7416574478387,20.864160362745924,23.175414993213842,23.597033098649533,23.105720728058934,22.136528108264613,21.673913404021718,21.52321337517639,20.74471757653124,18.301103199664944,16.667057398078654,20.737784832623515
2007,17.441252683054113,17.973631627295436,20.331251165899662,21.978545586905618,23.271815769575138,22.947250249147483,21.792656436835927,21.355358698655518,20.98133836101486,20.25706851916285,18.245527246889065,16.639030974973174,20.26789394328407
2008,17.155367387426228,17.338742197423613,19.576217927392463,22.454681619757757,23.08823263797625,21.75769556694615,19.802190635446998,20.921082554940554,20.309469428172818,18.79407067437734,17.223089724130375,14.737750268420852,19.429882551867614
2009,17.446028701856807,17.279171397003676,18.90643383688067,21.45,21.828550969447683,21.887494427361602,19.804630350538783,20.770356620312615,20.247259491239376,19.460505803411863,16.53291054072209,16.52395748699035,19.34477496881379
2010,14.399616344128752,14.46097289274337,17.700608699246004,19.913144318415526,22.30439309003416,22.330542028696506,20.271498828110317,20.16751711256015,19.96680229787124,18.084243050061296,16.07628537302768,13.991528020091483,18.30559600458221
2011,15.20786349916526,17.15783355283817,18.985912212231895,24.842637961078438,23.546302587996557,21.611086539413606,21.01976290778958,20.758004145264216,20.525322635586623,19.219666367590687,17.619595327684692,17.219243802176557,19.809435961568024
