ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,19.07538109835714,20.06518294045918,22.28985930010638,23.56708045095744,24.235212654062494,22.307106481354168,21.207874490416668,21.936673529968086,20.987788461375004,20.76614454088461,19.40894749701923,18.963440860450973,21.234224358784278
1986,17.366603415637254,19.570028011205885,20.281064516529998,23.48987179470192,23.596867245932696,22.18872549026471,21.597883065052088,21.79415371830612,21.527114637295924,21.39640456960417,21.184875274861703,19.361908030670207,21.112958314171888
1987,19.06588709654,20.112908730040004,21.774968983192306,23.134641649401964,24.2679346719717,22.952413522226415,22.020590363999997,22.115003982555557,22.51864996748113,20.30004135644231,19.869179438203705,19.97623564940566,21.50903795095506
1988,18.639754514150937,20.703033205472224,22.07929032244,24.030092592564813,24.92470075062264,23.654339622896224,22.167963355339623,21.909967741770004,21.251340180787235,21.153584229711115,20.108740740833333,19.028366059097827,21.63759777630716
1989,19.655481533847826,19.722185479311115,20.865170640706523,22.96362835274445,24.14829749091111,22.950744572033337,21.595491202363636,21.34090909128409,21.181912225977275,20.36027756931395,20.535151514999995,18.825586510045458,21.17873634862823
1990,19.440395894352275,20.437584175113642,22.092888562193178,23.501770917255815,23.775452312397725,22.885984848375003,21.45502625652326,21.746124031023257,21.518284899988892,21.353097242163038,20.11717391330435,18.97492987409783,21.441559410565688
1991,19.410947151872346,21.01067629156383,22.837474262553194,24.816843970957446,24.693915579872332,23.747572463554356,22.016619915413045,22.45329593248913,21.416811594271742,21.241129031684785,19.80615942038044,19.262307153141304,21.89281273064616
1992,18.83986676029348,18.973448276011112,22.277598566366663,23.26744444436666,23.145792426478263,23.036557970652176,22.043618513358698,21.768969144271736,21.52311594181522,21.287131836923916,20.43626811591304,19.781907433326086,21.365143285814753
1993,19.685376343866672,20.671150793499997,21.992321178065215,23.519855072565214,24.57436886401087,24.39068710092223,22.415376343877778,22.785483870855558,22.12011111155556,21.99376344097778,20.96255555603333,19.528387096611112,22.053286397736773
1994,19.474670087931823,21.434983766465905,23.39739736105682,24.244015151215905,24.94952346029546,22.84363636367045,22.741483382238634,22.194904691909088,22.03776515147727,21.862756598363635,20.945871211795456,20.49032258039773,22.218110817234848
1995,20.070405101372092,21.368438537976743,22.997524380279074,24.23248062034884,24.482038122840912,23.51217054259302,22.005626406569764,22.241532258227277,22.204156217272725,21.73109726313637,21.147557471102274,19.31335333865116,22.10886502169752
1996,18.161362006944444,19.918853073130435,21.303118279466663,23.235151515113635,24.452019116444447,22.488875969023255,22.096334311000003,21.948057184386364,22.19948148133333,21.414516129,20.040615941619564,19.32379928287778,21.381848690861656
1997,18.409436607755318,20.633527524574465,22.303843514382976,22.911733716354163,23.430199039489366,23.517295102250003,22.34845573075532,22.597518075968758,22.04815602860638,21.185312285404258,20.699548610875,19.306083450097827,21.61592580720949
1998,18.250096774289997,19.09974489804082,22.119607197897956,25.165166666899996,25.35693548413,25.248250383683676,23.059072580885417,22.423353494281248,21.95423611135417,21.798650428091833,21.162108843908168,19.130693054208333,22.063992993139298
1999,18.627284946572917,20.40985863079166,22.533400537625006,24.226145833437503,24.66260080633333,23.969201389302086,22.129547014265956,22.418016471840428,21.958510638404253,20.507035003436165,19.49741134804255,18.156626928489132,21.59130329571175
2000,18.33239533324468,19.90906089497872,22.275571236541666,24.045833333125,23.738084265857147,22.22493197282654,22.3985551075625,22.030073925072912,21.966269156739585,21.449966398125,21.416630306765303,18.665888813042553,21.537771728656796
2001,18.86760298021881,20.466842956918114,21.507539995070267,23.41777408600028,23.71096166865365,22.23065983782171,21.675481435841466,22.033638679676535,21.704883855947735,20.99403731618351,19.609542198988386,19.1468145161375,21.280481627288165
2002,18.78130498506818,20.363579734372088,22.757104454630955,24.476219512195122,24.533595594048776,22.284583333825,21.850120967787497,22.126411290762498,21.322083332725004,21.048977183268292,18.62170731714634,17.970564515925002,21.344687685146226
2003,18.70546813492683,20.455909863476194,22.186231313609753,24.690416666337498,25.475483871125,22.799208333587497,22.11463414608537,21.912320788499997,21.584270832765625,21.411498439161292,20.20387096779032,17.422803114551723,21.58017637265976
2004,17.703494623224138,18.789299309464287,21.694444444200002,22.79381422930435,23.718727042,21.776842105605265,20.90080645115,21.06443123918421,20.87394736786842,20.885383064562504,18.872575757727272,16.152620967937498,20.435532216852334
2005,17.796146953333334,19.86329365122222,20.742293906999997,23.295296296666667,23.563978494277777,23.367962962777778,21.45856854875,20.068663595142855,19.929444443083334,19.53521505425,18.681666666166667,17.715860215916667,20.50153256571561
2006,19.117927088751543,21.279666104605717,23.354332567316014,24.81131672044778,24.6770483271953,22.654378356087854,22.575618490005713,21.924051011522238,21.844457195787243,21.885634287668523,18.844732967723427,18.48169119724284,21.787571192862845
2007,20.722563454042817,21.37687527792748,23.623523866167876,24.728163823369187,24.991052105693228,23.95726730139969,22.003819611751805,22.92430002869566,22.30587625094166,21.33722575589278,19.872564752066733,20.7452890854867,22.38237677611963
2008,19.54548027641783,20.820903913879693,23.29870967847899,24.93609104964452,24.521027991242203,22.972112898047502,20.936654494314205,23.108508529552523,21.724315941172463,20.7773820886306,19.265762093114812,17.641726159116356,21.629056259467635
2009,19.2452822599665,21.11532822726643,22.577417686139558,24.5,24.73666965475504,23.118742930858794,21.117536166856702,22.38290199954685,22.09264131523002,22.046262413284076,19.348048113662884,19.914502539837684,21.84961110895038
2010,17.324563723193183,19.03466402201532,22.455525562072758,23.422305000488514,26.37966795030107,24.919370378792088,22.203375426734524,22.216135386982273,21.94876247469483,21.67717635328321,19.690038332179242,17.514944643421426,21.565544104513204
2011,18.406468141119504,20.36246663604321,22.56582374338306,24.764529942036717,24.848614266903034,22.696754587781154,22.07538919118166,21.28066065605818,21.637184107216658,20.177963616571905,20.223905319740133,18.403501998277015,21.453605183859352
2012,18.7,20.3,22.1,23.1,24.2,22.9,21.6,22.2,21.9,21.2,19.6,19.6,21.45
2013,19.72334316666667,21.518120941185455,22.6,25.1,24.7,23.0,22.2,22.6,21.8,22.2,20.9,19.9,22.18678867565434
2014,19.1,22.1,24.4,25.3,24.3,23.3,22.4,22.7,22.2,21.7,20.2,19.2,22.241666666666664
2015,19.9,20.7,22.6,25.7,24.3,23.1,22.7,23.0,22.8,22.8,22.6,20.7,22.6
2016,18.2,20.7,22.5,25.1,25.9,23.2,22.8,22.4,22.0,22.2,20.6,21.1,22.224999999999998
2017,19.7,21.5,23.4,25.0,25.4,23.1,22.5,22.6,22.2,21.6,20.3,18.8,22.174999999999997
2018,18.4,22.1,24.6,25.0,24.0,23.2,23.1,21.9,21.8,21.8,20.6,19.1,22.133333333333336
2019,21.4,21.9,24.4,24.6,25.4,23.6,22.4,22.6,22.4,21.7,21.2,19.5,22.4
2020,19.4,21.4,24.7,26.0,25.3,24.8,22.9,22.6,22.0,21.0,20.9,20.0,22.6
