ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,14.762255938631462,15.42262574318182,17.58816368026725,18.05586234270477,19.86982935930434,19.390571405656253,18.24739728553418,18.35651980442609,18.399347825943483,17.16866899972033,15.843049860904255,14.710852978963153,17.317928768769782
1986,13.20887211641666,15.694419336819438,16.02018357095283,19.016290185795242,19.635843413547914,18.78491295979376,17.88288043502174,18.292955766238375,18.43861962951724,17.490891840840057,16.622134950948276,14.976601101327585,17.172050442268258
1987,14.253499744014288,15.535882411000003,17.041555765199984,17.740175403307695,19.77620369066146,19.607861036283506,18.7777099676383,18.742238117817205,19.08597257648276,16.524757667368135,16.205306480133718,15.649915651246987,17.41175654259617
1988,14.207768078128158,15.567212938489128,17.121283097871128,18.95524561416842,19.99967681537641,19.020255507850518,18.513847125983872,18.106137457582417,17.572466794277776,16.53092879444706,16.078299404475906,14.58467150313291,17.188149427648643
1989,15.300032820790692,15.241598093136497,16.66283113112873,18.60398439288687,19.910200661689704,19.58636648869937,18.228494240910596,18.318076318103657,17.738129519615143,16.901823165502428,16.865441788719725,15.020136852443182,17.364759622802215
1990,15.057839362523561,16.334273538704544,17.432387155325983,19.32436012314898,20.18735529838552,19.512533255974994,18.85677231241358,18.804001650597403,18.64669368031891,17.28854296895255,16.098842069474635,14.768470427313007,17.692672653594474
1991,15.28912026027368,16.18008102594792,18.891830095166668,20.288048548174963,20.326193986161403,19.27434473455273,17.946242148813838,17.99020891538429,17.365000000274726,16.783106331994446,15.555719808551551,15.119444335588538,17.58411168257373
1992,14.683327902732318,15.006356905734693,17.80917628638614,18.247264367752635,18.269523534928574,19.071209946985817,18.34276549822649,17.907352486150504,17.53052956959357,17.03737301150278,16.06237482112323,15.565279217592249,17.127711129059083
1993,15.404888084525512,15.759530075563159,17.0141623042761,18.80026024369083,19.304850991666008,19.307424224871845,18.092568931793,17.967948460890703,17.721406473689918,17.496135357364714,15.995247518085225,14.743282972734182,17.300642136595933
1994,14.334362706573168,15.724216027713418,17.913024833958332,18.85678571445239,19.430517004011627,18.76859055240244,18.377612772121953,18.16237214792074,17.63219951748148,17.57217741954861,16.49644444442666,15.4498938877829,17.393183085699476
1995,15.262815174521426,16.114285714140845,17.312600212887325,19.577619837485074,21.06541732746585,19.680318040616598,18.221822426547636,18.436170848180808,17.8988296900847,17.158165036538463,16.309151514807105,14.822120387493854,17.65494301756414
1996,13.533724958552085,15.346232396042744,16.27883418512247,18.13763242635097,19.825955076180776,18.7177040697873,17.87896828448341,17.708884016850966,18.367911790174862,17.40792227462766,15.83633643643927,15.79873072052432,17.06990305292807
1997,15.01534117786076,16.433948863650976,18.216426121368976,18.226282085628036,18.38172716704346,19.73104477597015,18.84173487372388,18.943519167721433,18.310573830713235,17.014654140131153,16.466621574061538,14.797814690096764,17.531640705664195
1998,14.247910320644065,15.303250605203388,17.43050228443333,20.25924360806594,21.577907876012013,21.28152512005769,18.871216052305975,19.04459701002985,18.768711419423074,17.05352142889844,16.517682698146157,14.546815251031251,17.908573639520935
1999,13.931505376671431,15.280617665527778,17.430163779027396,19.92252882826613,20.23337829051639,19.675235830198275,18.09659092991803,19.07847002581579,17.703741122701615,16.03314352590678,14.037974873773587,13.570668130273582,17.082834864883065
2000,14.0985146672459,15.57096880144167,18.151995952560338,19.108744274298246,19.478287149288136,18.392534569183333,18.420020767212982,18.253009188251802,18.5039217196088,17.199419062863633,17.409570986184615,14.253386476476194,17.403364467884632
2001,14.479343406649999,15.963467815855928,17.307196787373016,19.55234729803279,19.699239895767242,19.0757581024127,18.72651732053174,18.82713997110938,18.488012517625002,17.231928009308334,15.988361185957631,14.962039164788461,17.525112622951017
2002,15.271170281274998,15.696115288210528,18.64830220755263,19.892853254315792,20.588358799921053,19.786314655675,19.40650820605263,19.43047538181579,19.28324312744737,19.03005093418421,15.903291826027775,15.31263440909375,18.187443197630962
2003,12.828917050357145,15.950595237733335,17.535714285642857,20.16474358973077,21.868951613625,20.854861111125,18.764267989615384,18.903846153423075,18.50819444470833,17.324596774041666,15.461805556166665,12.471774192916667,17.553188999923822
2004,13.735311060232146,14.622646903464284,16.655555555074073,18.09404761933929,19.23415898678571,20.154166666788463,20.407130730473686,20.7109507635,19.765092593055556,20.160589955777777,17.64305555536111,14.319623656416667,17.95852750385573
2005,15.046633941565219,16.063392856954543,18.53962131930435,19.936770832906248,20.21045785635484,20.954086021709678,19.975650364516127,19.701935484133337,18.89619540218333,18.868279570000002,16.782142857119048,16.250768049666668,18.435494546367785
2006,15.3053445242313,16.286749279303628,16.272395596537425,19.0629041889154,19.05227371116707,19.336966090480864,18.952697699106412,18.984266953531517,19.154576788886693,18.78318506214728,15.825703819288577,14.640200427876257,17.638105345122703
2007,15.12873914179897,16.285903636425417,17.78918278632901,19.46857088351401,20.130112886764376,20.052444029078707,19.364947101295215,18.872226204003184,18.65401618908708,17.46803794653385,15.803791071856633,15.591414182830315,17.88411550495973
2008,14.286645775968887,16.572213948131754,17.308870604273984,19.527619987661254,20.39318626269388,18.53682726391948,17.693520250603743,19.067346203111228,18.24377129298857,16.620438102446354,15.175521950242087,14.820204743906048,17.35384719882894
2009,15.018233586322037,15.58354451579736,17.249409780112174,19.9,19.153911721360622,19.61731086123328,18.720196584217593,19.511813331607133,19.105148148077504,18.590030298292692,15.799238818794372,15.916367263130281,17.847100409078756
2010,12.11192973089614,14.282541505270384,16.85581936563172,19.109711527652497,21.077863292988336,20.707631325927075,18.957404455228172,19.01164695697257,18.315757473503197,16.714601572391103,15.484333819067666,13.253143488769169,17.156865376191504
2011,14.778672712738011,16.05695125525087,17.589539892664657,20.136144439958954,20.716687870067155,18.949572911753624,18.80773226511132,18.927506596779132,18.419259906036423,16.68990040950902,16.095660713285284,15.170560934806298,17.69484915899673
2012,15.1,16.2,17.9,18.7,20.0,19.3,18.7,19.0,18.8,17.7,15.8,16.0,17.766666666666666
2013,15.429253061224486,17.705866796657613,17.4,20.6,20.5,20.1,19.4,19.5,18.9,18.6,16.4,15.7,18.35292665482351
2014,13.8,17.1,18.6,20.3,19.8,19.7,19.7,20.2,19.5,18.7,16.3,15.9,18.3
2015,14.7,15.6,17.1,20.1,19.8,19.4,19.4,20.4,19.6,18.9,18.2,16.6,18.3
2016,14.7,15.6,18.2,20.2,21.5,19.7,19.6,19.5,19.1,18.2,16.8,16.9,18.333333333333332
2017,15.7,17.1,18.1,19.8,21.4,20.3,19.1,19.8,18.9,18.0,16.2,14.4,18.233333333333334
2018,13.1,17.0,19.1,19.3,20.1,20.4,19.5,19.0,19.6,18.7,16.8,15.3,18.158333333333335
2019,14.2,18.1,18.9,20.4,22.1,20.8,19.6,20.3,19.7,18.9,17.8,16.0,19.0
2020,15.8,17.3,20.0,22.4,21.4,20.9,20.7,20.2,19.6,18.3,17.4,15.7,19.1
