ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,13.542050691023807,15.100371347087503,18.533362592036582,19.098583332874995,20.392183623294873,19.611461988078947,19.542448680022726,19.375723738192306,18.94528490021795,18.096401984858975,16.21575098826923,14.403858367024998,17.738123519415243
1986,12.471223482362497,16.417624223413046,16.18637096765,20.487178836926468,20.995434863399996,20.000341880346152,19.984819734264708,19.7362903227,19.542447916718746,17.64958376664516,16.68185770736364,14.478880235824324,17.886004494801227
1987,14.006699752192311,15.171978022410258,16.889327957024996,18.31662162106757,20.22416525180263,19.75380028795,19.359717742225,20.198064516575,19.89214185626829,16.266888440975002,15.40190244565385,15.457278742551281,17.578215553058016
1988,13.040336729236836,15.688793103421053,16.656373510527025,19.777549908921053,21.74263145198649,20.959234233864862,19.756162117423074,19.307182244269228,17.74934762374324,16.3079877111,16.268355079216217,14.409901433805555,17.638654595626218
1989,15.377265009947365,14.938069800474358,16.26713355986842,18.503114034999996,20.718234767166663,20.089819819837835,18.778988665675673,18.548561464932433,17.547613755985715,16.287633295985714,16.680996336457138,13.56376816747143,17.275099889900225
1990,14.733594919,15.373798357256412,17.212852920605265,19.479708931381584,20.908132549708338,20.396824561486838,18.871853524644738,18.909056467276315,18.686150793642856,17.553527117910257,16.067451559738096,14.57058021651282,17.730294326596958
1991,15.20017548577027,15.7380189260641,19.43300082697436,21.400726817289478,21.572071369971432,20.13048076885937,18.133777315112905,18.88330645206667,17.835566448344828,16.432651505844827,14.97775999958,14.67815147273913,17.867973949051446
1992,12.993685443642857,14.594409195549998,17.89479754036207,18.0167037035,18.639381720083332,20.053886328645163,19.793689822451615,18.925293631016665,18.711524724999997,16.47074545098077,15.884630303400002,16.226275901020834,17.350418647137776
1993,15.538430801419356,16.41182021128125,17.136300916275857,19.184918677,20.033413306468752,20.23043213975,19.75790061347059,19.741927111887097,19.101846046757576,18.26955584148333,16.75959764351667,14.90751447472,18.08947148200254
1994,15.139184060500005,17.27542488390909,19.203771586893936,20.098530531609377,21.554841631343752,20.008059849310346,20.148105015625,19.515685583625,18.806320140066667,18.683369669810347,17.682448701722222,16.43630881789286,18.71267087269238
1995,15.49540394233333,17.325694444483872,18.922070392948275,20.49837839677586,22.574481566166668,21.51320607601786,19.773407489549992,19.35069025311291,19.127567027629034,17.60506838903448,16.793654789016667,14.275056388892859,18.60455659633015
1996,13.96727508687931,15.981515927499998,17.220189420129035,19.652661227732146,22.48634285039655,21.135291472000002,20.89655913975,20.11801942453226,19.715545049870965,17.673147081,16.040477596812497,14.786010305041664,18.30608621513704
1997,14.157032258200001,16.50702239242857,17.76217357976786,18.735619868107143,19.923512259240738,21.68401704386207,20.63944842669231,20.524957359840002,20.050273636137934,17.703194466388886,17.679406950555556,14.680767725574077,18.33728549723293
1998,14.863068994892858,15.401393449706898,17.776012235766665,20.611140134148144,22.930678155586207,22.75796083375926,20.928778872407406,20.00419780501852,19.857097701607138,17.48114607428846,17.169653010576923,14.482730552142858,18.688654818325112
1999,13.594947295634617,15.033319783733331,18.625277930826922,21.20358438718667,21.75964397936594,21.034259735988226,19.153833734375002,19.68968015841502,18.017407842192306,15.969572564770832,14.219403346791665,13.511803222461541,17.651061165145176
2000,14.691503146661288,15.867142290999997,18.473640052517855,19.66402888317241,21.173297491407403,19.947733077833334,19.555524441944446,18.726862518535718,19.3139917901,17.658726220019226,17.690287633464283,14.26446548022,18.08560025223966
2001,14.666793700403847,16.353972743153847,17.672315926179998,19.97895850590909,19.52635823415,19.19224937389474,19.008142922343747,18.57146545715625,17.908601075833335,16.05348394529412,15.314432773382352,14.949848790531252,17.433051954019383
2002,14.490833628452378,14.8717621665,18.0359748745,19.516953241904762,20.352864480947368,19.429250000249997,18.433829254625003,18.898896433973686,18.386843863800003,18.478710637975002,15.441629310625004,14.5595910138125,17.57476157561381
2003,14.45800553646154,16.6310763885625,17.609890618583332,19.219576149125,21.94094454833333,19.470336258333333,21.001833335,20.978409095,20.63061674,18.400396825,17.77863248,14.017628204500001,18.51144551490825
2004,13.741269842,15.620043105999999,19.23151751,19.894166665,21.925757575,20.97552743,20.48,21.412053575,20.57215569,19.928883495,17.575120773,15.895454545,18.937662517166668
