ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,14.01147963058451,16.84234231647328,22.38359356341667,24.092013797059018,26.58742706835357,26.939848245931152,26.761749969432618,28.03886958975,27.112958319879553,24.855405232022385,22.63962177403309,17.222617926397813,23.123993952777806
1986,16.720655757018246,19.96611901279578,22.049909142870128,25.722362377624115,26.693892760645696,27.57926619484438,27.271892532798496,28.253941886333344,26.96122702641851,23.546946864390506,20.425462362835717,16.50432702248561,23.47466691175504
1987,15.170267670947762,18.175158729981476,19.22310451982609,21.890691464140286,26.302527785441175,27.346394557891156,26.962125959746384,28.208991747668918,27.230099502611942,23.680050504924253,20.416415193609847,18.97051612907692,22.79802864715552
1988,14.64549920663158,18.000470985063906,20.889237900343282,24.610481042030298,26.595469466432533,27.324163725236225,27.387397663923082,27.127460223802316,25.77600118582143,23.743663644641224,21.943294719418606,18.404468155576918,23.037300659910116
1989,19.506937614046223,17.628255849870698,21.003755078034487,24.531209809072653,28.010340805635593,28.73071035298318,27.9856936219173,27.32314476007462,25.634640489817514,23.179709500655548,21.583939675930147,12.812519848160585,23.160904783849883
1990,18.31001677699645,19.775440368425535,21.98042062008456,24.826428571571434,27.576712142489285,28.979908465379438,26.887443509239134,27.1055804095803,25.950960231642334,23.02286453568116,21.056175697735718,17.539394499264283,23.58427881900747
1991,17.351018867529852,19.0174932868797,23.855565974038164,26.66912697100719,27.89802735617647,28.097642270821417,26.143651272410075,28.137203089822698,24.993023714750002,23.944574086751764,18.391815920182843,18.04892849020423,23.5456726083812
1992,15.183660299017863,18.795477222852515,21.934063547223026,23.146205959449645,24.6930496119007,28.03684717486972,27.26118871607042,27.287789123669057,26.46191060953238,23.211674347285715,19.10547260416188,18.633972521706568,22.812609311478294
1993,17.5829525386728,19.31649947318889,21.317414504632353,24.362099780025744,25.57244157734815,26.592148148048146,27.12233126857088,27.819057990693437,25.905834095571432,22.920667623206526,18.977614925963778,17.98220408697826,22.955938834408368
1994,16.97581866844814,18.28684612385869,20.830927156689782,23.433582478370504,26.714219568115936,27.833211875942034,28.574832949375,27.179608022652474,25.37317882444681,23.96736770721632,22.797762696546098,19.37591075718929,23.445272235737587
1995,17.598173784464535,19.953546099322686,21.387656714765953,24.968271472624103,28.77981610894566,28.03067073606522,27.850030307654407,26.965365797211106,26.532522775381477,23.719044287851844,20.53487654312221,17.81707431417647,23.678087411798803
1996,16.01029654305435,18.661675778210714,19.87512626463669,23.82588922110001,27.841966536910718,28.392503283475186,28.687107414330562,27.124593914822697,26.55403363242857,23.763783594287226,20.825526360778575,17.99660730421072,23.296592487353834
1997,15.940883216024648,19.05885265298592,22.234774445705668,21.667931545113483,25.35269477669149,27.750069288916073,28.236601082801407,28.635141719968317,26.879261904621416,23.243431638536222,20.42770155861786,16.21534458575715,22.970224034644968
1998,19.522603150386033,20.07766481280292,21.335342594832113,24.751360618974072,28.637034657733324,30.400298507499997,29.186704545189382,28.64805466647328,27.103426564629633,23.832428029440305,22.264356746731345,17.965041885255467,24.477026398328988
1999,18.082850614438925,20.547837615400006,23.050896590338464,26.578288728694034,28.06388487819549,28.15163275359928,26.668144307200393,28.002190841693235,25.666163816403454,22.559544036717554,20.099092806446976,16.80800866882171,23.689877971495793
2000,18.780545905838455,20.99297210292307,24.151581885711543,25.045171884789063,27.544881905019373,26.801669680373067,28.206717054865383,27.225906476395345,26.565931283155052,22.662346837250006,20.674687385585933,15.753598816554263,23.700500934871712
2001,16.489922019080293,20.28137635231716,21.250456518548507,25.320359596694026,26.2355593713963,28.243202891432322,28.203803992306682,27.85672406222016,25.74910447777238,23.542888563196968,20.85045011830917,18.364489450476917,23.532361451145906
2002,17.54330991849618,17.175380048152675,21.82028086980615,25.846541883914732,27.74502067795,28.205996987503944,27.002001194956357,28.208541246683595,26.227899770015995,24.98248210902419,18.540106053911014,17.128165191745687,23.368810496013378
2003,16.017749344120833,19.138811272826445,22.350223176338986,24.724739275056038,28.952182596913637,28.59896988770388,26.709797528856384,27.191553937016124,26.307666667166664,23.68800104320755,21.76322595657843,17.358639311813718,23.566796666466555
2004,18.24105735106731,19.16537166259259,23.175871790736366,24.233727272463632,26.075395894354543,27.025188679150947,27.801271712596158,28.603990901538456,27.15550314471698,26.35161611141346,23.03791666681818,18.574841896119562,24.12014609029735
2005,20.553506109782607,20.420705730760872,22.816094384444444,25.34365372457447,27.846334310909093,29.983763118478258,29.067053771956523,28.785132470113634,28.40902173934783,25.351301588255808,21.711170723409086,19.170413561125,24.954845936096465
2006,18.653222761871373,19.336697044295523,24.011825025622187,27.286849781989865,27.792141010755664,28.648222591557776,29.182283865201185,29.940939493994843,28.38328442559498,24.963634516822076,21.295808745807193,16.98802362023335,24.7069110736455
2007,14.896502298754925,18.069359490891426,22.431946814592116,24.279212511960733,27.541395772771597,29.121205596782662,28.57568503449807,28.746357992332104,27.636260767536932,24.91750557232064,21.002912124466057,19.799560037980907,23.918158667907345
2008,16.8593918904365,21.039085704093154,22.325243852594674,25.418267664465343,24.803752427054096,28.644327793650913,26.84229370486093,29.006709514452712,26.13582341827013,23.955856183161302,20.316986046905743,17.520954117575258,23.572391026460064
2009,18.306644553054365,20.738680769426235,21.60415478804977,25.85,28.14776374906785,29.649292447612964,29.28719259771031,30.51917315514283,27.546302732987478,25.354044734370955,20.63136873769058,15.621597849367852,24.438018009540098
2010,15.544806492330585,15.583269054988587,19.521127092554934,24.213440515026218,27.731814874428945,29.376756529140174,27.710856271273187,29.131808170874347,27.232990719022474,24.29463555746755,20.993635030098115,17.566523576691544,23.241805323658056
2011,16.99287992421107,18.22377677140418,23.822375336358952,27.368394873254978,28.626969231258236,28.628262276086428,28.620405356060914,29.12874695181184,28.47885090763699,24.28507671805259,21.094564436589202,17.445122389653083,24.392952097698203
2012,18.3,18.7,22.9,25.8,27.9,29.1,28.7,29.5,27.9,25.6,21.4,19.8,24.63333333333333
2013,17.656657833333334,22.035777875942987,22.1,25.1,27.2,29.6,29.0,29.3,27.2,25.5,20.4,16.0,24.25770297577303
2014,15.7,18.9,20.9,25.2,26.0,28.8,28.7,30.0,27.5,25.6,18.9,19.3,23.791666666666668
2015,14.9,17.7,20.4,26.0,27.5,28.4,29.3,29.9,28.3,26.1,22.7,19.8,24.3
2016,16.8,19.4,23.6,25.9,27.9,28.4,30.0,29.6,28.8,26.6,23.1,20.6,25.058333333333337
2017,20.3,23.2,24.1,26.0,28.1,29.9,29.1,30.2,28.1,24.2,22.7,18.4,25.35833333333333
2018,15.1,22.0,23.9,24.5,28.0,29.3,30.0,30.1,28.6,24.9,19.4,17.9,24.474999999999994
2019,17.4,21.0,22.2,25.1,29.3,30.4,30.0,31.6,28.8,25.6,20.4,19.1,25.1
2020,19.5,19.1,25.2,27.7,28.2,28.7,30.2,29.4,27.4,25.4,23.2,17.9,25.2
