ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,29.954718205413428,31.7934263983371,34.53997265480164,34.74894173602854,35.790282755874166,34.990675782798256,34.37390082547861,34.65489736070381,33.81651766709238,32.921266427718045,32.36237701149426,30.606336405529966,33.379442769272515
1986,29.381340923466162,32.84635854341737,33.43846153846154,36.456862745098036,36.467109424414915,34.84312925170068,34.62945041816009,34.99082858950031,34.49404761904762,33.91580645161291,32.85608974358975,31.981854838709676,33.858445007264926
1987,30.512844574780054,32.557486772486776,33.61849860613301,34.12205851619644,37.426185077436465,35.470358620689666,34.283154121863795,34.395545314900154,34.68358850574713,32.07837634408602,31.815540229885052,31.480908492429222,33.537045431386154
1988,29.917972350230407,31.486503468382427,33.45934139784946,36.004547726136934,36.38514784946236,34.7583725182863,34.5563967522493,34.11764705882353,32.93569954297509,32.190988956136515,32.34263565891472,30.35916601101495,33.20953494087183
1989,31.61601978034615,31.929285714285715,33.5312047399605,35.14652777777778,35.90759408602151,36.2352488425926,35.089272318079516,34.64538073293834,33.39847142401022,32.54692290093799,32.10863090676883,29.71440360090023,33.48908023538495
1990,31.045761440360103,31.92547501759325,32.52363090772693,34.79912280701754,36.10387596899225,35.037898550724634,34.60728494623656,33.69450156656811,33.437984496124024,32.696114369501466,31.54503875968992,30.54854838709677,33.163769768135964
1991,31.714071054393624,32.20446428571428,35.351530190239856,37.139837398374,36.77606901725433,35.49457364341084,35.05349908905797,34.99073909961006,33.65806878306878,32.84065696302124,30.898029761904763,30.34243377917649,33.87199775543551
1992,30.05381493506493,31.295797880280634,33.96033724340177,34.248270531400955,34.63355521420038,35.09314625030143,33.922165200391,33.895468509984646,32.579961240310084,32.14812453113278,31.50436507936508,31.25941778127458,32.88286869975902
1993,31.24708304735758,32.12171269988107,32.942169540229884,34.88833333333333,34.71226130886169,33.94642857142857,33.99950076804916,33.44048943270301,33.11328042328042,32.87455400782013,31.96704806687566,31.515560334528082,33.064035127862375
1994,30.789725209080046,32.273089700996685,33.65327255726976,36.024806201550376,36.3479262672811,34.789682539682545,34.88133640552995,34.37250384024578,33.318803418803405,33.457258064516125,32.21375,31.105569341053215,33.60231029550075
1995,31.67505900865461,32.65486583522298,34.40826121164438,35.84184210526316,37.01867966991747,34.348412698412695,33.46597542242703,33.74137224782386,33.233252032520326,31.472776644831697,31.844471544715443,31.037893391030675,33.39523848437202
1996,30.743448540706613,32.048357963875205,32.975293255131966,34.5944566353187,35.06938489280704,33.86644444444445,33.70371669004207,33.320897615708276,34.42922480620155,32.40917562724015,31.3475,30.843582704186687,32.945956931305226
1997,30.155153422501975,32.31579365079365,34.5991935483871,35.09181818181818,35.46456188515214,34.43273905600391,33.79618980832166,33.65881949210708,32.642876008804116,31.827522306108435,31.268503401360537,29.489704873026756,32.8952396361988
1998,30.224379652605457,31.72921798029558,33.01420595533498,35.69930358350238,36.808808933002474,36.36838629704756,33.94807113316789,34.198076923076925,33.826124770455,31.947611248966084,30.671311697092623,29.60614143920595,33.17013663447941
1999,29.21737849462366,30.4640693400167,33.05725806451612,36.207754629629626,36.59182347670251,33.91951577402788,32.47529169526425,33.30799438990182,31.951527777777784,30.680376344086014,28.56248471508927,28.335984169653518,32.06428823927409
2000,29.08032696949748,30.910953051171216,34.29112903225808,36.362939579772785,36.4992159498208,33.91209586696014,34.62261424731182,32.89631663234957,32.85270833333333,31.17952314165498,31.126666666666672,28.261355344435216,32.66632040126934
2001,28.46928152492667,31.579451345755682,33.05462833099578,35.47629629629629,34.19003584229391,33.96983333333334,33.621480938416425,33.20032258064516,33.269481481481485,32.339130434782604,30.4822463768116,29.74215949820789,32.44952899866224
