ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,14.124609781477625,18.290575333757157,22.4008868670159,25.338070416332016,30.39848002123988,31.95232093663911,30.48725092622601,30.493779546718585,27.447431192660535,24.921523003701747,21.378637390706363,19.123759667987173,24.69644375703851
1986,18.844692583402264,21.240792120337566,22.831661696936848,28.18973850574714,30.12162090109304,31.15270402298851,29.11941372767127,29.654204483324214,28.070565134099617,24.674389901823275,20.551652173913045,15.285051843317973,24.97804059122123
1987,17.055101341707108,18.072216432401614,21.06680938416422,24.706574460022733,27.539112798681906,31.891453626634963,31.078002405615873,29.2570669447258,28.00694224874742,26.350236906000692,21.178610178136044,18.976789183801944,24.598242992553363
1988,18.019197670210506,20.667909922589725,23.189259316424,26.338658542909,31.0775210429794,32.058956916099774,29.759002740881304,29.213588789887158,29.773905651340996,27.445728532068234,24.371630177818894,18.743951612903228,25.888275909676015
1989,18.320539828834765,21.414375773950244,25.006554564172948,29.180216131250614,32.32658547289884,34.82875526522453,32.0148912228057,29.28174786043449,28.734913793103438,26.85076890065088,21.94258771929825,16.69859732561346,26.383377821519844
1990,18.61636876749502,19.598348214285714,23.712694156147727,27.862646441202475,30.962710326583323,33.67520409060176,28.50731214608387,27.636010066346365,26.61538252353578,24.62131068481406,21.956852614563612,18.275049374588548,25.16999078385402
1991,17.341329354719797,19.227981329894593,22.610536550103916,27.482665134099605,31.685682654694492,33.53729499681645,28.547954153852864,28.792102481447785,26.33811309096582,26.69271567173402,20.86912801039956,16.64079011383526,24.98052446188034
1992,13.31845905371986,17.66292113140754,21.87726790514593,27.07976277818538,28.611486731288736,34.12349334807814,33.17819104939902,30.30387540258966,30.289432428756033,27.825227342549933,19.96261671362121,18.52125217599997,25.22949883839512
1993,18.112405676340718,19.85276480962755,23.236631426764255,27.256490872210954,30.361315682694254,34.12553873892615,30.654650127673534,31.45959776981282,28.05294289363255,25.863941733296574,21.64858215654078,19.60614953434099,25.8525842851551
1994,19.567000370782345,22.170685795685802,24.07866147571376,28.884134646962234,32.489972303681974,35.160067576102065,33.90862430704395,32.65735839230463,30.23422284353319,27.323571512206556,23.82087018817461,18.999551971326163,27.44122678195978
1995,18.885222913915612,21.830263871930537,24.601601194309463,28.374032840722492,32.652923478159515,35.14328103144195,33.909889092455664,32.80050724043025,29.94940152440153,29.0349731694032,24.232685568741605,20.171968412874975,27.6322291948989
1996,20.57328398211602,24.13983768727272,24.460647763821836,28.299695476936854,35.16454113528383,34.62164781245741,32.707072879330944,29.77525472313833,29.107968472233907,27.241475168123134,23.681338553982688,20.092061472941992,27.48873542730331
1997,17.800558731683598,19.673736169085007,24.581108635725545,24.34948152547103,30.45022776770544,33.334417840908486,32.249318424058785,31.412708468922215,30.466086747566983,26.448098367184386,23.257289344049784,15.360615053449509,25.7819705896509
1998,19.769784142160816,18.499249056096886,22.96859964991248,27.001129175067884,32.48178701763565,34.7258644054596,32.02648671363244,30.369508448540703,30.44517648216525,27.278206825926514,23.696632848541714,19.865169657537287,26.59396620188977
1999,20.328433544116894,23.597411816578482,24.990299288525094,27.62669489816496,32.04263004508912,33.22323949336434,30.363665163602732,30.52521966477473,30.354337361233913,26.73445713736407,24.61441511754411,17.48588875613965,26.82389102387484
2000,21.19672659576858,23.537949526292852,24.758585915529885,28.789171951262965,32.649152712222794,30.715715366001206,31.064058413251963,30.085027851624066,29.93879370086267,24.473430675477395,19.050698099929626,18.827081697195002,26.25719937545158
