ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,21.07929339477726,22.52,25.326209677419353,23.099428571428568,25.44884792626728,23.15419047619047,22.095635673624287,23.02298003072197,22.882761904761903,23.04001256807709,22.766176470588235,21.07438330170778,22.959159999630348
1986,20.63465140478668,23.40963203463204,24.69015456989247,26.315169956140352,25.37991675338189,23.642640086206892,23.266569220430107,23.769166542787765,23.897741935483868,22.90434269857787,22.889,21.93548387096774,23.56120575610731
1987,22.80378197997775,23.177839506172845,24.514151925078043,25.214408602150538,25.97434830171563,24.059333333333335,23.32299687825182,24.04453694068679,24.55,22.95577523413112,22.806021505376343,22.9694623655914,23.866054714372137
1988,21.519762699295512,23.594458128078823,24.0152927120669,26.639642857142857,27.330215053763446,24.683478260869567,23.924123422159887,24.102764976958525,23.771515151515153,23.366129032258065,24.20074074074074,21.530583770510102,24.056558900446632
1989,22.85253456221198,21.845238095238102,22.897849462365592,24.138333333333335,26.708055629609884,25.255,23.714516129032255,23.366129032258065,21.62,22.818426197458454,22.998484848484853,20.397161290322583,23.217644048359592
1990,21.32741935483871,21.8422619047619,23.29986559139785,24.19674707602339,25.25716845878136,24.598333333333336,22.639784946236556,23.08774193548387,22.051851851851858,22.27258064516129,22.571666666666665,20.817539191195106,22.83024674631099
1991,22.60164432341852,23.686688311688314,28.200879765395896,27.860714285714288,27.11451612903226,23.985897435897435,22.374193548387098,24.998709677419356,22.886363636363633,22.161290322580648,21.88056426332288,21.38758064516129,24.094920195365134
1992,20.79372167422021,23.231079265562027,27.28005865102639,25.404000000000003,24.269354838709678,26.20666666666666,24.17096774193548,23.506048387096776,22.882222222222225,21.938994307400378,21.246296296296293,22.085039798910763,23.584537487503905
1993,22.103961676130098,23.572916666666668,24.775537634408604,25.881944444444446,25.022849462365595,24.089722222222225,23.25953079178886,23.364381720430107,21.933333333333334,23.516447787836288,23.242424242424242,21.936769048721512,23.55831825256433
1994,22.06535815939279,24.631132756132754,26.82994623655914,26.371465061120237,27.04121863799283,24.530303030303028,24.494134897360706,23.744868035190617,23.0125,24.137096774193548,23.678132832080202,22.509809084924292,24.42049712543751
1995,21.78536223422371,23.21462912087912,25.468398773901622,26.915750915750912,27.783831739891987,25.50648567119155,23.464239165852067,22.98631476050831,23.433522727272727,23.84362170087977,23.048684210526318,21.98473987183665,24.119631741059564
1996,21.746898263027298,21.716796661193214,24.9,25.3,26.924508852777112,22.985555555555553,23.348387096774193,22.42645161290323,23.022222222222226,21.780491551459296,21.28894557823129,20.80184331797235,23.02017505934298
1997,20.867063492063497,23.684478021978027,24.399769585253456,24.25595238095238,24.306509216589863,24.94978354978355,23.671962163473193,23.8449637919684,23.380889724310777,22.429687121028376,21.83690476190476,21.31056616194865,23.244877497604577
1998,20.861073461642718,22.698979591836736,25.652065342265935,27.49615384615385,29.53324555628703,27.101282051282052,24.312158808933003,23.047146401985113,21.73128205128205,21.041474654377883,22.115755336617408,21.127442670616635,23.893171647773368
1999,20.68032481978533,22.156385281385283,24.118866080156398,27.105227272727276,26.61602150537634,25.5681631586804,23.15835777126099,22.95166481275491,22.358214285714286,20.551962553575457,19.97,19.545877546689304,22.8984220906755
2000,20.583297491039428,22.406130268199234,24.581441656710474,26.04928774928775,24.991854024112087,23.027083333333334,24.102839812517235,21.272834013100976,22.782142857142855,23.836021505376348,23.789393939393936,20.576590426870933,23.166576423090387
