ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,30.494239631336402,31.909438775510193,33.0837669094693,32.88001593314093,33.54424957079605,33.34788395276046,31.43835125448029,32.1723476702509,32.04313748079877,32.1317536477941,31.27142857142857,31.527843803056026,32.15370476673516
1986,31.25245441795232,31.227944444444443,31.869962599345488,33.49476190476191,33.980161290322584,33.831818181818186,32.65422776148583,33.52487143525011,32.68101427308324,31.715714298325928,32.919660869143634,31.866888646690477,32.58495667688535
1987,30.50844673883175,30.165022215782862,31.65975553717489,32.98008547008547,33.85281323216808,34.33367009477718,33.103559338908795,32.88301543140252,33.583064516129035,33.096869247836985,33.11748370927319,32.11489575736888,32.61655677414496
1988,32.47276896095681,34.15429275158339,32.87242158723071,33.62112191767365,33.489193477051266,33.090441104234195,32.41888526897016,31.61021313364055,31.459598571926158,32.54446265309643,32.36111111111111,31.94310195852534,32.669801041333315
1989,32.274247311827956,32.129906204906206,30.923028673835127,32.76190476190476,33.71251221896382,33.50759706959707,32.32551155866568,32.42670770349592,31.359179894179892,31.876029185867882,32.11644144144145,30.200441695336515,32.13445897666852
1990,31.743317972350237,32.11885608944433,33.97162797373426,34.47435221783047,34.64910945316543,32.940067049808434,32.02845103167684,32.81001955034213,32.160780215952634,33.059784946236555,33.07892102335929,32.535900104058264,32.964265635663246
1991,31.11733463668947,32.76106212032138,32.76793743890518,33.363644790507976,33.295540796963955,33.80935214211075,33.1154085626186,33.12005539263603,32.25457516339869,32.493010752688164,32.38555305340526,32.439420742282344,32.743574632710654
1992,29.027468230694044,29.8449652274703,32.73583175205566,33.205392156862736,34.87969027361205,34.74524207593173,32.658773216031285,32.814271749755626,32.225656565656564,31.89827956989247,31.988444444444447,32.12266384990101,32.345556592692326
1993,31.97587161942001,32.956030189853735,33.77324087696006,33.930645161290315,34.79159946236558,33.84344877344878,32.7637936827957,33.01488575268817,32.25925925925926,33.25567876344087,32.59080459770116,32.521290322580654,33.13971237181702
1994,32.48578046806091,32.42783656672546,33.548048859742416,33.66824521072797,33.97240143369176,33.18476084538375,32.79226115436905,32.13516651732378,33.03084984656993,31.517538335694734,32.80357399425288,31.28983870967742,32.738025161851674
1995,31.95852534562212,32.63038548752834,32.84619815668203,33.25654320987654,34.4159429280397,33.452564102564104,32.65507240619322,32.117197900665644,31.808208020050124,32.73038418755882,32.23950059453032,31.352130386419695,32.62188772714422
1996,30.859102706711166,32.175641243417694,32.21931034482758,33.028773946360154,34.14301075268818,33.631182795698926,32.04135133856779,31.93428893513701,32.2990379810095,31.741727367325705,32.304597701149426,31.573655913978488,32.329306752239305
1997,30.95244536940687,33.03836405529954,32.93096774193549,33.177,35.335037220843674,33.51264367816093,33.44691756272402,33.843897725583474,32.18333333333333,32.182963709677416,32.65,31.14959677419355,32.86693059759652
1998,31.256401209677414,31.15383720360572,32.52301193430226,33.37971014492753,33.851612903225806,34.488,32.99590930341281,33.404413722478246,30.54912280701754,31.849342891278372,32.711666666666666,32.41341256366723,32.5480367791883
1999,32.02172043010752,32.52100088183421,32.83602150537634,33.742380952380955,34.13935854653319,33.32112479474549,33.141563275434244,32.10394265232975,31.56440476190477,32.03917050691244,32.73731684981685,32.27204301075269,32.70333734734404
2000,32.25982008995502,32.57664576802509,32.232551319648096,33.817536231884056,33.46728849956742,33.35180229885057,33.22617866004963,33.599379652605464,32.13233785822022,32.792741935483875,32.96384615384615,31.955316606929518,32.864620422922094
2001,31.841840607210628,33.59092970521542,31.630322580645164,33.77716235632184,34.761059907834095,34.54358784893267,33.965601354042214,33.35501426377003,32.38039846743296,33.87377085650723,33.36884236453202,33.06129032258065,33.34581838625208
2002,31.319165085389,31.712184873949575,32.76907020872865,33.62291666666666,34.379838709677415,33.57916666666667,33.01016278375149,32.98225806451613,32.541666666666664,31.850752688172044,30.810208333333332,30.630414746543778,32.433983791171784
2003,32.95940860215053,32.97678571428572,33.01827956989248,34.034444444444446,35.104466501240694,32.57666666666667,33.81612903225807,33.119499586435076,32.703636363636356,31.939198435972628,33.400555555555556,32.255645161290325,33.15872630281905
2004,30.49731182795698,32.78678160919541,34.443548387096776,34.52638888888889,35.647849462365585,33.37357142857143,33.189516129032256,33.88252688172043,32.559444444444445,32.77196029776675,33.647179487179486,32.54863523573201,33.322892839995866
2005,32.19537650715946,32.19546891755587,31.265573017185922,33.907525957751524,33.74250392464678,33.22390656262505,33.22004451904832,33.2670181968569,33.389092098377816,32.14532222132392,32.56274358974359,31.72063694650371,32.73626770489824
2006,32.387646224742994,32.62918083900227,31.91336467720169,32.645065843621396,33.3753051630298,34.357567163163985,33.35835358003381,33.04293399017702,32.10639235504026,32.51105030721966,32.231990076390375,32.379520974814156,32.744864266203116
2007,31.81574760911203,32.20389795389796,33.920348647768,34.296692687899586,34.79261222648319,34.7807360642686,34.05133394383394,32.57364019490677,32.52414667452599,32.65442372277745,33.224213693284845,31.837838955726262,33.22296936454039
2008,32.10896352751191,32.0431777630486,32.35782154554443,33.53209865900383,33.88187059356414,33.091423865307455,31.301778513284948,32.3098330543213,31.48661655901013,32.41859549389277,32.39703470380195,31.587107964445693,32.376360186894765
2009,31.72203197062485,32.86407579599887,31.924503457239833,32.7,33.9153090328285,33.95824807376531,32.82844873077754,34.15647738558974,33.51787356321839,32.05744988518665,33.40335305719921,31.650472148742946,32.89152025843099
2010,30.59917575808098,29.478315609199,31.318528295111506,32.967726315130435,33.19004419018935,33.32638983119363,31.646293010569483,31.779622543836023,28.80258381317338,33.292759771440764,32.09235749978979,30.22441585368195,31.55985104094969
2011,31.07220669893725,31.275869987628532,30.771493556584165,31.482818282551253,33.541072453121664,32.01963602125595,31.277066909436105,31.605440462584994,31.99887685056946,31.785239933211486,31.48278206561228,30.750462306117985,31.58858046063426
2012,30.6,29.2,31.2,30.0,32.8,31.4,32.7,32.6,32.0,33.2,31.8,31.8,31.608333333333334
2013,31.304180588235294,31.595146404658987,32.4,32.2,33.1,33.8,33.0,32.9,31.1,32.8,32.2,31.1,32.29161058274119
2014,31.7,32.6,33.4,33.8,34.6,33.6,33.7,33.5,32.2,33.3,31.4,31.4,32.93333333333333
2015,31.7,29.9,31.1,33.0,33.8,33.2,33.3,33.8,33.3,33.2,32.9,31.9,32.6
2016,31.9,33.4,32.4,34.0,34.5,34.5,34.5,34.1,33.7,34.8,33.6,33.1,33.708333333333336
2017,32.4,32.7,33.3,32.3,33.4,33.4,34.5,33.6,32.5,33.8,33.6,32.6,33.175000000000004
2018,32.0,33.1,33.5,33.5,35.1,33.7,35.4,34.2,34.1,33.4,32.8,32.7,33.625
2019,33.2,33.0,34.1,33.3,33.8,35.2,35.0,34.5,33.9,32.9,33.5,32.9,33.8
2020,32.6,31.9,33.2,33.5,33.2,33.9,34.1,33.2,33.1,34.3,34.4,32.3,33.3
