ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,17.82066386161758,21.026599702380956,25.68136762451482,26.228983096686946,31.42946006555115,30.08021501014198,27.24992020268517,28.115133682069157,27.307678272064614,26.175647432985006,23.52621189405297,20.717344553529685,25.446602116523334
1986,20.198842018196842,22.985262206148285,24.476398530012247,28.693770712046575,29.891648273910576,29.41419797316349,27.367147707979626,28.479702746319887,26.728358578807768,24.459984857523054,23.451990740740744,18.773146488782693,25.410037569469313
1987,18.133930704898436,20.57126005653403,22.6990307436014,26.352732567049806,28.13253414705028,30.1378735632184,28.49075813257112,27.751344086021497,26.783957101806237,25.895293916317275,23.106964260374223,21.527661290322584,24.96527838081377
1988,20.39992698791982,22.86834520093764,24.405404273146207,27.175632183908043,30.673670416520498,29.30400739416877,26.62599463845047,27.232545238198888,26.980711391099312,26.267025089605728,25.491478448275878,21.836041921872866,25.771731932008677
1989,21.735629177564668,23.73766623766623,24.996469049694852,28.370159725332133,30.82098983650022,31.788148148148146,29.14920345565507,27.304091607317414,26.449832194292455,25.557009925558308,22.677950191570883,18.392078399346662,25.914935662387247
1990,20.45502508960574,20.812362637362636,25.587009590235397,28.068589743589744,31.340506329113932,31.619029535864982,26.599605734767025,26.373962066905605,25.802814092953522,24.513806175902946,23.542297318007655,21.22888210791436,25.495324201851968
1991,21.123907717435685,21.970740740740737,26.701188455008484,29.21255411255412,32.23657819518169,32.023943833943825,26.25909509844994,27.665618619844828,24.962940804051915,24.76738683127571,21.862625,18.096855859534507,25.573619605668455
1992,15.298136530680425,19.434653043848442,23.419417643242646,26.322194092826997,28.195559772296008,32.65598484848485,30.097590361445803,28.09520062942564,27.43510040160643,26.22166731441897,21.744779116465857,21.8566089693155,25.064741060338132
1993,20.554048451872013,22.420956059191354,24.968458781362,28.166410148584234,29.65973715651135,31.267063492063482,28.85508671706632,29.345279307631795,25.381124497991973,25.427694728560184,23.02874425287356,21.653166069295096,25.893980805250276
1994,20.7831541218638,24.06159611992945,25.118399044205486,28.027967479674803,31.779121863799283,31.03192855379539,30.73195795642032,29.21071428571428,27.976907630522085,26.544855921381373,25.34812469000021,21.625650097609565,26.853364813743003
1995,21.35763699961135,22.891260504201686,25.525641998734972,28.291807608100708,32.14249187296822,32.38674509803921,30.12470588235293,28.867741935483878,27.80768627450981,27.207362428842508,24.706497737556568,20.98788447111778,26.85812190095997
1996,21.898756315584915,24.36176897814829,24.77564430790237,27.67924603174603,32.82738482974161,31.20069105691057,30.49064117881324,27.896734854445313,27.338291666666674,24.444779286927,23.28709401709402,20.50018137064386,26.39176782455199
1997,19.247890589373466,21.875102707749758,24.469721407624636,24.339367155502703,28.43010245307619,30.86756418069872,29.159569600911706,29.474802453619652,28.01396296296298,24.759073755545526,23.409699613957212,18.2436379581141,25.190874569928056
1998,20.786963574060348,21.571273556343513,25.015680742994228,28.880073370344306,33.39771185355862,33.12729019964782,30.74385227423663,28.5077639251702,27.728975103040817,27.059276407073412,25.031996794871787,22.412092247542635,27.021912504073697
