ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,22.077682198327366,24.065714285714293,26.9970943847073,27.339398496240612,29.866509358821183,26.679333333333325,24.909868578255676,25.735023041474665,26.08769423558898,25.717932435864853,24.64974358974359,22.745587984297646,25.57263182686412
1986,22.321479774705573,24.790749414519905,25.673316129032262,29.51953125,30.046159754224256,26.258941798941787,25.525277630883135,26.364621893178207,26.270743801652877,24.54165260945163,24.680694444444445,22.99496199480905,25.749010874653592
1987,23.019303635432674,23.741060586347462,25.610621557828484,27.583775238095235,29.504513082225692,28.422027777777778,26.553589072943915,26.902430649679232,27.49410278331909,25.411303435615007,24.707104111986013,24.60716552088841,26.129749787678247
1988,22.83069719042663,25.672046305418725,25.73241290322582,29.25802646261757,31.61103697897051,29.405334792920996,26.470123522616177,26.154572114102905,25.696618836092796,25.48958789471125,26.19767953630024,24.14803115598846,26.55551397444934
1989,24.951013573065396,24.937137327608653,26.55915335035237,28.648536501377407,30.942985678142204,29.811494252873572,27.3904338153504,25.994146316953078,25.038713450292395,26.21782834101382,25.885584795321645,22.284730756101737,26.55514651320439
1990,23.691767781394887,24.390269742372535,27.026143659487037,29.29,30.28880097382837,28.92660377358491,25.637152045020596,25.553183563748078,25.360064325635346,25.119534050179222,24.63587577770748,23.936595678045737,26.15466594758368
1991,23.74769052993077,25.050749135124132,29.316998007953643,30.834253968253975,31.622680207088816,29.042421383647792,24.97852594216515,26.835457772210045,24.792794404684457,24.00215053763441,23.58714743589744,22.667454849149188,26.373193681144986
1992,20.17754838709677,22.524745849297574,26.32140224828935,26.826994465730095,27.351224442000667,28.12005507662835,26.581378299120228,25.454871626069774,25.542091954022993,23.881137992831526,23.406233976704804,23.68330963819982,24.98924949633266
1993,23.432256692999783,25.163621305739603,26.572033760689937,28.873946412210568,29.419598189020935,28.494718385063212,26.195801406363312,26.78267025089606,25.453614442778616,25.899360677720097,25.728138036245035,24.53459766040411,26.37919643501094
1994,23.890228707970646,26.130795810387657,28.335406274248978,28.987354269293924,30.952794634302123,27.854226176680154,27.699436010963506,26.656319839763864,25.84602747101395,26.589956989247312,26.212086995717822,25.312182795698916,27.038901331274065
1995,24.01731608644734,25.665460474618882,27.745227296923233,29.44983333333333,30.895470214429665,29.140521224536233,26.65529282806138,26.23606208155812,26.341670498084294,26.22459293394778,25.54383177570093,23.86945521741115,26.815394497087695
1996,24.491664056790892,26.43353858784893,27.40092761130024,29.3444842513808,31.653004427577482,29.112593604187996,28.309908602150536,26.777403225806456,26.391349242682885,25.47652911604525,24.65417663617171,24.70546960719771,27.062587414095074
1997,23.570043778801846,25.694109558316082,27.062186379928306,26.787385209511648,28.8681109837141,29.626706260622267,27.782258064516135,28.072434186132746,27.548471608213,25.737782898105486,25.834484990514447,24.01340860215055,26.716448543377215
1998,23.986113543845995,25.41151587301586,28.44981518817203,31.34450597933356,33.41760215053764,31.385844294347667,28.025533795500415,26.953502769631818,25.976816795683803,24.69857554594835,25.54747368421052,24.37470830473575,27.46433399374695
1999,23.559783764622466,25.759060846560857,28.225686977299873,30.471117632672996,31.537634408602152,29.307884529957242,26.84157670286703,27.134918491968676,26.271076280041786,25.453355005418025,24.21155038759689,22.529091147026108,26.775228014552848
