ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,26.03925734488237,27.73263583005848,30.015219117267442,30.832433153832323,31.69086646186667,28.63643816668676,26.838395062,27.134598301084328,27.658328226707315,27.47802345165562,26.769374359589023,25.73482949731034,28.04669991441172
1986,25.752351680069943,26.981625258840563,28.50573241072463,31.438064230575534,31.270471497810227,27.967675583722627,26.5042577844697,27.110526963664114,27.03507608900762,26.374718963636365,27.140893585322566,25.85036259077518,27.660979719884924
1987,25.891094589705887,26.41410806007298,28.409751441449284,30.12791107529411,31.328447828633085,29.529773804397163,27.073031197746467,27.136100399779423,28.2022675480292,27.77941363442857,27.287016009857137,26.866099894366197,28.003751290313293
1988,26.206511350370388,28.382471891068707,27.927330507795283,30.652279248217038,32.46095214656487,29.816234954015744,27.02126459896826,26.729793324918028,26.61911809584071,26.846142685918352,27.07408974811111,25.643964785434786,27.948346111435274
1989,26.817211010515464,27.196675436666656,28.467524515841585,30.536853760618563,32.022396010210514,30.25745519755319,27.650561010217388,27.023165030652184,26.319796399883714,27.12775968045978,27.792568031839075,25.021905022413783,28.019489258905992
1990,26.61232974933333,26.861290709125008,29.503417819166668,31.191384066551727,30.99125026329411,28.513333527228923,26.749307155476203,27.564004720609763,26.781528309885037,26.86185113103449,27.05988505770114,26.60929481151164,27.941573110076504
1991,26.667084863764703,27.906585411547617,31.296390169166663,32.57826920614457,32.73115657000001,29.90549418604652,26.15825652845237,27.267293906666666,25.416714852857126,25.870423346470574,25.192233169080463,24.80847006729412,27.983197689790952
1992,21.682792266321837,24.06607666340908,28.366604319411753,28.791872785057468,29.29013846850574,29.89281746059525,26.914491410114948,26.158247800795458,25.64567049827586,25.110696424302333,25.129559671785717,25.744545925542173,26.3994594745098
1993,25.758301816666663,27.315353538292673,28.751265318554218,30.512354244457818,31.375819564878057,29.945337850240957,26.579365790595244,26.6874568,26.244032344534887,27.06852070390244,26.98699186987805,26.58856294025317,27.817780231854513
1994,26.093996071375017,27.860494902317082,30.0122934692683,30.837144659024382,32.21079637025,28.2797112747619,27.838368121411765,26.610469304482752,26.744598734615376,27.28684477573172,27.793403355862065,27.10623593406977,28.22286308109751
1995,26.13676055471909,27.818332752386357,30.083774314606753,31.22604853155555,31.971678408160916,29.21013108561797,26.825466298850557,26.500091641931817,26.759687024216856,27.413909727441855,26.912152015238103,25.697922474320983,28.046329569087238
