ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,23.275940400645922,25.273418964035525,28.198847818873116,29.116950130880497,31.13717424342535,30.094976150170144,29.190563023221173,29.714772867534226,29.1823242700588,28.184849109896337,26.73710737932196,24.652140552854565,27.896588742576473
1986,24.541886602180266,26.63114808616893,27.79610671267587,30.825948957148004,30.967222069060217,29.8491387305433,29.37867672956256,30.14563686492934,29.168543566855675,27.49482254459449,26.742136396229082,24.34306333178059,28.157027549310694
1987,24.162431207474636,25.350813534320885,26.96479012164437,28.845475968654824,30.67242293669088,30.686004739136976,29.6151131871112,30.013014051583973,29.97949647059525,28.38165493256951,26.626802691494547,25.507884661220455,28.067158708541456
1988,24.243815416225193,26.398185869929364,27.614965171790065,30.107583658721577,31.774909445726458,30.686810560871375,29.596114077116994,29.21377839090714,28.766941739865057,28.025224351391273,27.64643147075166,24.993220108448625,28.255665021812067
1989,25.48258201300199,26.050365615954327,27.980158344709572,30.289244845711522,31.87099323533488,31.48868074480901,30.272599149462184,29.29081321819584,28.459515341980225,28.131558655266357,26.997679888384912,23.437467810605636,28.312638238618046
1990,24.986249074150905,25.563473828311675,27.829379115032292,30.030378108026202,31.489318608426824,31.150493408047158,29.083592281784618,29.251968559822274,28.573397855159076,27.843160308483665,26.69132418044905,25.04558996337568,28.128193774255788
1991,24.943439585802096,26.247155343111345,29.61823100908035,31.451049101757782,32.01461488486927,31.093772758533717,28.82826250490019,30.069512846314797,28.112115437677758,27.711961228593776,25.576920089146196,24.00165169204034,28.305723873485636
1992,22.103100256282723,24.426420915286656,27.674826848122407,28.981009977932157,29.707162046010822,31.391155961602664,30.05474922504505,29.5110312713195,29.01551371882146,27.76748045816938,25.601711467606076,25.22006511277568,27.621185604914547
1993,24.85906029403716,26.2540701849043,27.981227429101793,30.139302477675294,30.826106472749505,30.72712460102525,29.664534250824268,29.920331451097166,28.525217096981432,28.338843851279705,26.635741175404483,25.65741370604418,28.294081082593706
1994,25.1952567227162,26.718990631120892,28.710282358933938,30.250803745058064,31.681036285906636,30.882361100845095,30.985197573091458,29.88386932846853,29.276851104565825,28.62180710212769,27.606694737291413,25.61885474292908,28.786000452754568
1995,25.11999571641765,27.10076870162283,28.76333819656627,30.688777570854732,32.401925302943425,31.48046365499011,30.3535299869061,29.75703346151797,29.441759534473785,28.805717249358874,27.40366183277353,25.070508848865792,28.865623338107586
1996,25.376694897038277,27.056344086354837,28.055978882651214,30.283571394405293,32.45487550335153,31.136251181166422,30.649021477763206,29.563275743758847,29.545007663153395,28.12089654462598,26.7052786625179,25.412330909324627,28.69662724550929
1997,24.37917342864238,26.3259800202977,28.583037178521327,28.408136851940018,30.83247435510969,31.392410557903208,30.75826206461461,31.074940318817262,29.868674778219983,28.034312562039602,26.887725203165964,24.14363578491112,28.390730258681902
1998,25.361233459777914,26.285677313939274,28.47282723844734,31.23822007032912,33.66692125072069,33.396418399281984,31.162225016101335,30.507781022737156,29.171664229728904,27.896603369634803,27.131286855864932,25.336949940188845,29.13565068056269
1999,25.670013140762844,27.348291965200062,29.087462506021478,31.471019994202088,32.58964276876174,31.396268333348992,29.67661840356152,30.28563589725278,29.152541090452225,27.943990383631217,26.38060082813337,24.4374031942763,28.786624042133713
2000,25.736270117983295,27.334669856189038,29.29780439502802,31.226453610060457,31.729382776418635,29.822783242172864,30.744881956660198,29.81524826589127,29.678203442255032,27.724026973923387,26.539585029786178,24.615923799898646,28.68876945552226
2001,24.295407693976177,26.445560085901473,27.703464246058857,30.74043673992504,31.020837947749413,30.90340617219906,30.504821523039535,30.301257161576462,29.183475770167046,28.1931185232938,26.43125110498469,24.788953366244762,28.375999194593025
2002,25.336987263752874,25.503149511857323,28.98459784580842,31.384975082288385,32.37471301723337,31.149547090346054,30.15622053110984,30.550639691005035,29.29815593970071,28.763918969400702,26.011562784511742,24.728703468828375,28.686930932986908
2003,24.574548315913045,26.77124844826944,28.91803429365756,30.707215117112867,33.18168523249777,30.881710995324383,30.088343114340034,30.066590250386252,29.074987842349785,27.93327141797678,27.072468857265697,24.452409308298556,28.643542766116013
2004,23.655451922466593,25.55040437728651,28.660591351544,29.667631229544956,31.22348805018199,30.442360527046695,30.419399769691765,30.607979646558835,29.404320985671937,28.858009545117294,26.895003472737333,24.760851706015284,28.34545771532194
2005,25.260403680700612,25.91510781952599,28.265185951864453,31.430411968728176,32.188354040840316,32.561617090210476,30.96162665694986,30.0460698166773,30.095714079204328,28.352808427842426,26.996029543624175,25.53675741465707,28.96750720756877
2006,25.876017379097583,27.422355392928445,29.379943945977466,32.24815160525444,31.984612353175777,31.79484196794975,31.072993459857685,30.61360699597133,29.925176016346295,28.90469443948733,26.7764934213909,24.587174597139136,29.215505131214684
2007,23.953425354705445,26.317324613341732,29.28319903121698,30.632696330261474,32.043659037671404,33.3,32.1,31.948334121988374,30.7,29.8,27.2,24.9,29.348219874098778
2008,23.8,27.1,28.4,31.7,32.7,33.1,30.3,31.200000000000003,29.7,28.8,26.6,24.4,28.983333333333334
2009,24.4,26.8,28.6,31.1,32.9,33.3,32.2,33.1,30.9,28.7,26.0,23.2,29.266666666666666
2010,22.100000000000005,21.8,26.7,29.7,32.8,33.7,31.0,32.0,30.5,29.6,26.8,25.1,28.483333333333338
2011,24.3,26.1,30.0,32.49999999999999,33.5,33.1,32.0,32.4,31.7,29.5,26.2,24.6,29.658333333333335
2012,24.8,24.0,27.5,30.8,33.0,33.1,31.5,32.3,30.8,30.1,26.6,25.16,29.13833333333334
2013,23.2,26.5,28.7,31.4,32.5,34.0,32.1,32.5,30.4,29.5,25.7,23.3,29.150000000000002
2014,24.0,27.5,28.6,31.1,31.9,33.2,32.3,32.3,30.8,30.2,25.5,24.5,29.325000000000003
2015,23.2,25.5,26.5,30.8,31.3,32.2,32.2,33.1,31.7,29.8,27.3,24.9,29.0
2016,23.7,27.3,29.1,31.2,33.0,33.3,33.4,31.9,31.3,30.8,27.2,25.6,29.816666666666674
2017,25.4,27.9,29.7,31.8,33.2,34.2,32.4,32.4,31.1,30.0,28.8,24.5,30.11666666666667
2018,24.1,26.8,29.8,31.4,33.5,33.3,33.3,32.5,31.1,28.7,26.1,24.1,29.558333333333337
2019,24.4,26.7,28.8,31.5,33.0,34.1,33.5,33.9,31.5,29.8,26.7,24.8,29.9
2020,24.6,26.0,29.2,32.0,33.3,33.5,33.4,33.3,31.4,31.1,28.5,24.5,30.1
