ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,27.303763439999997,29.203814935000004,31.787624069500005,32.352916667,34.69489247277778,33.61724137862069,32.04233870975,32.412563666842104,32.22018518449999,32.525345622571436,30.120833333125002,28.344086021333336,31.38546712508503
1986,30.28837685666666,29.672869674736848,31.86724565769231,34.43823973628571,34.26162117410256,33.919273183142856,33.05538668972974,33.094185731081076,32.55509259222222,31.80599078342857,32.25932311638889,29.47296015205883,32.22421377896136
1987,27.134868449189195,27.978817606944446,30.1119094175,32.75290737,34.059629981470586,35.52033806647059,33.31951397205882,32.448473499696966,32.976784989705884,33.446008472424246,32.00558027419355,29.202755375625,31.74646562293994
1988,30.05949147090909,31.591476340000003,31.499184060588245,33.03265720058823,35.21739980333333,33.92455713205883,32.141064228125,31.93103942666667,31.639195402413794,32.93818484357143,31.586152908666666,30.15490634709677,32.14294243033484
1989,29.97872907971428,31.992989418235297,31.374751445454546,34.31594948382353,35.05709378750001,34.58749154852942,32.759804043513526,31.940621266111105,32.728363758823534,32.52416282628571,31.19711711702702,28.05743727555556,32.209542587547794
1990,29.513513513243247,28.721174745675675,32.1863799275,33.96214663027027,34.72469424000001,34.19523544677419,31.474384322903234,32.59393706636364,31.916042516129032,32.361284986451615,32.713023336666666,30.27291666625,32.052894449852296
1991,29.863391240294117,31.39452003085714,32.90531117636363,34.352478448750006,34.83874130323529,35.35116632882354,32.21523669470588,33.04317367272727,32.59978991558824,32.93382209181817,31.462616310909095,30.03844999647058,32.583224767545246
1992,25.96220978742858,27.661013371142865,31.599620493235292,33.36380324529413,35.16871902771429,35.58775663485714,33.206093189166666,32.886155914444444,32.95071839027778,32.56651732361112,30.9541666663889,30.145609319722226,31.83769861360695
1993,29.041830943611103,30.57476657235295,31.890986717058816,34.026470587941176,34.52574320000001,34.86372549,32.801843316857145,32.953255674444435,32.474627598055555,33.0040490603125,31.781619047142854,31.31701996885715,32.4379948480528
1994,31.071896382424242,31.985590027878793,32.98246363029413,34.34532019714285,35.814294750294124,35.55931966486485,34.49700668405406,32.93355734777778,33.55576309055555,32.573268057297305,32.815615598,31.47566431818182,33.300813312397125
1995,30.62086141470588,32.70732181794117,33.21797235,34.46047619114285,35.88391705028572,35.97839080399999,34.30377925235295,33.20493358647059,33.51498599411766,34.205780699117646,33.305392156764704,30.309467335882353,33.476106554398456
1996,30.85852534485715,32.36392993971428,33.001248079166665,34.34523809542857,35.69756197722223,35.177142856857145,33.62488479314285,33.139631336000015,33.22952380942857,33.01565464970589,32.65056561029412,30.582111436666672,33.14050149404034
1997,28.53175403156249,30.652901785312498,32.625610948181816,31.95010101030304,36.853326613437495,35.94377519085715,34.47561669852941,34.13908918411764,33.75294117617646,33.448847927142864,31.65,28.882856649999997,32.74223510130174
1998,29.977822580625002,29.419913419090914,31.973607037878786,34.17575757545455,35.896697388285716,36.66556044,34.153700190294124,33.790796963823524,32.792929292121215,33.168065527575756,32.1100574715625,31.003924731666658,32.92740271819824
1999,30.830385016774194,31.867991071562507,33.69674189967742,35.296222223,36.644086021666666,35.51904214499999,33.61512791965518,33.5812211975,33.787356322758626,33.652611367666665,32.46950420833333,29.734358281379308,33.39122063958116
2000,30.926232850999998,32.287158144482746,33.134946236333334,35.43166666733334,36.09569892566667,33.82810518966667,33.198732719285715,33.48477342607142,33.026819727500005,32.52927120703704,31.344688862068967,30.805360368400002,33.00778786040382
2001,29.63647273416666,32.334821428750004,30.914986559166664,34.535771745000005,36.28180831208333,35.43194444375,33.80016622521739,33.4706768473913,33.15625000083333,33.521903623750006,32.88055555541667,29.798573376086956,32.98032757096769
2002,31.756141438999997,31.314285714,34.06716129,36.349333333,38.130645161000004,35.99666666700001,34.000000001000004,33.914516129,33.138333332,33.527419355,31.725000001,30.379032257000006,33.69154455658333
2003,31.267556085555555,31.089285715555555,32.94086021555555,35.19135802777778,37.15412186444445,35.42592592555555,33.56630824333334,32.65053763555555,31.914814814444444,32.42246117,32.91111111111112,30.263961427777776,33.066525186388894
2004,27.4546,30.302,34.2542,33.8416,36.9365,35.19035,33.3194,33.1714,32.90125,33.8838,31.7372,30.8577,32.82083333333333
2005,31.687938588135065,30.463977873977875,31.140468041413534,35.98062826062825,35.773114573883376,35.70744252873563,33.453788754613676,33.1425253255424,33.33213350972805,32.975073054494636,32.855685197373035,30.527710471441193,33.0867071816639
2006,31.559011951310335,33.06702075702076,33.5334115510483,36.41219132316959,36.93918202875422,37.09909619469977,34.89411898816793,33.650798222514815,33.42851037851038,33.84374028834826,33.23858036052618,31.420066846875606,34.090477407578845
2007,29.29279048925493,32.13143897875356,35.512720434093225,36.309635416420406,37.9751206405855,36.52551831310452,34.90109413232229,33.7354587836406,33.03461119680329,34.59524286813909,34.181452997104394,31.80372916834163,34.166567784880286
2008,31.503642057194714,33.023074654569406,33.575114525274024,36.6980572859882,36.5612580690969,34.35664751877006,31.451451459058866,32.83846968776982,33.028732800512806,34.19430813183796,32.971342128497305,30.98917300108783,33.43260594330482
2009,31.77040238632537,33.14460718149555,33.57210328840507,35.0,35.72625981394938,35.30172520009444,32.60159024511324,34.23311766882406,34.055214285714285,32.681842140382734,33.24573624936601,28.91669732791752,33.35410798229897
2010,29.340343534203914,28.50111634388847,31.90870755718254,33.722108043201835,35.412527469471776,35.50552981068855,32.247046606992946,33.20226885883931,32.566956062876606,34.33212662790192,32.66475217342509,30.710619764739025,32.509508571117664
2011,30.091537157794903,31.28764854317447,32.70611109743004,33.72138921572873,35.584707341087885,34.06081854786358,32.76141755265314,32.80382211095029,33.181968555710235,33.087344419929245,32.14963292175134,29.036054469428578,32.53937099445854
2012,30.4,28.4,32.5,32.9,35.5,33.9,33.2,33.3,32.9,33.6,32.6,30.2,32.45
2013,29.09864083333333,30.328064373897707,32.7,34.3,33.9,34.1,33.0,33.6,32.0,33.6,31.6,30.0,32.35222543393592
2014,29.9,31.7,32.2,34.1,35.4,33.7,34.4,33.8,32.8,33.3,31.0,29.5,32.65
2015,31.0,30.7,30.6,34.0,34.8,35.4,34.3,34.4,33.7,33.8,32.6,29.0,32.9
2016,27.7,32.0,30.9,33.6,36.1,35.0,34.1,33.5,33.3,34.5,32.9,30.4,32.83333333333333
2017,29.5,32.3,34.6,34.5,35.1,34.6,34.0,33.3,32.6,34.1,33.7,29.3,33.13333333333333
2018,29.7,32.8,34.6,35.1,36.7,35.1,34.8,34.1,33.6,33.0,32.2,29.9,33.46666666666666
2019,31.3,32.1,34.4,34.7,35.6,37.0,35.9,33.8,33.6,33.3,33.2,30.8,33.8
2020,29.9,29.9,32.6,34.1,35.3,35.8,34.3,34.0,33.3,34.8,34.5,29.1,33.1
