ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,17.76376314343221,20.792096033076916,26.553927069043475,28.296811081794868,31.03035888069564,31.85105694075631,32.47692405137931,33.627985536371675,31.742400331801797,28.15451903522522,26.24099577734693,20.418543344811887,27.412448435478026
1986,21.195037029204077,24.572978926883494,26.612543349196066,29.890773090309285,30.541139809278352,29.73777862044445,31.62582562243902,32.73663039216866,30.294170771309513,25.72713266426924,22.686565618192308,17.599597325635134,26.935014434944136
1987,18.924568067277107,21.20943588764635,22.58992391164707,25.804060580313944,29.495331097439028,30.707045264819296,30.941496046904767,32.679855580705876,29.231841961211778,26.303054541447064,22.706469424659083,21.283717079380434,25.98973328695432
1988,17.251327551511118,20.99814681561797,24.738127472087914,27.830208412571423,29.692574320470584,30.932246981555554,31.22366217500001,30.318316373695662,28.141857070319155,26.167723648901102,25.49622373191011,21.013272866617978,26.15030728502155
1989,21.219026269080455,20.969036928215907,26.287115063,29.02475755344445,32.75929142516483,33.04531844842697,32.446478980574724,31.10693494488889,29.12338739146068,27.240562922068964,23.89382243678571,16.891664260253005,27.000616385280377
1990,21.847424704673912,23.015585655758247,24.596390989325847,27.738826735542172,31.634306195714284,33.38127531416666,30.683310454823538,31.078380764999988,28.783313970340906,26.256101391910107,23.891987524597706,21.212155987522223,27.0099216407813
1991,19.21152283105495,21.999099858068178,28.50013497022988,30.49659003839081,31.679107277093028,32.19779231045977,30.86159978079545,32.85897111228916,28.01477267932583,27.644861132988517,22.003031476853938,19.70744804876404,27.097910959692797
1992,16.33910277837778,20.853752698539317,24.947355589186046,26.469020446823524,27.772865172613635,32.883908045862064,32.7316226082353,31.42641192261365,30.321107954431817,27.493854713488364,21.853529346444443,21.434651642359555,26.21059857658129
1993,20.085083788522713,22.583411177640446,25.051913219101117,28.8330670533721,29.810459823908054,30.26252486123595,32.44734047954547,32.72199036943821,29.36851851877778,26.799287181235947,23.034141687528095,21.864495404831462,26.905186130428117
1994,20.360917289,22.315943992548785,25.812037026463408,28.65787908109757,30.460197419268297,32.66538610619048,33.57512685928572,31.630419179880967,29.691751621566254,27.99310811035295,26.498187063411766,22.16556684261904,27.652210049307104
1995,21.256973120769242,24.632012235374997,25.758810071025636,29.62730158782051,32.59892430263158,31.721472238947356,32.705828698666664,30.696860214800004,29.94703065069443,27.606854839166665,24.36097662310812,20.766373858652774,27.639951536804833
1996,21.982088774749993,24.224732276749997,24.936404843444453,29.453643761250003,33.668065681025645,33.3524227355128,33.777034300886065,31.3968706923077,30.68489512604938,27.879506362345683,25.054852340493827,22.70202254810126,28.259378286909733
1997,19.902550810389616,22.509925498024685,26.15966411113923,25.278610840759498,29.651041241392406,32.21145833350001,33.87140536662922,34.03726520590907,31.494156261279052,26.946917924090904,23.14678929340659,20.109544763793107,27.109944137526114
1998,23.778328654222214,24.42716089876404,25.8425828305618,30.221173594269658,35.40234668011363,35.97660276488637,34.96506792585366,33.75212327120482,30.545643016470592,27.379899624166672,24.985790652758613,22.301606142089554,29.131527171280137
1999,23.910195173551287,26.40642445089743,27.588186007922076,31.865804419870134,32.99047206987805,32.54481812234568,31.577630094074074,33.50415372370371,30.29433331822786,26.98236076641025,25.129611312894735,21.17271370172464,28.663891930124993
2000,23.72623655905263,26.44436234905262,29.173792598709657,30.772462488555554,33.2395745676087,31.880671275161287,34.632782946067415,32.5894951628889,31.766446959550553,25.818157494651153,23.251553728701293,19.603773715999996,28.57494248716664
2001,20.326661962625,24.040418772784808,24.43967961784811,29.313414543815792,31.10142975282051,33.22226800887501,33.79543404182925,33.620537687500004,29.369751509629623,27.30941195654761,23.927875517976197,21.510702409538464,27.664798815149197
2002,21.845716845666665,21.430952381000004,26.010268816666667,29.325555556333327,29.944086021,29.285548674,28.061529270740746,28.79091995185185,26.976744663571427,26.54608294857144,22.3476190475,21.14755077666667,25.9760479127974
2003,19.92327188982143,22.478698978928577,25.5921658975,27.999404762500003,31.13672646499999,29.296172839259263,27.33423404464285,27.091835921851846,25.0528735637931,24.152509874642856,22.970412941851848,20.07931118071429,25.25896819670884
2004,18.818725787068963,20.610859429714285,23.62327188928572,25.952976189999998,28.10656681928572,27.57115384576924,27.64738598413793,27.502224693793103,26.055747126896552,25.976640712068964,22.29629629555556,19.64293659586207,24.483732114119842
