ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,20.274215602960535,23.133380548974365,26.290625115822774,30.925871031750017,34.39665898609271,37.875153677631566,36.897831985512816,35.81365830094597,34.06271475836604,30.691195741354832,25.929727300974015,24.182140345850343,30.039431116353
1986,26.6451130699315,25.494122727114092,28.822967719671055,32.75506651089655,34.683460276793895,37.416664501751825,35.12538091964538,36.101996927669184,34.41231855514288,30.955914044609386,26.865747301920017,21.963780535630246,30.936877757564663
1987,22.4397697469403,23.590311921935477,26.088726647166677,31.655634049669427,32.597300406,38.90648075967743,39.14783377960319,36.25678009976189,36.023853070930244,34.954537565447744,27.19975165691175,22.231617308432845,30.92438308437308
1988,23.09552333535433,25.764360418781234,27.593910965093023,29.8561150003252,34.27398576807693,38.650191865390624,36.19483956335938,35.79873322379845,35.67523370359999,33.390701588064516,28.074738499169342,22.39126801153097,30.89663349521201
1989,21.290290191727276,25.23458977781515,29.098595071130426,34.19324809575,35.599104091052624,38.41735900785048,38.24651704935186,34.9856931464865,36.60242727153845,33.456669761842114,28.197463877787598,23.363736791851856,31.557141177848692
1990,22.50204010337608,22.828134533955748,27.25921814018182,31.38914192543691,34.556148550679616,39.638206349320384,34.9121964181818,34.562254234545435,34.61885260809522,33.346593766923085,27.857957496698116,22.776319094716982,30.5205886018426
1991,21.91911666189191,25.51327545956522,25.18877257918033,30.750718028135594,34.20232889999999,37.41089409181818,36.59567317826446,36.21794674916666,34.35352269540983,33.86725227180328,27.363470075517235,21.541178123166663,30.41034573449328
1992,20.89607532861539,23.129081705461545,25.181935586641213,31.34018091811025,34.479398792519675,38.534471619307695,37.57436073488722,35.2934158203597,36.42139535810221,33.90557489007193,26.229475756194034,21.805864406240605,30.399269243042625
1993,22.07463259380597,22.725784652720577,27.678788598088236,31.996826672578127,34.79152268322833,38.6847965664844,36.44669808169118,36.576359156962965,35.052190111999984,32.60254682622046,26.18200630387598,23.845179534999996,30.72144431522136
1994,24.506728134518504,24.55487683191177,27.871253571014485,31.662964852686578,34.73095666214815,38.91963612830883,38.71498722511282,37.01736231301468,35.994019882992674,32.384561684210524,26.065114280542637,21.86157651069767,31.19033650642994
1995,21.97177850130769,25.77383737206349,27.89242182167938,30.555660780400004,33.14779637748032,38.129736695634946,39.082126873124984,37.63935415479676,36.07573005856,34.699461456771665,29.259745466428566,25.122160259606314,31.612484151487838
1996,26.03460602744001,27.485437900645163,29.072136269754104,32.9010598924031,37.10665909429685,39.72617016346151,37.316076816800006,36.22121263048002,34.25467090453125,32.69120926527131,28.633406150708648,24.920623343816793,32.196939038300734
1997,22.898136310156243,24.572826133750006,30.385058220156242,29.836165447031274,37.026114994603155,38.310579019999984,39.12951900769232,37.58732602568182,36.62100342390975,32.895498882121224,28.46910050865079,20.658111438379837,31.53245328434439
