ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,20.630951840140852,23.372420405343508,29.350119474375006,30.730086713749984,32.92623854557144,32.916352656739114,32.932912207234025,34.70382416207143,33.73787051693429,31.616371368805964,29.506266968235288,23.438195589197086,29.65513420403317
1986,24.207456243649627,28.048081419225355,30.188712993506492,32.69091860886525,33.038146888145704,33.439371241655635,33.58110522694029,35.379178077925935,33.05250343548147,29.314649556569343,26.526164891214293,21.83243891884892,30.108227291835693
1987,22.05396095567164,25.172619047259257,26.347227291231885,29.407541966546756,32.91257793448529,33.314943310612236,32.7850260354348,34.692428722229735,33.6515208438806,31.014426523181825,27.0459511785606,25.661186931307686,29.50495089503352
1988,20.882681149924817,24.83455632278195,28.267157491865667,32.117780017121206,33.19170506888888,33.728797176220475,33.450957445230785,32.95321576077518,31.797248677063482,29.945050170000005,29.157287193511458,24.956025640999997,29.606871842865328
1989,25.870868347478996,24.31762623181036,29.474434556637938,31.977891738119663,35.0264634590678,35.70293731268906,34.85854061127821,33.379237682164174,32.041824817445246,30.551292534962954,28.183073082794106,19.361774827664235,30.062163766842733
1990,25.156241897021268,27.152837659148943,28.98979759654412,31.286000000000005,34.48464653035714,36.0023383296454,32.81511220159421,33.21370379109489,31.483807366569344,29.29904133971015,27.60060919521429,24.901156152499993,30.19877433828331
1991,23.534066796716424,25.859507697969924,32.44153436412213,33.989955113093515,34.57611084757354,34.36982430235713,31.334318867553964,34.75606941475178,30.40848129221429,29.84358651702127,24.42261194029851,23.071087763309865,29.8839295764152
1992,19.587451321785718,24.68209500352518,28.113489921510805,29.453436403237415,30.488970040567366,34.54683098584507,33.210127972676055,33.82391506143883,32.551031175467635,29.513433179928573,24.75868977086332,24.83312890318519,28.796883311669266
1993,23.642342971985304,26.054376325407414,28.722245445882354,31.643466700808837,32.07495818407407,32.13051819059258,33.05230272492535,34.44805574131388,31.66406018814286,29.169914370797112,25.173369565217403,24.409017795724637,29.34871901707265
1994,23.217819174444436,24.62795429188404,27.613028311167884,29.89647505827338,33.10932043898549,34.015311033260886,35.493325653071416,33.52199725475175,31.243856805035456,29.748100123702123,28.820355017446808,25.262327593142857,29.71415589626388
1995,23.959108736390064,27.622184044489348,28.55482193234042,32.53502724631204,35.679628532072485,34.37421729630436,34.41756535955881,32.482529092518504,32.70459259229629,30.56790356933332,27.050395061629615,23.4837090280147,30.28597354093833
1996,24.20304088101449,26.017932467642858,27.872767420359715,32.02834060535716,35.009317514571435,35.4995009192908,35.713627697446825,33.302897888156025,32.324783661928564,30.001497263900703,27.462284013928574,24.782606562000012,30.351549741299763
1997,22.43627612471831,26.053930061971837,29.5333893551773,27.860920281773062,31.83730349333333,33.97153292412587,34.9737817429787,35.80175374852115,33.731642857142845,29.648114083840564,26.515353219928574,23.041129032357155,29.617093910489057
1998,26.748180922720593,28.309839531824814,27.985990110802916,32.536901538740736,36.93212472874073,37.796268656641786,36.00987047878785,35.30940655030535,32.54164325244446,29.340631519776124,27.622105162537313,24.38423277781021,31.293099602594406
1999,25.940312859999988,28.162618351202998,30.091899102706776,34.24352890664181,35.31318558390978,34.50244053840909,32.537694660303046,34.90816711801526,31.55635522351145,29.501920709083965,27.64350792431819,23.752679003023264,30.679525831760472
2000,25.794830438538455,28.385477664153843,31.431331678923094,32.58899757257813,34.52590409519379,32.722294078615384,35.37659590100001,33.894752854728665,33.60565121418607,28.597690074923086,26.384641003906243,22.114380678604647,30.451878937945953
2001,22.76035011912409,26.77411553343283,28.335662261343277,32.02588887119403,33.02807892903706,35.418553361202996,35.138073934598545,34.530670194000024,31.49189054723879,30.074193548863636,27.351383697022918,24.89051628899999,30.151614773838187
2002,24.701919706488546,23.870672669236644,29.66024080078787,33.57655676627907,35.223112764999996,35.042656866299225,33.123997269126995,35.205359543125,32.669754482799995,30.521700795322577,24.675634132457628,23.43484784517241,30.14220447017466
2003,22.178305813083334,25.991545323057853,29.77641682847458,32.23771608370691,36.36991772563638,35.345318947864065,32.70621139297872,33.44205688532258,31.813500000666668,29.42165898584906,28.357945845294115,25.117983479411755,30.229881442612168
