ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,19.67842224975961,22.55413719920792,26.035258815232556,26.53511687290698,30.4796069708046,27.327932340340904,25.469847819302316,26.582128290229885,26.920883534698802,25.86473142936708,24.339506172469132,22.04126518584416,25.319069740013664
1986,22.074768817333332,23.6692077631081,25.36705069185715,29.149771689315077,30.376933273972597,27.616666666056343,26.05929293434782,27.517091959850745,26.55245098073529,24.108658743157896,23.647860791111114,21.397311827727272,25.628088844881063
1987,20.04225585484931,22.049374070897436,24.288458491038963,27.1340963654321,28.24634694731707,29.15321211246913,26.72909429307693,27.020031860123446,26.818492996823533,25.51443001467532,23.556780474634156,22.05996818447059,25.217711805483997
1988,21.412532045271604,23.936643124566256,24.36157533379518,27.581007224651156,30.550005973333324,28.5655625021978,25.843174543255813,25.903192241739124,26.28427377244445,26.323288720348835,25.765030426082344,23.125439067857133,25.80431041462859
1989,23.264724723863637,24.50802716764045,25.958374915348845,28.483732216627914,31.036209353855426,31.203083278372084,28.42293906833335,26.283876261847833,26.117966220989015,26.56232829250001,24.616970506744185,19.828216647941183,26.357204054505328
1990,21.736379100879116,21.101850483296708,25.77402559032968,28.176965381413023,30.724212279,29.409096577294115,25.155984838795188,25.031964893111102,24.889463100624997,24.636612846288646,24.457114375789473,22.719556068541664,25.31776879461364
1991,21.58961210304762,23.049838446363633,27.608110413786402,29.44952732867346,31.735424790109892,29.859425811047622,23.965912746078434,26.722770195961537,24.371735460849052,24.261097334454544,23.1669509533645,20.551218583272732,25.527635347250783
1992,17.033105778108105,20.162386919814807,24.415826055607486,25.88726638140187,27.371557573883496,30.28044659039217,27.600539890363642,26.56361273728971,26.12282456862386,24.087871406952377,21.9775516623585,22.678056644220185,24.51508718408468
1993,21.538142532830182,23.67207382219047,24.871016704999995,27.72357929324324,28.839276389065425,29.38597068982142,27.19090747982144,27.568072978611113,25.204753206842103,26.139733831607135,24.675660714128433,23.448052353423417,25.854769999715362
1994,22.00630182070174,24.894612305575226,26.60185502718182,28.077278761150442,31.333904818611117,28.234536605945944,28.178965359065412,26.489099863185853,25.746594347477476,25.718619845398226,25.77878730348624,23.08686537055047,26.345618452360835
1995,22.05443548410714,24.110978803391305,26.919658345526322,28.658276095614028,32.14297326099099,30.828858025000006,27.122688665090923,25.97763315131579,26.623343593451327,26.716525183771928,25.12496839460176,21.485806451818178,26.48051212122331
1996,23.05200905508773,25.182948525739132,25.602151217168142,27.901249999732155,31.99439438166667,29.269471296194695,28.700804430350892,26.682399547280692,25.65535984839286,24.09932432441441,23.11494047642857,22.251195404159304,26.125520708884604
1997,20.306112054745615,22.76188554222221,24.63005914973912,24.12037037017093,28.639378273760677,29.8909482761207,28.110979060614035,28.768381535000003,27.334173912782614,25.204847822372876,24.53948275853448,20.64478329616072,25.41261683768533
1998,21.734129317663733,22.403634639592926,26.36746440886956,29.952250310175444,33.539155536869565,32.22250764522935,29.07024400307693,27.26368008922414,25.73493878513515,25.81696682096491,25.414218289380532,23.80299386238939,26.943515309047637
1999,22.976918937431186,25.676900393211024,26.84568292351853,30.12229474537035,31.60619718401869,29.98972150663637,26.740489980467284,27.842542521727275,26.972290179174323,26.267213269266048,23.96504776036363,21.459419355000005,26.70539322968206
2000,23.688194355840704,25.83517372132743,27.483840074205588,30.171671583185834,30.793196954770664,26.821278057333334,28.226980117924533,26.865527102162158,27.516351384433953,26.180078782568813,24.310809559134604,22.09590510475728,26.665750566470408
2001,21.368423527299996,24.54967627434344,24.784217511499993,30.434155460721655,28.991462469375005,28.407476814148943,28.028983534130436,27.559363285638284,25.745253816842098,25.568109009368413,23.299656357319574,21.70677738772277,25.870296287367548
2002,22.452258064399995,22.212687629479166,26.83142121787234,30.031963414193548,31.348803329677427,28.98810176456522,26.281099163777775,26.636661644999997,25.749009058250003,25.76754391345237,22.409177214936708,21.1911474481579,25.824989488646874
2003,21.54824171595238,23.718095146428574,26.229289003488375,28.761966386470586,32.48030063093025,29.036609351999992,25.708944236666667,25.911275997045447,24.73083333404762,24.14617178421687,24.70471887542169,21.781774193600008,25.729851721355704
2004,18.88122985641026,21.692890196883123,25.56286826671429,26.425788912537307,29.09293313780821,26.107260273698635,25.972496685890412,26.034135113098593,24.26518518555556,25.217274180983615,22.859696969272733,20.21457373232143,24.360527709264513
2005,20.961871548783776,20.513634507246366,23.211935484428572,28.254319248591557,29.460577372463764,31.065107446376814,27.269487188059713,25.677611940000006,26.180789604637674,25.156671062999997,23.41376943852941,20.893760324333332,25.171627930537586
2006,22.738980750260364,25.790369168718204,27.776480346644245,31.636870817679878,29.58665717648662,28.89383277103136,27.025605118100856,25.33648472322167,25.178667138097254,24.521879846123113,23.08612936525089,20.43179149875551,26.000312393364165
2007,20.39745948214542,23.31143687529136,27.29499675868709,28.271239117868245,30.482230372408598,28.299066221821107,25.297296875543456,25.93153150610344,26.270015012777538,25.818299971013808,24.50050763979201,23.510031670756852,25.78200929201741
2008,22.65252778147351,25.029291402946296,25.82794391714189,29.9979183262057,30.06753515630081,28.930464368871668,24.672585066637406,24.93981165366269,23.674695426425792,24.243007011571514,23.439042284634468,23.071327137377363,25.545512461104092
2009,23.62242321112628,25.749886764932864,27.723755468920125,29.4,29.947207203579588,29.496851753419794,27.4023167133334,28.16839932153498,25.29163207025782,25.25298403439489,22.75130639458427,20.86764104781539,26.30620033199162
