ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,3.2214084024985024,4.910797221646279,7.586228287841193,9.002515723270442,12.120764092538284,12.671069182389932,11.672776148582603,11.61229458307973,11.123397435897438,9.974937965260544,5.723525641025642,4.688064516129032,8.692314933346635
1986,2.8735901195578624,4.133885281385281,4.3863343108504385,10.124814814814817,11.937626616799129,13.047272727272727,12.05495818399044,11.94290931223372,11.965666666666671,9.70532184703096,7.289320987654319,4.444613511868535,8.658859531677075
1987,2.9743899917287018,4.282467532467531,5.6448680351906155,8.39212121212121,10.382204301075273,12.92848484848485,13.275073313782991,13.18,12.526666666666664,7.709378733572283,5.611212121212121,5.489149560117301,8.533001359701627
1988,2.497177419354838,5.524268547544409,6.65319593787336,9.362777777777778,11.303730790997342,12.817549081035922,13.112007168458785,12.804342431761784,11.400874562718638,8.625023041474654,5.634114942528735,4.2398220244716365,8.664573643833156
1989,4.765596294974849,4.920741758241758,4.8990261716372485,8.661635220125788,10.88757701407923,12.923836477987418,12.352047146401986,12.835041113219486,10.788263305322129,7.716403757532789,6.27881451431147,3.6659052802671503,8.39124067117511
1990,4.812538040170419,4.88445767195767,6.908395368072788,9.01199294532628,12.621377129441646,13.309615384615382,12.792903225806453,12.36799493991145,11.95293333333333,9.963613931925126,5.620833333333334,3.4397630019749834,8.97386819215574
1991,3.1977525303757783,4.640796703296703,5.803675592100639,8.858653846153844,10.869596447694923,12.725641025641027,12.877684195457153,12.049340593695431,11.80096153846154,8.790818858560796,5.6641025641025635,5.599028835458203,8.573171060916549
1992,5.382133995037221,3.9344729344729332,6.628411910669977,7.774358974358975,10.693513923352633,12.469871794871796,12.461249746398863,11.928423615337799,11.764968553459116,9.68594035301278,5.696540880503144,5.396835057821058,8.651393478274693
1993,4.314363968350577,4.063005390835579,5.21491935483871,7.896352201257862,10.38527084601339,13.700314465408812,13.084297017650638,12.364881314668288,12.143790849673199,9.83301707779886,6.353205128205131,4.00506008855155,8.61320647527105
1994,3.4384707287933085,5.23809523809524,7.2326762246117084,9.076234567901237,12.252389486260451,13.283641975308635,12.21714456391876,12.239545997610513,11.392901234567901,10.419056152927121,6.955555555555555,5.507303712720634,9.104417953189254
