ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,4.54177224297332,4.492058774476374,6.1222591117601715,9.51339872953416,11.07792130654959,13.6401450416984,17.605891869753453,16.911844239271073,13.76002874132585,11.825556702520691,7.143195724681114,5.283593959962059,10.159805537042187
1986,6.608607570175482,6.645141086434107,8.460843264951778,9.267190419831456,10.774581268559329,14.582079578475554,16.516812436679505,18.5899074234577,13.233992328118733,10.332093627790192,8.344288188578396,5.10685271352709,10.705199158881607
1987,4.198945915203681,5.918513531831907,7.141412715777298,9.85527925907268,11.913658971708548,14.312471880510978,15.330470728760611,17.122485511908977,15.266332675217281,14.325410640243518,8.663444510541781,4.3315998019291415,10.698335511892202
1988,5.2067252717793675,6.714443219649504,7.177673896622801,9.056313370209805,10.649092114849081,12.466432931548733,17.346413214382068,16.89668891005495,14.625590509699665,12.69456828614119,7.637992147116774,4.783108127422289,10.43792016662302
1989,4.188703660622274,5.324689223101694,8.002905875925528,10.52220587127071,11.082272663427515,14.208597036287925,17.003759327888226,16.449972270440448,14.732100856659684,11.097973772546691,7.895646535396445,5.899276672688248,10.534008647187948
1990,5.20488981962381,4.947598341335222,7.4603610837355285,10.418410394172842,10.898847185198223,15.25891548364476,18.690529515947077,17.213551325166865,16.274747788841445,12.669997463322808,8.902318960959514,5.053503197972051,11.082805879993344
1991,5.792610947238817,7.3527113494378,6.484826510017679,8.071490261633786,9.630817463130828,12.246009336485365,15.393100432185237,16.348915359186307,15.508765685600041,13.413427260704355,8.521839479118238,6.045073298690087,10.400798948619046
1992,5.840497423524716,7.788067009704076,8.237563328986745,10.920232389936674,13.259053521065916,14.321270056062223,17.075878394269626,18.77725726518023,16.25781474607253,12.678503503200194,8.126857258664984,5.684227706771587,11.580601883619957
1993,7.406549781147115,7.153950296653407,8.70062165151268,9.644518367400737,12.076224611287383,14.015935685098198,15.478517993653373,16.512525712609808,14.9809954880534,12.379119018450883,8.39546829352296,6.202018346825025,11.078870437184579
1994,5.929909282628342,6.584006048029815,8.387405079192849,9.27059804541064,11.162455795333358,14.409471113726335,16.62822457843314,18.751936136202726,16.91658067013127,11.689091992286944,6.589190475766326,5.4040749901789455,10.976912017276724
1995,6.327190417947282,8.794565427146878,8.969946428155827,8.814580947198982,11.054716657096982,13.634502483657307,16.82117727041875,18.69187363185465,16.884129960934054,12.030228505618274,9.470094853572883,5.925184057528107,11.45151588676083
1996,5.327311636955014,7.823014601239279,7.896497207463978,9.497192699141975,12.705128831718447,14.317074762387819,18.04117962659369,18.47733887497729,15.664494246815133,10.823862856919684,7.494432583001176,5.5901218344013195,11.138137480134567
1997,6.094628098626866,5.335525331862865,7.335376302820865,8.62384736841713,13.037821621373219,13.242668560388372,15.439783524732718,18.65715058541204,17.901131374203583,12.252787171283696,8.311763982590007,5.495568258703761,10.97733768170126
1998,5.539647953532935,5.924584821244243,7.23706654102411,7.466856004220793,10.096305477647372,12.551720351381274,16.725840037286993,18.719004748494957,15.671890763886752,10.330972275761829,6.724027082180595,4.123293143976897,10.092600766719894
1999,4.636446820213532,5.201505697689703,5.6248414610636,7.230415087785779,10.084027399531273,12.594517994487452,16.76728761102819,16.384541521139607,14.995452610941443,12.01320484270371,8.282096759837469,5.0232523306910135,9.903132511426065
2000,5.4613612077539,6.472075612200348,6.793143778765192,9.653724335430981,11.989170232280633,14.897704780692708,16.127978523513473,17.9383260451556,15.710169134713507,11.439706160591028,5.823506288574796,5.937425104553683,10.68702426701882
2001,4.6736742120050385,5.373259462759463,8.057445197685716,8.446317979686297,12.49799343509224,15.28570546737213,16.75789324615877,17.510311381435265,15.56702405778427,12.136057355858682,9.29962226262465,4.6646429900137,10.855828920706353
2002,4.655567098052671,5.233508737639173,6.679297024205863,9.707389032074577,11.176015704127623,14.454927874747378,16.878128695386007,16.498798863092052,16.721488573527363,11.273142775067829,9.251018904077364,5.695343915379658,10.685385599781464
2003,4.825469603907723,5.518253968253969,7.8520430107526895,6.428619528619529,9.442214774472836,12.780344827586207,16.365058398220242,17.89121863799283,16.438273125342093,10.293212365591398,7.013665389527458,3.706221198156683,9.879549569035305
2004,5.212693498,5.809090909,10.37522659,10.92783883,14.13131313,15.40078125,19.4234375,18.72393443,17.21341853,12.56288344,7.308361204,6.365648854961833,11.954552347163485
2005,7.146566409480027,8.06417786819005,8.835009826499842,9.647459798237218,13.544713219485311,15.569146803221765,19.962941218047643,19.99781711815241,16.861429919854608,13.627735861090644,10.793076685295125,6.942399288217702,12.58270616798103
2006,6.5522201430452744,7.726832228617943,7.120672682001329,9.948760481045504,14.015710740927629,18.686648107859742,19.423488,20.136937678737805,18.179948560060634,13.340211419753084,10.362652189619167,6.66688023616595,12.680080205652837
2007,4.872731338033846,6.978682013003525,9.522858320219544,10.150415290602988,13.335006083853635,15.827533662587845,20.688103378103378,21.343737600896524,17.40673426103901,13.814756310280455,11.502640363682797,7.0634411568289535,12.708886648261043
2008,5.776210541709757,6.488702554744321,7.911242842505422,10.129232832089475,12.033913586108108,15.480739043758176,18.605724947349223,20.069940862548954,18.398265534822364,14.10679305990061,11.296582056736503,7.671392277214326,12.33072834495727
2009,7.963898272779938,6.563299471927107,7.3832235386704115,9.4,15.252542069676792,15.927684046632026,19.085561019892594,19.761857379032417,19.713093756006284,12.107833314314304,9.025577554116156,7.001712042124962,12.432190205431082
2010,7.366160418266595,7.721816052730181,8.197993601753357,9.090085826126034,11.277598089329413,16.053689469475195,20.60525054375601,21.473300485791817,18.427909091295255,15.834090746804572,10.146774287803485,8.25450702532092,12.870764636537736
2011,7.635211298261827,5.007051838731461,9.057682964713264,11.098233639935946,12.26196133638542,16.101349879868973,18.784168049252806,19.016357244652898,18.61318730993165,13.784555847681746,8.625716808492593,3.4923357662738552,11.956484332015203
2012,9.4,6.5,6.8,10.3,13.6,16.6,17.6,21.5,19.3,14.6,10.1,7.6,12.825000000000001
2013,6.918098461538462,6.814538469352135,10.3,11.3,15.9,17.4,20.0,19.8,20.5,15.0,11.5,8.0,13.61938641090755
2014,10.2,10.1,12.5,13.9,17.0,18.6,21.2,21.5,23.2,18.0,11.9,10.1,15.683333333333332
2015,9.7,10.5,12.8,13.5,13.9,18.0,19.5,21.2,20.7,17.5,9.3,4.9,14.3
2016,7.6,11.0,10.1,12.0,13.6,19.7,21.8,22.0,19.0,16.9,12.9,8.6,14.600000000000001
2017,8.5,9.2,12.0,12.8,15.6,18.8,23.0,22.3,18.9,21.5,12.4,8.7,15.308333333333332
2018,9.2,8.1,9.6,12.4,13.1,16.4,21.6,22.9,19.8,15.0,10.0,7.5,13.800000000000002
2019,8.0,6.5,9.0,13.2,14.3,17.6,18.5,20.9,18.8,13.6,11.4,8.2,13.3
2020,7.1,7.7,8.8,11.6,15.6,17.1,19.6,21.7,18.9,15.4,9.3,7.2,13.3
