ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,10.130213590387754,10.850985030918368,13.247060169361701,15.120597071914894,16.296899001666667,16.653240740624998,15.501084538958333,15.961256005468089,15.058846153903847,14.246960297346153,11.534088628846153,10.75951929207843,13.780062543456284
1986,8.486907021078428,10.31799719927451,10.613354839260003,14.899294871134618,16.336393714365382,16.487124182882354,15.037231183437498,15.403039225795919,15.053451073163266,14.615725806291671,13.378794325893617,10.757789979638295,13.448925285184629
1987,9.356451612679999,10.90849999988,12.744292804076922,14.682418300176472,15.939784945830192,16.830440251811318,16.327977667423077,15.79456391862963,16.320628931,12.456637717115383,11.452160494,11.473767497867925,13.69063534504091
1988,9.323371880566034,11.458492975944447,13.505333333680003,15.000740740870372,16.197200243132077,16.786289308622635,15.803164941811318,15.96124731174,15.15822695093617,14.013548387200002,11.199925925888888,9.971949508847828,13.698290959103312
1989,10.431697055086955,10.45769841306667,11.450771388586954,13.98881481526667,15.783799282933328,16.399777777622216,15.043255132454544,15.309750733477273,15.38219696990909,13.251387846302324,12.295151515454547,10.36818181827273,13.34687356236944
1990,10.415835777113639,11.596915584545453,13.03262463234091,14.831061214511628,16.56533479934091,16.560454545386364,15.74171042723256,15.353813452976745,15.658643874644445,15.100631136282605,12.546521739652176,10.311079944065218,13.976218927341053
1991,10.491214824808512,12.249240121851065,13.224845573404256,15.84836879361702,16.796108441872338,17.22297101428261,15.892145862130436,15.688218793456524,15.472971014847827,14.792075735978262,12.153695652282611,11.309957924326087,14.26181781273813
1992,11.192917251456524,10.724750958244446,13.834695340733331,15.123481481844442,15.749929873608696,16.676159419347833,15.744389901499998,15.985273492021735,15.599347825804353,14.606451612326088,13.291956522043474,11.661640953391304,14.18258288602685
1993,11.377777778177784,11.730238095222221,12.936255259173914,14.589492753826084,16.252384292152172,17.67448531295556,16.31483870997778,16.22516129037778,16.21133333422222,15.505806451733338,13.542814815177778,11.11677419322222,14.456446857184906
1994,10.964222874045452,12.796915584295455,14.429398827113637,15.582196969931818,16.759384164227274,16.513257575977267,15.668450635159092,15.911876832909092,15.615454545909087,15.257478005818184,12.854090908818186,12.127492668977276,14.540018299431816
1995,11.6287321832093,12.583803986186044,13.669242309860467,15.037596899302331,16.56151026340909,17.12170542681395,15.601350338023257,16.289736070318188,15.886136363181818,14.178812316727276,13.050984848113638,10.770217554511632,14.364985713304748
1996,8.77412186388889,10.38043478256522,11.6443727596,13.92462121159091,16.327240144,16.120542635488377,15.483797653818181,15.51275659809091,15.464666666222218,14.342987376913046,11.492536231499995,10.922867383533333,13.365912108934259
1997,9.276012354234043,11.471048632127657,13.28140013791489,14.35777298875,15.067741936,16.58234382797826,15.417982154489364,15.202697441520838,15.677092199127657,14.181606039744686,12.753611110916665,10.904114071499999,13.681118574525337
1998,8.86612903238,8.953571428530614,11.98380513518367,15.635533333799996,15.782322580259997,17.27045252981632,16.09690860260417,15.812768816895833,16.636666666874998,15.535878868428572,13.70537414965306,10.510730286541664,13.899178452580744
1999,9.322715053979168,10.974255952416668,12.882392473374999,14.48854166645833,15.608870967458335,16.7459027781875,15.29711736406383,15.79203843453192,15.557801418723404,13.306726149212768,10.75858156076596,8.482258064369564,13.26810015696187
2000,8.544543582872338,10.221936903787233,12.602352150374998,14.611944443541672,15.686240947836744,16.065782313,15.013709677416673,15.149663978895836,15.506079980354166,14.090053764166667,13.087619047,9.550881594595742,13.344234031986838
2001,10.042610652255812,11.525522648121951,11.978520849902438,14.455238095023804,15.803993855214284,15.80341269866667,15.269472856682926,15.435326514829269,15.380243902609758,13.702360346414633,11.13821138202439,10.496854838525001,13.419314053355912
2002,9.745821114,11.620016611534883,13.052457756880951,15.436097560731707,16.407081037853658,15.719583333400005,15.183870967075,14.926209678025,15.047083332700003,14.254130606292684,11.102032520390242,9.38346774135,13.489821021686177
2003,10.14099134473171,11.048469387428572,12.299842643560973,15.356249999925002,16.8849999995,16.748333333175,15.856254917536587,15.053763440611107,15.52156249959375,14.892715920258066,12.490967741709676,8.305784204620688,13.716661286054261
2004,9.187541713,9.155770583928572,13.007096773599999,13.619947299043476,15.52338876685714,15.689122807526317,14.3677419353,14.656706281526317,14.522631578894737,14.355241936,10.207575759090908,7.189516129625,12.623523463699371
