ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,11.92088239502591,12.331389451095484,13.858421406881353,15.56717033677439,16.185902607505557,16.670077522368988,16.082604501558148,16.116840658551354,16.090219858607746,15.608000791746843,13.575380072878207,12.729663018379746,14.728046051781142
1986,10.761859251225804,12.732918161730769,12.375565779670886,15.275865988541938,16.629793391948375,16.350175445235664,15.9531825019936,16.076822753683864,15.867231317018524,15.276324050155274,14.33408208700602,12.694782942321426,14.527383639211012
1987,11.331728124789771,12.677602116,14.279094635348065,14.919061732780895,16.3365045085625,17.155283678357957,16.99000613353714,16.674480951612708,16.7094251725091,14.36697441906749,13.765377468286598,13.530675593540877,14.89468454453276
1988,12.30965791235465,12.973786859259038,14.511651279920736,15.748949415736195,16.459352468784804,16.8700718863125,16.56654961898684,16.489141879467535,16.072831050191787,14.995202827773054,14.180923698685715,12.947628655534722,15.010478962750632
1989,13.597570938579443,13.064748625266663,13.227820329361906,15.745468203971695,17.372528333317305,17.395495014240385,16.908199838785713,17.015577194878787,16.871591093221053,15.230952981235957,15.030517241574715,12.990955206837207,15.370952083439237
1990,13.386695634731709,14.229008387462496,14.80788204854217,16.696594526790694,17.291332592844448,17.11038532332292,16.62162577288765,16.87825915523404,16.535304752011356,15.814386439325295,14.212329629643682,12.51602689502381,15.508319263151689
1991,12.79645753879389,12.842378686068173,14.16180287570992,15.7008065948797,16.862231226582093,16.629347613081485,15.901555062676263,15.802720749431648,15.614211675822217,14.841612031164175,12.991116210186563,12.734557253286821,14.739899793140246
1992,12.331312912492189,12.292893365999996,14.32864357840476,15.445653867925005,15.885741035341878,16.75106668921008,15.925273654933335,15.927381127200002,15.797043384508196,15.053512476642286,14.230664315491662,12.714794211675208,14.723665051652048
1993,12.993534894661021,13.000716253586775,14.041388719918032,15.383612627467214,16.247905145624994,16.785935672385975,16.20814629178632,15.988449650508622,16.068439317436365,15.216289288490373,14.578867313893207,12.786177920504855,14.941621924688647
1994,13.073687059640001,13.514330922189876,14.197901303873238,15.826086956608691,16.90304147485714,16.941535713749996,16.33757207466667,16.497235858217394,16.837960676629624,16.09173032292308,14.91295358659494,14.305736268256094,15.453314351517228
1995,12.679602356680407,12.819970845499999,13.890282318138613,15.84889507421153,16.998948408477474,16.747859327018357,16.42435752550944,16.51330147369444,16.16527777728704,15.173083752467894,14.005952380971964,12.79236383249533,15.004991256037707
1996,10.592761839989011,12.237963867340666,13.44652373010752,15.455949820290321,16.977150537793474,16.97859237577419,16.443152581645165,16.306724555532604,16.53585855712222,15.513132269071425,13.50809315011905,12.42387365201163,14.701648078066441
1997,11.862195512718747,12.722221268145825,14.770881290894735,15.388599999949996,16.083414792858584,16.82749287720202,16.55712365616666,16.126294202206186,16.187541077218757,15.423429541610526,14.521151897473121,12.56144036692631,14.919315540280955
1998,12.335267575805197,11.941612712342108,14.18532607177922,16.060579070913583,16.866569690493506,17.92790525195891,17.060388994838235,16.4099055070606,16.803690169597015,15.827876744686565,14.609269708214285,12.388908735646151,15.201441686111279
1999,11.54868306039655,12.353968254421051,14.207603686303568,16.16600668356141,16.71191244663492,16.980820513292315,16.405879631661016,16.705817028573765,16.634764541982456,15.633843630372885,13.418310440089284,12.230877162385967,14.916540589972932
