ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,15.141290322333333,16.799761905333334,18.15193548333333,19.09795698967742,20.448064517,21.635376811333334,21.643409498333334,21.221644120645163,20.89444444566667,20.357173083870965,18.8120833328125,18.442930107333332,19.387172551472727
1986,15.812070759354837,16.925078825290324,17.013010752666666,18.03023809571429,20.539154616896557,21.623936781724137,21.26107526896552,21.004163884827587,20.959333334,19.640166493548392,19.552043010967743,17.591612904333335,19.162657060690783
1987,15.14360400413793,16.436111110370373,18.945147866451613,17.25161111166667,19.653099798437502,22.23683496903225,21.656503641612904,21.1322983878125,21.229333334000003,19.095722299687495,18.132812499062503,17.332916009393944,19.020499585972143
1988,17.095239334193547,16.866957730645158,18.008667160689654,19.774189840645157,20.295698924848484,21.776440264545457,21.45374870121212,21.56847465392857,21.629831234666664,20.261191757000002,19.121264368620693,16.907977118275866,19.56330675743928
1989,17.164793511666662,16.202887865161287,17.1810819896875,19.383033794838713,21.119933559375003,22.47023914125,21.815843148125,21.580831839375,21.597956989677414,20.16333146612903,20.295959821874998,16.8531341228125,19.652418937497757
1990,18.283346575172416,18.1211323903125,18.268434139687496,19.35979166625,21.457075962258063,21.74419354870968,21.434498786451613,21.394000895333328,21.14467300724138,19.86052611464286,18.88742955933333,17.707772525624996,19.805239597584805
1991,17.983010753,16.165952380333337,18.163163371935482,20.536344086129034,21.827263267419358,22.398817204516128,21.780437044838706,21.58135752633334,21.355977010689653,20.80311457206897,18.267096774193547,18.631720429999998,19.957854535121463
1992,17.120603538064515,16.5539870690625,18.822283826874997,20.275625000312502,19.67676878419355,22.35483870967742,21.640865170645156,21.288765294137935,21.05390804724138,20.275786852166664,19.95285714285714,17.557634408000002,19.714493653602815
1993,17.689589804666664,16.417499999666664,17.15750834172414,19.075053764193548,20.522281959666667,21.717686868666664,21.749499443448272,21.423617511785714,21.373555555,21.253978494333335,19.294250000333324,16.86463133607143,19.54492942329637
1994,17.69677419285714,18.838903061428567,18.50222469413793,20.172873563793104,21.80656682142857,22.663690477142854,22.194434598214283,22.117155425999997,21.69965517344827,21.400728408064513,19.741888888666665,18.154301076000003,20.41576636509849
