ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,5.6959832166052635,5.2652752340192315,7.668157380259493,11.221704860981244,13.956905490960267,19.376546052809207,22.05886923423077,21.919413008378363,18.005456158261424,14.041740455541936,8.327152026954547,4.855568012763514,12.699397594313771
1986,6.534147940958907,6.994399616026848,8.962888471210524,12.40472812002759,14.25290498037404,20.392799526715336,21.570999771517727,22.16646454875941,18.605904761664295,13.54219778789844,9.523170793560002,5.399810105722688,13.362534702036315
1987,3.435447725843284,5.720927352411293,6.481090221275,11.399960645652888,13.95008582430769,19.272395628548384,22.133002938809522,21.671068590634913,19.705762273697673,16.97051316001492,7.979764598102939,4.29672381983582,12.751395231594529
1988,4.70850008552756,6.926948391093745,7.271917611348839,10.577862616902438,13.834748922876926,19.304641241773442,22.04153840419533,22.374621118558153,19.639161715144,16.128703642903226,8.406278687258062,4.605706000256637,12.985052369819863
1989,3.968505176645452,7.15376153355462,8.928939576252175,12.288021659883336,14.713759741324555,19.077821882523363,22.532508983953694,21.44440965469369,19.908888188376064,14.59367280361403,9.25091436964035,5.614169817546294,13.289614449000636
1990,4.506498672245762,4.787911588096491,7.767349338702701,11.013855974124997,14.133106547596157,21.016882837115375,21.573006874342344,20.206424810423425,20.066154234177574,14.785623359790485,9.667544817467292,6.335443692168219,12.988316895520903
1991,5.692212330312501,7.858671335198272,7.274561703398376,9.20356229401681,12.411280980940166,16.675719962148758,21.347023535289267,21.558129480691658,19.560708547131156,15.35867532013934,8.809226119948274,6.5706218531166645,12.693366121860938
1992,6.903050636361542,7.7887377455384605,8.103781138206108,11.248606436362207,15.155603083456693,18.366046625538463,21.0298375535224,20.892643947014278,19.54456933905111,14.157875865208627,6.951508884865672,6.617181151834591,13.06328686724668
1993,8.245974065440304,7.204969554735296,8.25854043748529,10.137841503054686,14.584390954047239,18.230576913203134,21.26286830146322,21.796046968733336,19.160140584076924,15.181129443590553,9.733967995503882,7.044596146710937,13.403420239003735
1994,5.254423010837038,5.984687680598543,8.660054762202904,10.70410508566418,13.711127183888893,21.02427291888889,22.261598715856053,22.200611507533324,20.43361592367648,14.315905573098492,9.660891342046511,7.392715007341085,13.467000725969365
1995,5.508376171651163,8.95857120952381,8.796881321523074,8.629694593719996,12.416074205094489,17.03734253870635,22.087068393304683,22.90330166089432,20.782823935016005,13.959527563330704,10.600988459833337,5.684786901698416,13.113786412858028
1996,4.266375137872002,8.148106478354837,8.032976864155737,10.555621475835945,14.564557671648439,20.846331365193805,22.278538146688,21.68940044929599,19.149285244632807,14.036301527651162,8.77387275555905,5.010500998351146,13.11265567626991
1997,5.151762448429685,4.868472791601564,8.971992817664065,10.098630153062496,15.898774528396823,19.29058537961539,22.00165787114614,22.524885612053023,21.63305506203007,14.695518985696967,9.421938454769844,4.744918798217055,13.27518274189026
1998,5.060676565756521,5.015577822351565,7.291228249712,8.285182073743803,12.554784460163933,18.28388312785124,23.21694263727273,22.528122209000006,21.194578215384613,15.70965812131896,8.982237982758926,4.4239361846759255,12.71223397083252
1999,4.024389972510204,5.656309752193879,7.16912469356842,9.530393027641301,13.008476392544448,18.686357879074468,22.13783833748352,22.06704786516484,21.151282932783513,15.403563617958339,9.33372882217822,3.8560360889207903,12.668712448501829
2000,4.477462595619048,6.019095914254902,7.4976318383611105,10.992931564390904,15.15018597354783,21.445083641118657,22.242393653636363,21.560127620286874,20.242520159870967,15.761849885779537,6.6846894008503925,5.54619579810569,13.135014003818524
2001,4.536502686014926,5.516915547511455,7.609205849742426,10.32008040038583,15.340083163838461,19.973973779076925,22.425863597148435,21.930913189992058,20.849556114251907,14.780561213255817,10.186714220344001,3.4049658728999987,13.072944636205188
2002,4.178428882860652,6.179628704459016,6.689541694393703,11.893751240661421,13.311704842242422,19.938096467255807,22.373556996060152,22.128365037461542,20.947451575984616,13.446836200607699,8.84980818507087,5.2960739822558125,12.936103650776145
2003,6.583717824503939,7.475898857007754,7.3888574879040005,9.95751265676562,14.28310888473077,18.78033265307086,22.826488638527138,22.387159370697677,20.759737324862904,16.729692078685044,8.920007487376,4.2867492653983765,13.36493854412751
2004,5.5927565500559995,4.317469336934958,10.05477568747107,11.250624142841668,14.798679302122952,18.786321688400005,21.749661156016263,21.64114892025,19.366369848606542,14.500908649899998,7.447322971114036,5.814512121930437,12.943379197970328
2005,7.109583760417389,7.594993019095651,7.496399292793102,9.971265229564814,14.755237674198112,18.812864021754546,23.2568982281743,21.935498401981985,20.832224885137602,15.132131190270002,8.998796457439562,7.4005672971,13.608038288160591
2006,4.952951536058536,8.003485807824601,8.442494540049344,11.145910239326328,15.241868778710796,22.054167194122574,23.461932760489933,22.625052003510913,19.825185882440838,15.124223307792613,9.698209970194451,5.0642198160479905,13.803308486380745
2007,4.259266779005805,5.3930078929007506,8.916978431801228,12.740340317935871,15.150909296412276,20.58946340590481,22.943051420534758,22.463000650899357,21.039267286371572,14.497069536480613,10.909917104945922,6.125733377683938,13.752333791739742
2008,5.671745366957745,5.8356824446695805,7.519124439674969,10.748719386655274,14.331760790662115,21.271880603663245,22.19364307616616,22.39646382442797,20.733524804345652,15.253896243332788,10.833361916415285,7.524454722479824,13.69285480162088
