ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,1.645828698586207,2.0814039408275864,4.212013348206897,5.993444444433334,6.385397155677419,8.3777777779,7.311041738999998,7.125875823806452,6.786129032258064,5.9556711757419345,3.0349462365483872,2.6922996879032266,5.133485755074125
1986,-0.13155229951724132,1.5600529101111111,1.2390612075000003,5.241333333279999,8.117607526583333,8.993188406304347,6.992165898476189,7.044354838649999,7.425166666600001,6.212724014222221,4.875625,2.62699490663158,5.0163935340701284
1987,1.2781528417499999,3.0768707482499997,4.596082949321428,6.031728395111109,7.0590570719230765,9.581399176555557,9.311318953653847,8.042002224724136,8.66554597696552,3.4445902854137924,3.093095238142858,2.89746543775,5.589775774963443
1988,1.0771963142812502,3.1659621802258058,4.867867943531249,6.548599320903227,7.58611572059375,9.355673323032255,8.413042612766667,8.4572950911,7.015445809148149,5.40811781204,2.772045454583333,1.6652972251538463,5.527721567279961
1989,1.8905295548571426,1.7264739230000004,2.3922168352,4.6355569801500005,6.600093628550001,7.896874314,6.84030616865,7.473531409149999,7.4618155694,3.8266499814999997,4.3309844007,1.801303356111111,4.739694676772355
1990,1.9837173579047613,3.108296044285715,3.6666736489090908,6.256349206333333,8.16204115715,8.434500000000002,7.99381098817647,7.508629032249997,7.767655172599999,6.8307341491,3.870666666649999,1.7313154967894742,5.609532410012405
1991,2.5598471986315787,3.5629699247894737,4.933790322599999,7.235287356352941,7.863082437166666,8.862946158368421,8.00133891627778,7.115471923388889,7.940222801210527,6.7427956988,3.5756966754761907,2.9738893606,5.947278231138539
1992,3.823143881238095,3.414149358052631,5.8790322580000005,6.606010101045455,7.399180190913042,8.655863990913042,7.647772657428574,7.780456989100001,7.6421609198,6.155954050619047,5.7918542213809525,2.824231634130435,6.134984187718441
1993,2.9870396713478256,3.565703483608696,4.578955453095237,6.238301353730768,7.254654697708332,9.378044871083334,8.106380497047619,7.722145429454545,8.616295715545455,6.182887438166666,3.9025287355833327,1.996732480583333,5.877472485579595
1994,2.33578642936,3.5699404761666664,5.583741935479999,7.0440000002,7.957505376360001,8.245999999839999,7.191554659583332,8.079704301125002,7.053611110916669,7.283811230576924,4.02890509028,3.55466170396,5.994101859487383
1995,3.3614143919999995,3.8767857142692317,5.421091811384615,7.288157894576922,8.889725209111111,9.126437390037038,8.452851663555556,9.321814072961537,7.568333333076925,5.866443301703704,4.917389162555555,2.9995443207777774,6.424165688834164
1996,0.9115205166896551,2.6407433891290326,3.6946607341724134,5.948157088133333,7.670215376218749,8.404142628156249,7.467426172354839,7.547377346387095,7.883715650967741,6.453746097870968,2.729247311838709,2.712382934483871,5.338611270533555
1997,1.3823195084666666,2.753341013903226,4.506867845903225,6.431936508000001,6.410967741933333,7.601555555566667,7.069966629533332,6.620129773866667,7.4771072798333345,5.818508019612903,4.842473118290322,2.970856507241379,5.323835791845921
1998,1.1372386717741936,1.3751152073548385,3.3943065259677416,7.0979629628000005,7.099569892266668,8.821370540903224,8.37557240540625,8.508495550812501,10.156979166999998,7.920084005312501,5.448279454093749,2.2107226107878786,5.962141416206628
1999,0.7535516454848484,2.2775974026666663,4.070250054352942,5.916041666718751,6.454637096718749,8.105686274470589,7.556356736176472,8.012889169823529,7.419595959666665,5.5182321315588245,2.523059499705883,0.8578747627352941,4.955481033339935
2000,0.9997849462666665,2.202447163451613,4.725386750032256,5.780777777766667,7.759576612843749,8.864408601838708,6.4584946236666685,7.1526881719999995,7.886913580222222,5.726843317857144,5.200238095285715,1.5385984427241377,5.358013173662962
2001,2.072150537633333,3.170622119870968,4.014151925129033,6.344301075354839,7.352688172066667,8.847356321862069,7.984838709766667,7.895661846448275,8.15793103437931,6.421245828689656,3.340357142857143,3.2796082948571423,5.740076084076258
2002,1.9575083426206898,2.7955357143,4.840492359947369,5.3863333334,6.752747311899998,8.56433333355,8.399660441263157,7.306697388649999,9.30950000085,7.341703887133334,3.8829999999,2.2208064516000006,5.729859880426212
2003,2.23693548395,3.21142857125,4.402741935300001,7.317111111133333,8.582096774150001,10.265478926933334,7.886290322749998,7.994032257799999,9.30133333355,7.330537634200001,4.561666666700001,0.41677419365000007,6.125535600947223
2004,2.2992409867647057,2.2851926976470587,5.167931688705884,6.447058823588235,8.637950664235294,9.722941176647058,8.223529411294118,8.306641365882356,8.869215686352941,8.323719165,3.6433333332,2.1874551970000002,6.176184183026471
2005,1.1359447004285714,3.2471938775714286,4.36374808,6.693809524071428,6.653686635857143,8.089999999700002,7.55846774275,7.239919355,5.997619048,5.071428571428571,2.354761904714286,1.5691244240000002,4.997975321960118
2006,1.1520681278460756,2.304049568883329,4.4664539483505,5.829532804157413,8.233172043010752,8.500928247181445,8.763657408878766,8.828735193719066,9.372002463054185,8.042745577096245,4.885397421862939,2.01241642228739,6.032596602194008
2007,3.5341060437523177,3.9141534391534396,4.205128205128206,6.516051564165007,7.780258265928763,8.533349753694582,8.930122427859496,8.348850574712644,7.874816774439207,6.721629203013012,2.9852045391818827,2.971091955215081,6.026230228853636
2008,1.6757882175451806,3.8687217749796203,4.476913657209854,7.1241759271196825,8.444855286365835,8.428756638660888,8.560417255630169,9.691421093086062,9.370885015326042,5.573373006744193,2.465460847733663,1.2528954696540782,5.911138682504606
2009,2.107051383182465,1.8495064939902974,3.4009513543232304,6.1,8.128342820440027,8.955989010989011,7.520903811932508,7.982866791637274,9.513341307526,8.080618598042287,4.127653087653087,4.377333427583103,6.012046507274941
2010,3.1699725059774004,3.9333439803173573,4.948230555375492,6.8392751557231355,7.663160623581229,9.026051127871453,9.096696797143956,8.74948808522157,8.917545855765018,4.232613330412261,2.100639038849026,-0.5819205071152491,5.674591379093555
2011,1.6348716631646092,3.7451580101406092,3.6551962444576516,7.054805274096944,8.822208161648021,8.100556604377664,9.516567223466527,8.628206854963352,8.468184163075277,5.262396761843147,4.522158529621438,2.281814379280031,5.974343655844606
