ANIO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
1985,14.974464847215378,16.86845238045454,18.32908113439394,18.736051282769225,19.932503840952386,20.917166666666674,20.49510926129033,20.62363828606557,20.4431111115,20.016021505499996,18.295517241206902,17.54243604,18.931129466501247
1986,15.13714285757143,16.56120587567165,17.175460830185713,18.79637825048387,20.955453892857143,21.396266283166664,20.986049314310335,21.089190719298248,20.62457885770492,19.670925384915257,19.578844827500003,17.185900140714292,19.096449769531628
1987,15.112287596666665,16.478456539464283,18.072189173400005,17.43161446283019,21.035392887115393,22.003866189803922,21.724901254444447,21.052030876727276,20.91634333454545,18.78952202232142,18.14544540160714,17.16975045716981,18.994316683007998
1988,16.33330374581818,15.830679136851854,17.957387638927276,19.56870370407407,20.799953504038463,21.496088728750006,21.190816790384623,20.912367990784315,21.075751724799996,19.602548963035712,18.328349280384614,16.603520815897433,19.141622668645546
1989,16.47317314020408,16.292693121999996,17.034451392857147,18.66455272391304,20.662795698095234,21.595581395581394,20.99236821414634,21.123740803157894,20.929083333749997,19.230574743243245,19.203643411162794,15.987962234146341,19.015885017688124
1990,17.546678105744682,17.50808566829787,17.791934072653056,19.181838115098042,21.086354839000002,21.244901961372552,20.774686907254903,20.9955627356,20.31935651846154,19.34522503555556,18.4401149427451,17.065935269599997,19.275056180948614
1991,17.873557303518524,16.538291209,18.114110549807688,20.37384515377358,21.210556900392156,21.09055953094339,20.9077499309434,20.981274312452822,20.56299613,19.784180240178568,17.698792094736845,17.923375509482142,19.42160740543576
1992,16.496319322767857,16.232148270178566,18.285704420357142,19.338509628545452,19.79853176981818,21.299319264814812,21.000986911272722,20.81245201509091,20.485598001964288,19.588051139272725,19.072189217924528,16.53425272888889,19.07867189090801
1993,17.178855331698113,15.587482330788466,16.908362496666665,18.72792994981132,20.1211595723077,20.62779108301887,20.47201353185185,20.246638857777775,20.15874511907407,19.660851335471698,18.128364780000002,16.0796998594717,18.658157853994854
1994,16.9880050825,17.830324121886786,17.908040986730764,19.519454686078426,20.44532604431372,20.5912744478,20.396830197,20.261098937346937,20.0630640136,19.799854438799997,18.4839747132,16.689697339450976,19.08141208405897
1995,16.570610217140004,16.30024312186,17.432934836874995,19.778666827291662,21.099851374375,21.13012145816327,20.523283659799993,20.859616316326534,20.782458079799998,20.34608189134616,18.000120976346157,17.203288283411766,19.168939753561293
1996,15.83476557744231,15.733830244173078,16.69899957365385,19.411048657884617,20.552717714705885,21.142135934705884,20.90969831115385,20.779638770961533,20.84502150134616,19.956757283773584,18.264130845660375,16.541064615471697,18.889150752577738
1997,16.189833392211543,17.747889468076924,18.817257445094338,20.53300368679245,20.605630234905657,21.145592675471693,20.88324089764706,20.716678662745096,20.638440796666664,19.90578020117647,19.25367665285715,16.64056678902041,19.423132575222123
1998,16.966175243811325,16.714857905555558,17.305342558727272,20.232250120363634,21.783119986140353,22.832573099473684,21.93096510915256,21.744445225087713,22.174029166491223,21.53179562508772,19.395553639642856,17.17166538625,19.98189775548199
1999,16.35297521036364,16.223584994107142,17.434717193392864,20.149529581636358,21.75183007672728,21.12639552696428,20.933807584905665,21.134090678113214,21.312485361509435,20.279474248679243,17.113212005,16.230335667358492,19.170203177396466
2000,15.523882285789474,15.837505236315788,18.273137143859646,19.20333333245614,21.06621396736842,21.001161524736855,20.797575929473684,20.863861962931033,21.258827528596495,19.19864176561403,18.25859131789473,15.845220485614034,18.927329373387526
2001,15.25403226,19.464285713333336,18.91397849666667,21.116666667500002,21.489247313333333,23.03333333333333,22.5,22.887096773333337,21.666666666666668,21.279569893333335,17.23333333333333,17.150537636666666,20.165729007291663
2002,16.1306451625,17.8794642875,18.822580645,19.775,21.2322580675,21.8666666675,21.221774195000002,21.383064519999998,21.9722222225,20.919354837500002,18.71111111,17.62610723,19.795020745416668
2003,13.73945946,18.10611855,19.475,18.72043651,22.54909091,23.3557971,22.03584906,21.86329114,22.50535714,21.37388781,19.89070248,15.08962656,19.892051393333336
2004,15.88290909,17.13765957,18.59929701,19.15605469,21.71065891,22.40773931,21.58471616,22.0048583,21.76296296,21.44595142,18.70914634,16.58359202,19.748795481666665
2005,14.403470038993264,16.933384297054836,19.771090096593007,20.179900290943326,21.787323421174634,22.687943849988297,22.939168732066253,22.71930645281279,22.358666451710494,20.59471615071343,18.669453721068752,17.796820744357845,20.070103687289745
2006,17.035116367557496,17.17273868006165,17.723665161441662,20.163115479564315,21.750483564111068,22.541490555582655,22.480073242981224,22.40349132572483,22.292795784725126,22.001643598271578,18.319512417401224,19.06498178216503,20.245758996632322
2007,18.669887408467208,18.400112916817715,18.324716186166025,19.831705469264406,21.361423705214836,22.480544549824074,22.384103610740418,22.39124846901362,22.250980445162824,21.307352972640867,18.482586006213776,17.934999089275486,20.31830506906677
2008,17.325793757923574,18.851938912145613,19.05089257647244,19.679929280568558,22.340188939263502,22.318011740575162,21.598620857888054,22.463114970494843,23.064125711968565,20.81282084353276,15.947484706981609,16.462882489944196,19.992983732313238
2009,16.347213626491005,16.095725555219236,17.485616399960954,20.3,21.927866480783273,22.64223761504625,21.128259275760584,22.58727531477023,22.6356103762165,21.873452881346164,19.323263972416957,19.236534181612733,20.131921306635324
2010,15.422442422954235,16.154058442566914,15.029693702080083,20.588352347173796,22.553766634147458,23.354681611210246,22.454925005161407,22.185665246385955,22.521079830701776,19.280860086061484,18.07867241948328,13.341920271489167,19.247176501617982
2011,15.403996701073725,17.053754255240257,18.325032791549013,20.71028703714383,21.92115417520885,22.118260553550456,22.449584233610103,21.499642049122833,22.186146187545237,19.895365794451198,18.398852576056573,17.107601421083274,19.755806481302947
2012,17.2,18.5,18.9,20.1,22.0,22.4,21.5,22.5,21.7,20.7,15.9,17.5,19.90833333333333
2013,17.792659230769228,18.54197652173913,17.0,21.4,22.2,22.8,22.8,22.6,22.8,22.1,21.5,20.5,21.00288631270903
2014,16.7,18.9,19.7,21.4,22.2,23.1,22.4,22.7,22.4,21.7,17.9,17.0,20.508333333333333
2015,17.5,16.3,20.1,22.4,22.5,23.1,22.4,22.8,22.9,22.3,21.9,21.1,21.3
2016,17.1,16.3,20.8,21.6,23.1,23.4,23.2,23.4,22.8,21.4,19.2,20.2,21.041666666666668
2017,17.4,18.3,18.6,21.4,22.9,23.3,22.7,23.1,23.1,21.5,18.1,17.5,20.65833333333333
2018,16.1,18.7,18.9,20.4,21.6,22.5,22.5,22.2,22.5,21.9,19.8,17.7,20.4
2019,16.1,18.8,19.0,20.7,23.4,23.9,22.6,22.9,23.0,22.7,19.7,17.3,20.8
2020,17.4,18.2,19.2,23.0,22.8,23.2,23.1,23.3,23.1,22.4,21.1,17.6,21.2
